date,value
1992-01-01,9.71
1992-01-02,9.54
1992-01-03,9.57
1992-01-06,9.52
1992-01-07,9.45
1992-01-08,9.44
1992-01-09,9.4
1992-01-10,9.51
1992-01-13,9.58
1992-01-14,9.53
1992-01-15,9.48
1992-01-16,9.47
1992-01-17,9.42
1992-01-20,9.4
1992-01-21,9.45
1992-01-22,9.45
1992-01-23,9.42
1992-01-24,9.46
1992-01-27,9.45
1992-01-28,9.42
1992-01-29,9.41
1992-01-30,9.42
1992-01-31,9.41
1992-02-03,9.4
1992-02-04,9.36
1992-02-05,9.32
1992-02-06,9.33
1992-02-07,9.36
1992-02-10,9.32
1992-02-11,9.32
1992-02-12,9.29
1992-02-13,9.27
1992-02-14,9.36
1992-02-17,9.33
1992-02-18,9.3
1992-02-19,9.31
1992-02-20,9.29
1992-02-21,9.34
1992-02-24,9.34
1992-02-25,9.3
1992-02-26,9.25
1992-02-27,9.24
1992-02-28,9.27
1992-03-02,9.29
1992-03-03,9.34
1992-03-04,9.47
1992-03-05,9.52
1992-03-06,9.52
1992-03-09,9.49
1992-03-10,9.57
1992-03-11,9.63
1992-03-12,9.68
1992-03-13,9.76
1992-03-16,9.75
1992-03-17,9.7
1992-03-18,9.75
1992-03-19,9.8
1992-03-20,9.82
1992-03-23,9.8
1992-03-24,9.76
1992-03-25,9.73
1992-03-26,9.79
1992-03-27,9.9
1992-03-30,9.84
1992-03-31,9.87
1992-04-01,10
1992-04-02,9.98
1992-04-03,9.97
1992-04-06,9.97
1992-04-07,9.91
1992-04-08,9.85
1992-04-09,9.74
1992-04-10,9.21
1992-04-13,9.15
1992-04-14,9.11
1992-04-15,9.09
1992-04-16,9.14
1992-04-17,9.14
1992-04-20,9.14
1992-04-21,9.17
1992-04-22,9.16
1992-04-23,9.22
1992-04-24,9.21
1992-04-27,9.16
1992-04-28,9.17
1992-04-29,9.15
1992-04-30,9.18
1992-05-01,9.12
1992-05-04,9.12
1992-05-05,9.2
1992-05-06,9.16
1992-05-07,9.14
1992-05-08,9.14
1992-05-11,9.14
1992-05-12,9.16
1992-05-13,9.09
1992-05-14,9.1
1992-05-15,9.06
1992-05-18,9.03
1992-05-19,9.03
1992-05-20,8.97
1992-05-21,8.97
1992-05-22,8.95
1992-05-25,8.95
1992-05-26,8.98
1992-05-27,8.97
1992-05-28,8.94
1992-05-29,8.93
1992-06-01,8.96
1992-06-02,8.96
1992-06-03,9.09
1992-06-04,9.08
1992-06-05,9.11
1992-06-08,9.17
1992-06-09,9.17
1992-06-10,9.14
1992-06-11,9.12
1992-06-12,9.11
1992-06-15,9.16
1992-06-16,9.15
1992-06-17,9.15
1992-06-18,9.16
1992-06-19,9.16
1992-06-22,9.19
1992-06-23,9.24
1992-06-24,9.23
1992-06-25,9.19
1992-06-26,9.14
1992-06-29,9.18
1992-06-30,9.16
1992-07-01,9.1
1992-07-02,9.03
1992-07-03,8.97
1992-07-06,9.01
1992-07-07,9
1992-07-08,9.03
1992-07-09,8.99
1992-07-10,8.98
1992-07-13,9.08
1992-07-14,9.03
1992-07-15,9.06
1992-07-16,9.03
1992-07-17,9.09
1992-07-20,9.12
1992-07-21,9.1
1992-07-22,9.08
1992-07-23,9.09
1992-07-24,9.08
1992-07-27,9.08
1992-07-28,9.1
1992-07-29,9.12
1992-07-30,9.21
1992-07-31,9.32
1992-08-03,9.26
1992-08-04,9.3
1992-08-05,9.33
1992-08-06,9.33
1992-08-07,9.29
1992-08-10,9.3
1992-08-11,9.32
1992-08-12,9.36
1992-08-13,9.39
1992-08-14,9.24
1992-08-17,9.22
1992-08-18,9.23
1992-08-19,9.23
1992-08-20,9.22
1992-08-21,9.28
1992-08-24,9.42
1992-08-25,9.51
1992-08-26,9.57
1992-08-27,9.63
1992-08-28,9.64
1992-08-31,9.64
1992-09-01,9.65
1992-09-02,9.51
1992-09-03,9.25
1992-09-04,9.19
1992-09-07,9.18
1992-09-08,9.3
1992-09-09,9.38
1992-09-10,9.3
1992-09-11,9.32
1992-09-14,9.07
1992-09-15,9.3
1992-09-16,9.29
1992-09-17,9.16
1992-09-18,9.06
1992-09-21,9.15
1992-09-22,9.01
1992-09-23,8.94
1992-09-24,8.92
1992-09-25,8.94
1992-09-28,8.92
1992-09-29,8.95
1992-09-30,8.97
1992-10-01,9.05
1992-10-02,9.1
1992-10-05,9.24
1992-10-06,9.24
1992-10-07,9.16
1992-10-08,9.03
1992-10-09,8.97
1992-10-12,8.99
1992-10-13,8.88
1992-10-14,8.88
1992-10-15,8.82
1992-10-16,8.52
1992-10-19,8.66
1992-10-20,8.49
1992-10-21,8.39
1992-10-22,8.35
1992-10-23,8.21
1992-10-26,8.24
1992-10-27,8.19
1992-10-28,8.13
1992-10-29,8.14
1992-10-30,8.19
1992-11-02,8.28
1992-11-03,8.25
1992-11-04,8.28
1992-11-05,8.14
1992-11-06,8.08
1992-11-09,8.04
1992-11-10,8.01
1992-11-11,8.03
1992-11-12,8.05
1992-11-13,8.19
1992-11-16,8.32
1992-11-17,8.37
1992-11-18,8.3
1992-11-19,8.34
1992-11-20,8.38
1992-11-23,8.37
1992-11-24,8.32
1992-11-25,8.34
1992-11-26,8.38
1992-11-27,8.45
1992-11-30,8.56
1992-12-01,8.51
1992-12-02,8.55
1992-12-03,8.39
1992-12-04,8.37
1992-12-07,8.41
1992-12-08,8.39
1992-12-09,8.36
1992-12-10,8.42
1992-12-11,8.37
1992-12-14,8.37
1992-12-15,8.42
1992-12-16,8.41
1992-12-17,8.39
1992-12-18,8.4
1992-12-21,8.43
1992-12-22,8.35
1992-12-23,8.35
1992-12-24,8.29
1992-12-25,8.29
1992-12-28,8.29
1992-12-29,8.31
1992-12-30,8.223
1992-12-31,8.253
1993-01-04,8.288
1993-01-05,8.324
1993-01-06,8.288
1993-01-07,8.33
1993-01-08,8.348
1993-01-11,8.436
1993-01-12,8.463
1993-01-13,8.42
1993-01-14,8.397
1993-01-15,8.376
1993-01-18,8.417
1993-01-19,8.416
1993-01-20,8.38
1993-01-21,8.29
1993-01-22,8.302
1993-01-25,8.347
1993-01-26,8.173
1993-01-27,8.166
1993-01-28,8.061
1993-01-29,8.089
1993-02-01,8.04
1993-02-02,8.035
1993-02-03,8.017
1993-02-04,8.065
1993-02-05,8.057
