date,value
2000-01-03,8.17
2000-01-10,8.26
2000-01-17,8.29
2000-01-24,8.37
2000-01-31,8.36
2000-02-07,8.36
2000-02-14,8.47
2000-02-21,8.48
2000-02-28,8.42
2000-03-06,8.38
2000-03-13,8.33
2000-03-20,8.35
2000-03-27,8.34
2000-04-03,8.34
2000-04-10,8.31
2000-04-17,8.22
2000-04-24,8.27
2000-05-01,8.24
2000-05-08,8.39
2000-05-15,8.63
2000-05-22,8.75
2000-05-29,8.73
2000-06-05,8.64
2000-06-12,8.42
2000-06-19,8.33
2000-06-26,8.25
2000-07-03,8.32
2000-07-10,8.27
2000-07-17,8.19
2000-07-24,8.31
2000-07-31,8.23
2000-08-07,8.23
2000-08-14,8.14
2000-08-21,8.07
2000-08-28,8.1
2000-09-04,8.07
2000-09-11,8.05
2000-09-18,7.99
2000-09-25,8.01
2000-10-02,7.99
2000-10-09,7.94
2000-10-16,7.95
2000-10-23,7.92
2000-10-30,7.78
2000-11-06,7.82
2000-11-13,7.88
2000-11-20,7.82
2000-11-27,7.82
2000-12-04,7.74
2000-12-11,7.64
2000-12-18,7.51
2000-12-25,7.27
2001-01-01,7.23
2001-01-08,7.17
2001-01-15,6.98
2001-01-22,7.11
2001-01-29,7.23
2001-02-05,7.19
2001-02-12,7.08
2001-02-19,7.1
2001-02-26,7.21
2001-03-05,7.12
2001-03-12,7.06
2001-03-19,7.05
2001-03-26,6.99
2001-04-02,7
2001-04-09,7.1
2001-04-16,7.12
2001-04-23,7.23
2001-04-30,7.22
2001-05-07,7.23
2001-05-14,7.19
2001-05-21,7.24
2001-05-28,7.3
2001-06-04,7.33
2001-06-11,7.3
2001-06-18,7.23
2001-06-25,7.21
2001-07-02,7.21
2001-07-09,7.28
2001-07-16,7.3
2001-07-23,7.17
2001-07-30,7.12
2001-08-06,7.09
2001-08-13,7.09
2001-08-20,7.01
2001-08-27,7
2001-09-03,7.01
2001-09-10,6.98
2001-09-17,6.95
2001-09-24,6.89
2001-10-01,6.81
2001-10-08,6.72
2001-10-15,6.67
2001-10-22,6.7
2001-10-29,6.72
2001-11-05,6.65
2001-11-12,6.53
2001-11-19,6.59
2001-11-26,6.83
2001-12-03,7.09
2001-12-10,6.91
2001-12-17,7.17
2001-12-24,7.24
2001-12-31,7.24
2002-01-07,7.22
2002-01-14,7.14
2002-01-21,6.9
2002-01-28,7.03
2002-02-04,7.09
2002-02-11,6.95
2002-02-18,6.93
2002-02-25,6.88
2002-03-04,6.87
2002-03-11,6.94
2002-03-18,7.15
2002-03-25,7.21
2002-04-01,7.25
2002-04-08,7.2
2002-04-15,7.07
2002-04-22,7.01
2002-04-29,6.95
2002-05-06,6.85
2002-05-13,6.86
2002-05-20,6.96
2002-05-27,6.88
2002-06-03,6.84
2002-06-10,6.78
2002-06-17,6.78
2002-06-24,6.68
2002-07-01,6.6
2002-07-08,6.62
2002-07-15,6.59
2002-07-22,6.55
2002-07-29,6.4
2002-08-05,6.49
2002-08-12,6.37
2002-08-19,6.28
2002-08-26,6.34
2002-09-02,6.29
2002-09-09,6.21
2002-09-16,6.24
2002-09-23,6.12
2002-09-30,6.05
2002-10-07,6.06
2002-10-14,6.04
2002-10-21,6.2
2002-10-28,6.37
2002-11-04,6.19
2002-11-11,6.17
2002-11-18,6
2002-11-25,6.09
2002-12-02,6.19
2002-12-09,6.24
2002-12-16,6.09
2002-12-23,6.09
2002-12-30,5.99
2003-01-06,5.91
2003-01-13,6
2003-01-20,6.03
2003-01-27,5.97
2003-02-03,5.96
2003-02-10,5.95
2003-02-17,5.92
2003-02-24,5.9
2003-03-03,5.85
2003-03-10,5.73
2003-03-17,5.66
2003-03-24,5.85
2003-03-31,5.97
2003-04-07,5.85
2003-04-14,5.91
2003-04-21,5.88
2003-04-28,5.85
2003-05-05,5.76
2003-05-12,5.68
2003-05-19,5.5
2003-05-26,5.4
2003-06-02,5.36
2003-06-09,5.3
2003-06-16,5.25
2003-06-23,5.26
2003-06-30,5.29
2003-07-07,5.45
