date,value
1995-01-31,8.13
1995-02-28,8.38
1995-03-31,8.08
1995-04-30,8.29
1995-05-31,8.22
1995-06-30,7.94
1995-07-31,7.89
1995-08-31,7.99
1995-09-30,7.99
1995-10-31,7.99
1995-11-30,7.99
1995-12-31,7.99
1996-01-31,6.7
1996-02-29,6.65
1996-03-31,6.49
1996-04-30,6.62
1996-05-31,7.01
1996-06-30,7.06
1996-07-31,7.12
1996-08-31,7.09
1996-09-30,7.06
1996-10-31,6.96
1996-11-30,6.94
1996-12-31,7.24
1997-01-31,7.29
1997-02-28,7.35
1997-03-31,7.11
1997-04-30,7.24
1997-05-31,7.15
1997-06-30,7.14
1997-07-31,7.2
1997-08-31,7.17
1997-09-30,7.06
1997-10-31,7.07
1997-11-30,7.04
1997-12-31,7.13
1998-01-31,7.13
1998-02-28,7.08
1998-03-31,7.02
1998-04-30,7.14
1998-05-31,7.12
1998-06-30,6.94
1998-07-31,7.08
1998-08-31,7.33
1998-09-30,7.27
1998-10-31,6.91
1998-11-30,6.66
1998-12-31,6.42
1999-01-31,5.9
1999-02-28,5.78
1999-03-31,5.64
1999-04-30,5.71
1999-05-31,5.72
1999-06-30,5.89
1999-07-31,6
1999-08-31,6.19
1999-09-30,6.22
1999-10-31,6.5
1999-11-30,6.6
1999-12-31,6.52
2000-01-31,6.78
2000-02-29,6.79
2000-03-31,6.45
2000-04-30,6.31
2000-05-31,6.39
2000-06-30,6.46
2000-07-31,6.37
2000-08-31,6.35
2000-09-30,6.31
2000-10-31,6.05
2000-11-30,6.06
2000-12-31,6.03
2001-01-31,5.78
2001-02-28,5.7
2001-03-31,5.68
2001-04-30,5.63
2001-05-31,5.65
2001-06-30,5.72
2001-07-31,5.92
2001-08-31,5.58
2001-09-30,5.39
2001-10-31,5.06
2001-11-30,4.84
2001-12-31,4.98
2002-01-31,5.06
2002-02-28,5.14
2002-03-31,5.22
2002-04-30,5.35
2002-05-31,5.43
2002-06-30,5.41
2002-07-31,5.3
2002-08-31,4.59
2002-09-30,4.5
2002-10-31,4.43
2002-11-30,4.45
2002-12-31,4.62
2003-01-31,4.5
2003-02-28,4.14
2003-03-31,4.06
2003-04-30,4.06
2003-05-31,3.91
2003-06-30,3.85
2003-07-31,3.87
2003-08-31,4.32
2003-09-30,4.56
2003-10-31,4.98
2003-11-30,5.1
2003-12-31,5.05
2004-01-31,4.95
2004-02-29,4.89
2004-03-31,4.9
2004-04-30,5.11
2004-05-31,5.18
2004-06-30,5.52
2004-07-31,5.53
2004-08-31,5.47
2004-09-30,5.33
2004-10-31,5.29
2004-11-30,5.06
2004-12-31,5.07
2005-01-31,4.99
2005-02-28,5.07
2005-03-31,5.2
2005-04-30,5.16
2005-05-31,4.91
2005-06-30,4.77
2005-07-31,4.59
2005-08-31,4.56
2005-09-30,4.52
2005-10-31,4.54
2005-11-30,4.74
2005-12-31,4.74
2006-01-31,4.62
2006-02-28,4.71
2006-03-31,4.72
2006-04-30,4.77
2006-05-31,5
2006-06-30,5
2006-07-31,5.01
2006-08-31,5.1
2006-09-30,5.1
2006-10-31,4.99
2006-11-30,5.2
2006-12-31,5.15
2007-01-31,5.32
2007-02-28,5.46
2007-03-31,5.55
2007-04-30,5.62
2007-05-31,5.7
2007-06-30,5.98
2007-07-31,6.07
2007-08-31,6.11
2007-09-30,6.05
2007-10-31,6.11
2007-11-30,6.09
2007-12-31,6.06
2008-01-31,5.97
2008-02-29,5.74
2008-03-31,5.8
2008-04-30,6.06
2008-05-31,6.26
2008-06-30,6.6
2008-07-31,6.35
2008-08-31,6.08
2008-09-30,5.96
2008-10-31,5.82
2008-11-30,5.1
2008-12-31,4.77
2009-01-31,4.35
2009-02-28,4.35
2009-03-31,3.98
2009-04-30,4.02
2009-05-31,3.98
2009-06-30,4.45
2009-07-31,4.42
2009-08-31,4.43
2009-09-30,4.47
2009-10-31,4.32
2009-11-30,4.1
2009-12-31,4.05
2010-01-31,3.97
2010-02-28,3.88
2010-03-31,3.92
2010-04-30,3.82
2010-05-31,3.78
2010-06-30,3.67
2010-07-31,3.77
2010-08-31,3.74
2010-09-30,3.8
2010-10-31,3.68
2010-11-30,3.53
2010-12-31,3.5
2011-01-31,3.7
2011-02-28,3.7
2011-03-31,3.68
2011-04-30,3.66
2011-05-31,3.51
2011-06-30,3.36
2011-07-31,3.14
2011-08-31,3
2011-09-30,2.92
2011-10-31,3.04
2011-11-30,3.14
2011-12-31,3.22
2012-01-31,3.27
2012-02-29,3.37
2012-03-31,3.44
2012-04-30,3.66
2012-05-31,3.68
2012-06-30,3.74
2012-07-31,3.67
2012-08-31,3.69
2012-09-30,3.67
2012-10-31,3.49
2012-11-30,3.43
2012-12-31,3.35
2013-01-31,3.11
2013-02-28,2.92
2013-03-31,2.9
2013-04-30,2.87
2013-05-31,2.69
2013-06-30,2.63
2013-07-31,2.62
2013-08-31,2.58
2013-09-30,2.54
2013-10-31,2.48
2013-11-30,2.44
2013-12-31,2.4
2014-01-31,2.37
2014-02-28,2.38
2014-03-31,2.37
2014-04-30,2.54
2014-05-31,2.56
2014-06-30,2.6
2014-07-31,2.54
2014-08-31,2.54
2014-09-30,2.46
2014-10-31,2.21
2014-11-30,2.17
2014-12-31,2.08
2015-01-31,2.01
2015-02-28,1.96
2015-03-31,1.99
2015-04-30,1.95
2015-05-31,1.9
2015-06-30,1.83
2015-07-31,1.87
2015-08-31,1.95
2015-09-30,1.91
2015-10-31,1.87
2015-11-30,1.92
2015-12-31,1.9
2016-01-31,1.93
2016-02-29,1.95
2016-03-31,1.9
2016-04-30,1.84
2016-05-31,1.91
2016-06-30,1.75
2016-07-31,1.72
2016-08-31,1.69
2016-09-30,1.59
2016-10-31,1.51
2016-11-30,1.42
2016-12-31,1.43
