date,value,_value
1955-03-31,-0.09,-90
1955-06-30,-0.083,-83
1955-09-30,-0.083,-83
1955-12-31,-0.059,-59
1956-03-31,-0.01,-10
1956-06-30,0.027,27
1956-09-30,0.003,3
1956-12-31,0.03,30
1957-03-31,-0.037,-37
1957-06-30,-0.022,-22
1957-09-30,-0.004,-4
1957-12-31,0.034,34
1958-03-31,0.034,34
1958-06-30,-0.003,-3
1958-09-30,0.01,10
1958-12-31,-0.007,-7
1959-03-31,-0.035,-35
1959-06-30,-0.012,-12
1959-09-30,-0.02,-20
1959-12-31,-0.049,-49
1960-03-31,-0.05,-50
1960-06-30,-0.115,-115
1960-09-30,-0.123,-123
1960-12-31,-0.116,-116
1961-03-31,-0.064,-64
1961-06-30,-0.059,-59
1961-09-30,-0.003,-3
1961-12-31,-0.018,-18
1962-03-31,-0.031,-31
1962-06-30,-0.01,-10
1962-09-30,-0.042,-42
1962-12-31,-0.021,-21
1963-03-31,-0.005,-5
1963-06-30,-0.022,-22
1963-09-30,-0.034,-34
1963-12-31,-0.062,-62
1964-03-31,-0.143,-143
1964-06-30,-0.103,-103
1964-09-30,-0.146,-146
1964-12-31,-0.159,-159
1965-03-31,-0.05,-50
1965-06-30,-0.091,-91
1965-09-30,-0.067,-67
1965-12-31,-0.055,-55
1966-03-31,-0.078,-78
1966-06-30,-0.079,-79
1966-09-30,-0.055,-55
1966-12-31,0.101,101
1967-03-31,-0.05,-50
1967-06-30,-0.096,-96
1967-09-30,-0.109,-109
1967-12-31,-0.346,-346
1968-03-31,-0.177,-177
1968-06-30,-0.229,-229
1968-09-30,-0.166,-166
1968-12-31,-0.136,-136
1969-03-31,-0.149,-149
1969-06-30,-0.066,-66
1969-09-30,0.02,20
1969-12-31,-0.019,-19
1970-03-31,0.084,84
1970-06-30,-0.072,-72
1970-09-30,-0.091,-91
1970-12-31,0.061,61
1971-03-31,-0.039,-39
1971-06-30,0.047,47
1971-09-30,0.14,140
1971-12-31,0.057,57
1972-03-31,-0.106,-106
1972-06-30,-0.097,-97
1972-09-30,-0.333,-333
1972-12-31,-0.2,-200
1973-03-31,-0.423,-423
1973-06-30,-0.486,-486
1973-09-30,-0.678,-678
1973-12-31,-0.986,-986
1974-03-31,-1.226,-1226
1974-06-30,-1.399,-1399
1974-09-30,-1.306,-1306
1974-12-31,-1.31,-1310
1975-03-31,-0.888,-888
1975-06-30,-0.664,-664
1975-09-30,-1.034,-1034
1975-12-31,-0.659,-659
1976-03-31,-0.543,-543
1976-06-30,-1.028,-1028
1976-09-30,-1.218,-1218
1976-12-31,-1.141,-1141
1977-03-31,-0.954,-954
1977-06-30,-0.87,-870
1977-09-30,-0.17,-170
1977-12-31,-0.277,-277
1978-03-31,-0.554,-554
1978-06-30,-0.118,-118
1978-09-30,-0.514,-514
1978-12-31,-0.348,-348
1979-03-31,-1.464,-1464
1979-06-30,-0.456,-456
1979-09-30,-0.585,-585
1979-12-31,-0.821,-821
1980-01-31,-0.037,-37
1980-02-29,-0.242,-242
1980-03-31,-0.172,-172
1980-04-30,-0.301,-301
1980-05-31,0.07,70
1980-06-30,0.044,44
1980-07-31,0.353,353
1980-08-31,0.135,135
1980-09-30,0.366,366
1980-10-31,0.446,446
1980-11-30,0.435,435
1980-12-31,0.232,232
1981-01-31,0.775,775
1981-02-28,0.364,364
1981-03-31,0.544,544
1981-04-30,0.719,719
1981-05-31,0.378,378
1981-06-30,0.179,179
1981-07-31,0.041,41
1981-08-31,-0.212,-212
1981-09-30,0.03,30
1981-10-31,0.378,378
1981-11-30,-0.116,-116
1981-12-31,0.158,158
1982-01-31,0.047,47
1982-02-28,0.204,204
1982-03-31,0.014,14
1982-04-30,0.192,192
1982-05-31,-0.045,-45
1982-06-30,-0.02,-20
1982-07-31,0.145,145
1982-08-31,0.146,146
1982-09-30,0.249,249
1982-10-31,0.268,268
1982-11-30,0.404,404
1982-12-31,0.275,275
1983-01-31,-0.303,-303
1983-02-28,-0.144,-144
1983-03-31,0.207,207
1983-04-30,-0.22,-220
1983-05-31,-0.456,-456
1983-06-30,0.081,81
1983-07-31,-0.308,-308
1983-08-31,0.048,48
1983-09-30,0.097,97
1983-10-31,-0.489,-489
1983-11-30,-0.169,-169
1983-12-31,0.038,38
1984-01-31,-0.404,-404
1984-02-29,0.247,247
1984-03-31,-0.308,-308
1984-04-30,-0.759,-759
1984-05-31,-0.424,-424
1984-06-30,-0.218,-218
1984-07-31,-0.26,-260
1984-08-31,-0.402,-402
1984-09-30,-0.89,-890
1984-10-31,-0.942,-942
1984-11-30,-0.336,-336
1984-12-31,-0.713,-713
1985-01-31,-0.368,-368
1985-02-28,-0.665,-665
1985-03-31,-0.955,-955
1985-04-30,-0.246,-246
1985-05-31,0.313,313
1985-06-30,-0.295,-295
1985-07-31,-0.244,-244
1985-08-31,-0.059,-59
1985-09-30,-0.25,-250
1985-10-31,-0.087,-87
1985-11-30,-0.365,-365
1985-12-31,-0.195,-195
1986-01-31,-0.373,-373
1986-02-28,-0.477,-477
1986-03-31,-0.736,-736
1986-04-30,-0.773,-773
