date,value,_value
1992-01-31,0.611,611
1992-02-29,0.637,637
1992-03-31,0.651,651
1992-04-30,0.598,598
1992-05-31,0.511,511
1992-06-30,0.373,373
1992-07-31,0.268,268
1992-08-31,0.275,275
1992-09-30,0.382,382
1992-10-31,0.523,523
1992-11-30,0.696,696
1992-12-31,0.828,828
1993-01-31,0.874,874
1993-02-28,0.871,871
1993-03-31,0.693,693
1993-04-30,0.533,533
1993-05-31,0.407,407
1993-06-30,0.47,470
1993-07-31,0.521,521
1993-08-31,0.653,653
1993-09-30,0.708,708
1993-10-31,0.771,771
1993-11-30,0.819,819
1993-12-31,0.854,854
1994-01-31,0.886,886
1994-02-28,0.792,792
1994-03-31,0.736,736
1994-04-30,0.488,488
1994-05-31,0.44,440
1994-06-30,0.378,378
1994-07-31,0.535,535
1994-08-31,0.739,739
1994-09-30,0.779,779
1994-10-31,0.821,821
1994-11-30,0.753,753
1994-12-31,0.814,814
1995-01-31,1.237,1237
1995-02-28,1.317,1317
1995-03-31,1.2,1200
1995-04-30,1.016,1016
1995-05-31,0.612,612
1995-06-30,0.479,479
1995-07-31,0.548,548
1995-08-31,0.74,740
1995-09-30,0.816,816
1995-10-31,0.998,998
1995-11-30,1.051,1051
1995-12-31,1.151,1151
1996-01-31,0.921,921
1996-02-29,0.967,967
1996-03-31,0.933,933
1996-04-30,0.987,987
1996-05-31,1.206,1206
1996-06-30,1.36,1360
1996-07-31,1.209,1209
1996-08-31,1.19,1190
1996-09-30,1.269,1269
1996-10-31,1.371,1371
1996-11-30,1.471,1471
1996-12-31,1.428,1428
1997-01-31,1.415,1415
1997-02-28,1.163,1163
1997-03-31,0.97,970
1997-04-30,0.939,939
1997-05-31,1.148,1148
1997-06-30,1.527,1527
1997-07-31,1.914,1914
1997-08-31,2.065,2065
1997-09-30,1.907,1907
1997-10-31,1.498,1498
1997-11-30,1.148,1148
1997-12-31,1.026,1026
1998-01-31,1.145,1145
1998-02-28,1.284,1284
1998-03-31,1.29,1290
1998-04-30,1.137,1137
1998-05-31,0.997,997
1998-06-30,0.972,972
1998-07-31,1.083,1083
1998-08-31,1.228,1228
1998-09-30,1.324,1324
1998-10-31,1.337,1337
