date,value
2005-06-06,4.11
2005-06-10,3.759
2005-06-13,3.756
2005-06-16,3.581
2005-06-17,3.585
2005-06-20,3.593
2005-06-21,3.71
2005-06-22,3.592
2005-06-24,3.586
2005-06-27,3.592
2005-06-29,3.586
2005-06-30,3.592
2005-07-04,3.597
2005-07-05,3.594
2005-07-06,3.573
2005-07-07,3.505
2005-07-08,3.524
2005-07-12,3.524
2005-07-13,3.477
2005-07-18,3.481
2005-07-19,3.476
2005-07-20,3.475
2005-07-21,3.487
2005-07-25,3.474
2005-07-26,3.474
2005-07-27,3.462
2005-08-05,3.318
2005-08-08,3.435
2005-08-12,3.259
2005-08-18,3.339
2005-08-19,3.338
2005-08-23,3.611
2005-09-08,3.308
2006-04-03,2.826
2006-04-04,2.854
2006-04-05,2.868
2006-04-06,2.869
2006-04-07,2.875
2006-04-10,2.861
2006-04-11,2.861
2006-04-12,2.865
2006-04-13,2.861
2006-04-14,2.86
2006-04-17,2.88
2006-04-18,2.907
2006-04-19,2.925
2006-04-20,2.928
2006-04-21,2.96
2006-04-24,2.914
2006-04-25,2.979
2006-04-26,2.964
2006-04-27,2.961
2006-04-28,2.971
2006-05-08,2.984
2006-05-09,2.965
2006-05-10,2.995
2006-05-11,2.968
2006-05-12,2.995
2006-05-15,2.977
2006-05-16,2.982
2006-05-17,2.987
2006-05-18,2.98
2006-05-19,2.989
2006-05-22,2.972
2006-05-23,2.96
2006-05-24,2.95
2006-05-25,2.958
2006-05-26,2.96
2006-05-29,2.987
2006-05-30,2.987
2006-05-31,2.982
2006-06-01,2.983
2006-06-02,2.982
2006-06-05,2.984
2006-06-06,2.981
2006-06-07,2.982
2006-06-08,2.985
2006-06-09,2.988
2006-06-12,3.016
2006-06-13,3.035
2006-06-14,3.025
2006-06-15,3.042
2006-06-16,3.051
2006-06-19,3.106
2006-06-20,3.104
2006-06-21,3.096
2006-06-22,3.084
2006-06-23,3.1
2006-06-26,3.124
2006-06-27,3.124
2006-06-28,3.131
2006-06-29,3.134
2006-06-30,3.14
2006-07-03,3.148
2006-07-04,3.156
2006-07-05,3.158
2006-07-06,3.157
2006-07-07,3.164
2006-07-10,3.163
2006-07-11,3.148
2006-07-12,3.162
2006-07-13,3.171
2006-07-14,3.181
2006-07-17,3.169
2006-07-18,3.177
2006-07-19,3.193
2006-07-20,3.186
2006-07-21,3.154
2006-07-24,3.214
2006-07-25,3.233
2006-07-26,3.245
2006-07-27,3.272
2006-07-28,3.279
2006-07-31,3.288
2006-08-01,3.27
2006-08-02,3.273
2006-08-03,3.262
2006-08-04,3.283
2006-08-07,3.262
2006-08-08,3.246
2006-08-09,3.241
2006-08-10,3.232
2006-08-11,3.238
2006-08-14,3.221
2006-08-15,3.212
2006-08-16,3.207
2006-08-17,3.202
2006-08-18,3.203
2006-08-21,3.219
2006-08-22,3.225
2006-08-23,3.218
2006-08-24,3.199
2006-08-25,3.197
2006-08-28,3.199
2006-08-29,3.205
2006-08-30,3.21
2006-08-31,3.209
2006-09-01,3.193
2006-09-04,3.198
2006-09-05,3.196
2006-09-06,3.193
2006-09-07,3.196
2006-09-08,3.19
2006-09-11,3.189
2006-09-12,3.182
2006-09-13,3.182
2006-09-14,3.182
2006-09-15,3.181
2006-09-18,3.177
2006-09-19,3.177
2006-09-20,3.164
2006-09-21,3.154
2006-09-22,3.15
2006-09-25,3.113
2006-09-26,3.098
2006-09-27,3.105
2006-09-28,3.079
2006-09-29,3.036
2006-10-09,3.036
2006-10-10,3.039
2006-10-11,2.983
2006-10-12,2.998
2006-10-13,3
2006-10-16,2.995
2006-10-17,2.976
2006-10-18,3.003
2006-10-19,2.985
2006-10-20,2.953
2006-10-23,2.965
2006-10-24,2.951
2006-10-25,2.953
2006-10-26,2.983
2006-10-27,2.899
2006-10-30,2.95
2006-10-31,2.962
2006-11-01,2.945
2006-11-02,2.952
2006-11-03,2.959
2006-11-06,2.966
2006-11-07,2.963
2006-11-08,2.961
2006-11-09,2.955
2006-11-10,2.96
2006-11-13,2.974
2006-11-14,2.978
2006-11-15,2.984
2006-11-16,2.986
2006-11-17,2.975
2006-11-20,2.977
2006-11-21,2.99
2006-11-22,2.979
2006-11-23,3.003
2006-11-24,3.042
2006-11-27,3.042
2006-11-28,3.024
2006-11-29,3.012
2006-11-30,3.029
2006-12-01,3.021
2006-12-04,3.009
2006-12-05,3.014
2006-12-06,3.009
2006-12-07,3.016
2006-12-08,3.028
2006-12-11,3.046
2006-12-12,3.044
2006-12-13,3.042
2006-12-14,3.037
2006-12-15,3.035
2006-12-18,3.041
2006-12-19,3.038
2006-12-20,3.045
2006-12-21,3.034
2006-12-22,3.038
2006-12-25,3.045
2006-12-26,3.04
2006-12-27,3.04
2006-12-28,3.041
2006-12-29,3.058
2007-01-04,3.036
2007-01-05,3.038
2007-01-08,3.055
2007-01-09,3.043
