date,value
2011-06-13,6.6264
2011-06-14,6.6363
2011-06-15,6.6486
2011-06-16,6.6624
2011-06-17,6.6847
2011-06-20,6.6935
2011-06-21,6.6642
2011-06-22,6.5181
2011-06-23,6.5008
2011-06-24,6.5204
2011-06-27,6.4857
2011-06-28,6.4234
2011-06-29,6.3311
2011-06-30,6.3707
2011-07-01,6.355
2011-07-04,6.2725
2011-07-05,6.2649
2011-07-06,6.2836
2011-07-07,6.3279
2011-07-08,6.2796
2011-07-11,6.281
2011-07-12,6.3125
2011-07-13,6.3829
2011-07-14,6.3955
2011-07-15,6.3979
2011-07-18,6.3058
2011-07-19,6.3014
2011-07-20,6.4236
2011-07-21,6.5339
2011-07-22,6.5731
2011-07-25,6.6785
2011-07-26,6.9977
2011-07-27,7.0128
2011-07-28,6.9977
2011-07-29,7.1084
2011-08-01,7.0083
2011-08-02,7.0064
2011-08-03,6.9811
2011-08-04,6.9718
2011-08-05,6.9593
2011-08-08,7.0296
2011-08-09,7.089
2011-08-10,6.9545
2011-08-11,6.9619
2011-08-12,6.9893
2011-08-15,6.9399
2011-08-16,6.9354
2011-08-17,6.9393
2011-08-18,6.9436
2011-08-19,7.0956
2011-08-22,7.1705
2011-08-23,7.2651
2011-08-24,7.0643
2011-08-25,7.0802
2011-08-26,7.1209
2011-08-29,7.3159
2011-08-30,7.3527
2011-08-31,7.3269
2011-09-01,7.3474
2011-09-02,7.3533
2011-09-05,7.2959
2011-09-06,7.3239
2011-09-07,7.4016
2011-09-08,7.319
2011-09-09,7.3162
2011-09-13,7.3652
2011-09-14,7.4907
2011-09-15,7.4898
2011-09-16,7.5215
2011-09-19,7.5564
2011-09-20,7.6025
2011-09-21,7.5143
2011-09-22,7.6052
2011-09-23,7.5505
2011-09-26,7.5625
2011-09-27,7.5608
2011-09-28,7.5675
2011-09-29,7.5557
2011-09-30,7.5715
2011-10-08,7.5607
2011-10-09,7.5515
2011-10-10,7.5599
2011-10-11,7.5808
2011-10-12,7.5751
2011-10-13,7.5485
2011-10-14,7.5477
2011-10-17,7.5129
2011-10-18,7.5796
2011-10-19,7.5149
2011-10-20,7.5387
2011-10-21,7.4692
2011-10-24,7.4931
2011-10-25,7.459
2011-10-26,7.4498
2011-10-27,7.5117
2011-10-28,7.5051
2011-10-31,7.5626
2011-11-01,7.5616
2011-11-02,7.5263
2011-11-03,7.538
2011-11-04,7.5174
2011-11-07,7.528
2011-11-08,7.5107
2011-11-09,7.4828
2011-11-10,7.3881
2011-11-11,7.3147
2011-11-14,7.3279
2011-11-15,7.3914
2011-11-16,7.5342
2011-11-17,7.6311
2011-11-18,7.6014
2011-11-21,7.5344
2011-11-22,7.5473
2011-11-23,7.554
2011-11-24,7.6552
2011-11-25,7.625
2011-11-28,7.6721
2011-11-29,7.6882
2011-11-30,7.7586
2011-12-01,7.6308
2011-12-02,7.5311
2011-12-05,7.4749
2011-12-06,7.4985
2011-12-07,7.5133
2011-12-08,7.5183
2011-12-09,7.5244
2011-12-12,7.5604
2011-12-13,7.5322
2011-12-14,7.5869
2011-12-15,7.6912
2011-12-16,7.5766
2011-12-19,7.5915
2011-12-20,7.5837
2011-12-21,7.6019
2011-12-22,7.6404
2011-12-23,7.6411
2011-12-26,7.6444
2011-12-27,7.6945
2011-12-28,7.6966
2011-12-29,7.6831
2011-12-30,7.652
2011-12-31,7.6536
2012-01-04,7.6925
2012-01-05,7.6689
2012-01-06,7.626
2012-01-09,7.6199
2012-01-10,7.5662
2012-01-11,7.6399
2012-01-12,7.6398
2012-01-13,7.6675
2012-01-16,7.6361
2012-01-17,7.6333
2012-01-18,7.6335
2012-01-19,7.6218
2012-01-20,7.6121
2012-01-21,7.6468
2012-01-29,7.6118
2012-01-30,7.6169
2012-01-31,7.5919
2012-02-01,7.6209
2012-02-02,7.6297
2012-02-03,7.6478
2012-02-06,7.6107
2012-02-07,7.6347
2012-02-08,7.6676
2012-02-09,7.6967
2012-02-10,7.7825
2012-02-13,7.7279
2012-02-14,7.6982
2012-02-15,7.7284
2012-02-16,7.7267
2012-02-17,7.7944
2012-02-20,7.8584
2012-02-21,7.8597
2012-02-22,7.8551
2012-02-23,7.85
2012-02-24,7.8538
2012-02-27,7.8181
2012-02-28,7.8301
2012-02-29,7.8515
2012-03-01,7.8563
2012-03-02,7.8685
2012-03-05,7.8977
2012-03-06,7.8286
2012-03-07,7.8296
2012-03-08,7.7601
2012-03-09,7.7806
2012-03-12,7.7953
2012-03-13,7.7868
2012-03-14,7.687
2012-03-15,7.7058
2012-03-16,7.7065
2012-03-19,7.7141
2012-03-20,7.7601
2012-03-21,7.687
2012-03-22,7.6207
2012-03-23,7.5841
2012-03-26,7.5491
2012-03-27,7.533
2012-03-28,7.5471
2012-03-29,7.5055
2012-03-30,7.5014
2012-03-31,7.5027
2012-04-01,7.5004
2012-04-05,7.5137
2012-04-06,7.5075
2012-04-09,7.5036
2012-04-10,7.4981
2012-04-11,7.5746
2012-04-12,7.5724
2012-04-13,7.568
2012-04-16,7.5826
2012-04-17,7.5813
2012-04-18,7.5677
2012-04-19,7.5428
2012-04-20,7.5539
2012-04-23,7.4402
2012-04-24,7.3641
2012-04-25,7.368
2012-04-26,7.3661
2012-04-27,7.2787
2012-04-28,7.2501
2012-05-02,7.2496
2012-05-03,7.2001
2012-05-04,7.1937
2012-05-07,7.1494
2012-05-08,7.0893
2012-05-09,7.0804
2012-05-10,7.0222
2012-05-11,6.9507
2012-05-14,6.9338
2012-05-15,6.7828
2012-05-16,6.7518
2012-05-17,6.7395
2012-05-18,6.7317
2012-05-21,6.7325
2012-05-22,6.7197
2012-05-23,6.7062
2012-05-24,6.6886
2012-05-25,6.6367
2012-05-28,6.5441
2012-05-29,6.563
2012-05-30,6.5595
2012-05-31,6.5608
2012-06-01,6.56
2012-06-04,6.5545
2012-06-05,6.5403
2012-06-06,6.5401
2012-06-07,6.5409
2012-06-08,6.4667
2012-06-11,6.4769
2012-06-12,6.4388
2012-06-13,6.478
2012-06-14,6.474
2012-06-15,6.4728
2012-06-18,6.4694
2012-06-19,6.5194
2012-06-20,6.5812
2012-06-21,6.623
2012-06-25,6.6152
2012-06-26,6.5731
2012-06-27,6.6128
2012-06-28,6.5511
2012-06-29,6.5369
2012-07-02,6.5405
2012-07-03,6.5437
2012-07-04,6.5463
2012-07-05,6.5636
2012-07-06,6.5489
2012-07-09,6.5494
2012-07-10,6.5464
2012-07-11,6.5699
2012-07-12,6.573
2012-07-13,6.5694
2012-07-16,6.5737
2012-07-17,6.5733
2012-07-18,6.5728
2012-07-19,6.5743
2012-07-20,6.573
2012-07-23,6.5696
2012-07-24,6.571
2012-07-25,6.5712
2012-07-26,6.571
2012-07-27,6.5721
2012-07-30,6.573
2012-07-31,6.5682
2012-08-01,6.5723
2012-08-02,6.5672
2012-08-03,6.5681
2012-08-06,6.5639
2012-08-07,6.5595
2012-08-08,6.5631
2012-08-09,6.5622
2012-08-10,6.557
2012-08-13,6.5563
2012-08-14,6.5567
2012-08-15,6.558
2012-08-16,6.5586
2012-08-17,6.5601
2012-08-20,6.5583
2012-08-21,6.56
2012-08-22,6.5553
2012-08-23,6.555
2012-08-24,6.5583
2012-08-27,6.9153
2012-08-28,6.8478
2012-08-29,6.8223
2012-08-30,6.7936
2012-08-31,6.835
2012-09-03,6.7939
2012-09-04,6.7493
2012-09-05,6.751
2012-09-06,6.7754
2012-09-07,6.7507
2012-09-10,6.6982
2012-09-11,6.6371
2012-09-12,6.5805
2012-09-13,6.6027
2012-09-14,6.7112
2012-09-17,6.646
2012-09-18,6.6292
2012-09-19,6.5977
2012-09-20,6.6339
2012-09-21,6.6569
2012-09-24,6.6563
2012-09-25,6.6753
2012-09-26,6.6882
2012-09-27,6.7541
2012-09-28,6.7675
2012-09-29,6.8087
2012-10-08,6.8244
2012-10-09,6.8362
2012-10-10,6.8349
2012-10-11,6.8376
2012-10-12,6.8011
2012-10-15,6.7798
2012-10-16,6.7745
2012-10-17,6.8418
2012-10-18,6.8395
2012-10-19,6.8352
2012-10-22,6.8467
2012-10-23,6.8399
2012-10-24,6.8312
2012-10-25,6.8842
2012-10-26,6.8847
2012-10-29,6.858
2012-10-30,6.9005
2012-10-31,6.8204
2012-11-01,6.9008
2012-11-02,6.8989
2012-11-05,6.903
2012-11-06,6.893
2012-11-07,6.885
2012-11-08,6.8643
2012-11-09,6.8639
2012-11-12,6.908
2012-11-13,6.8996
2012-11-14,6.8964
2012-11-15,6.8942
2012-11-16,6.8893
2012-11-19,6.8683
2012-11-20,6.8494
2012-11-21,6.8284
2012-11-22,6.8012
2012-11-23,6.7576
2012-11-26,6.8114
2012-11-27,6.8482
2012-11-28,6.8139
2012-11-29,6.8377
2012-11-30,6.8286
2012-12-03,6.818
2012-12-04,6.7885
2012-12-05,6.811
2012-12-06,6.7995
2012-12-07,6.7866
2012-12-10,6.7704
2012-12-11,6.7793
2012-12-12,6.7656
2012-12-13,6.7525
2012-12-14,6.7738
2012-12-17,6.8035
2012-12-18,6.7809
2012-12-19,6.7913
2012-12-20,6.7907
2012-12-21,6.7963
2012-12-24,6.8091
2012-12-25,6.8327
2012-12-26,6.8367
2012-12-27,6.811
2012-12-28,6.7794
2012-12-31,6.7492
2013-01-04,6.7617
2013-01-05,6.776
2013-01-06,6.7669
2013-01-07,6.7557
2013-01-08,6.735
2013-01-09,6.7165
2013-01-10,6.6957
2013-01-11,6.6709
2013-01-14,6.6567
2013-01-15,6.6479
2013-01-16,6.6583
2013-01-17,6.6382
2013-01-18,6.6162
2013-01-21,6.5701
2013-01-22,6.5578
2013-01-23,6.588
2013-01-24,6.5758
2013-01-25,6.6109
2013-01-28,6.6075
2013-01-29,6.6217
2013-01-30,6.637
2013-01-31,6.647
2013-02-01,6.6281
2013-02-04,6.6296
2013-02-05,6.6305
2013-02-06,6.6298
2013-02-07,6.6224
2013-02-08,6.6038
2013-02-16,6.5797
2013-02-17,6.5713
2013-02-18,6.5655
2013-02-19,6.5546
2013-02-20,6.5312
2013-02-21,6.5364
2013-02-22,6.5163
2013-02-25,6.5302
2013-02-26,6.5452
2013-02-27,6.5386
2013-02-28,6.5719
2013-03-01,6.6204
2013-03-04,6.6255
2013-03-05,6.6298
2013-03-06,6.6302
2013-03-07,6.5647
2013-03-08,6.5679
2013-03-11,6.5062
2013-03-12,6.5205
2013-03-13,6.5281
2013-03-14,6.529
2013-03-15,6.553
2013-03-18,6.5752
2013-03-19,6.5714
2013-03-20,6.5593
2013-03-21,6.5482
2013-03-22,6.5513
2013-03-25,6.5692
2013-03-26,6.5943
2013-03-27,6.607
2013-03-28,6.5949
2013-03-29,6.5849
2013-04-01,6.566
2013-04-02,6.5574
2013-04-03,6.4604
2013-04-07,6.4452
2013-04-08,6.4351
2013-04-09,6.3468
2013-04-10,6.4344
2013-04-11,6.4126
2013-04-12,6.4107
2013-04-15,6.3881
2013-04-16,6.3611
2013-04-17,6.3296
2013-04-18,6.2446
2013-04-19,6.2554
2013-04-22,6.2638
2013-04-23,6.2738
2013-04-24,6.3165
2013-04-25,6.3119
2013-04-26,6.311
2013-04-27,6.2538
2013-04-28,6.2532
2013-05-02,6.2405
2013-05-03,6.21
2013-05-06,6.207
2013-05-07,6.1674
2013-05-08,6.1909
2013-05-09,6.1914
2013-05-10,6.176
2013-05-13,6.1487
2013-05-14,6.137
2013-05-15,6.1126
2013-05-16,6.1037
2013-05-17,6.1049
2013-05-20,6.1147
2013-05-21,6.1239
2013-05-22,6.112
2013-05-23,6.1123
2013-05-24,6.1076
2013-05-27,6.1242
2013-05-28,6.1454
2013-05-29,6.1348
2013-05-30,6.1281
2013-05-31,6.116
2013-06-03,6.1155
2013-06-04,6.1282
2013-06-05,6.1453
2013-06-06,6.1563
2013-06-07,6.1753
2013-06-08,6.1727
2013-06-09,6.1868
2013-06-13,6.1827
2013-06-14,6.2203
2013-06-17,6.2715
2013-06-18,6.2981
2013-06-19,6.3505
2013-06-20,6.8573
2013-06-21,6.4701
2013-06-24,6.4415
2013-06-25,6.5864
2013-06-26,6.5839
2013-06-27,6.4756
2013-06-28,6.4503
2013-07-01,6.427
2013-07-02,6.3965
2013-07-03,6.3089
2013-07-04,6.2578
2013-07-05,6.2631
2013-07-08,6.2633
2013-07-09,6.2744
2013-07-10,6.3013
2013-07-11,6.3128
2013-07-12,6.3617
2013-07-15,6.3714
2013-07-16,6.3997
2013-07-17,6.3999
2013-07-18,6.3937
2013-07-19,6.4205
2013-07-22,6.4741
2013-07-23,6.5464
2013-07-24,6.6464
2013-07-25,6.6739
2013-07-26,6.6634
2013-07-29,6.6158
2013-07-30,6.6277
2013-07-31,6.6139
2013-08-01,6.5396
2013-08-02,6.5239
2013-08-05,6.5045
2013-08-06,6.5048
2013-08-07,6.5232
2013-08-08,6.5668
2013-08-09,6.6076
2013-08-12,6.6356
2013-08-13,6.6914
2013-08-14,6.7218
2013-08-15,6.815
2013-08-16,6.8201
2013-08-19,6.8585
2013-08-20,6.8636
2013-08-21,6.8643
2013-08-22,6.8032
2013-08-23,6.7997
2013-08-26,6.746
2013-08-27,6.7555
2013-08-28,6.7597
2013-08-29,6.7673
2013-08-30,6.7708
2013-09-02,6.7865
2013-09-03,6.7645
2013-09-04,6.7582
2013-09-05,6.787
2013-09-06,6.7981
2013-09-09,6.839
2013-09-10,6.8974
2013-09-11,6.903
2013-09-12,6.9876
2013-09-13,6.9994
2013-09-16,7.009
2013-09-17,7.0379
2013-09-18,7.0441
2013-09-22,7.0405
2013-09-23,7.0541
2013-09-24,7.011
2013-09-25,7.0195
2013-09-26,7.0652
2013-09-27,7.0086
2013-09-29,7.0122
2013-09-30,7.0063
2013-10-08,7.0176
2013-10-09,7.0162
2013-10-10,7.0214
2013-10-11,7.004
2013-10-12,6.9828
2013-10-14,6.9822
2013-10-15,7.0086
2013-10-16,7.0265
2013-10-17,7.0295
2013-10-18,7.0147
2013-10-21,7.04
2013-10-22,7.0699
2013-10-23,7.0589
2013-10-24,7.1148
2013-10-25,7.1356
2013-10-28,7.2357
2013-10-29,7.2398
2013-10-30,7.2683
2013-10-31,7.3212
2013-11-01,7.3445
2013-11-04,7.3533
2013-11-05,7.2426
2013-11-06,7.2538
2013-11-07,7.2864
2013-11-08,7.2927
2013-11-11,7.3898
2013-11-12,7.4461
2013-11-13,7.466
2013-11-14,7.5575
2013-11-15,7.5759
2013-11-18,7.6895
2013-11-19,7.7174
2013-11-20,7.818
2013-11-21,7.8698
2013-11-22,7.849
2013-11-25,7.8388
2013-11-26,7.8358
2013-11-27,7.8577
2013-11-28,7.8568
2013-11-29,7.8782
2013-12-02,7.831
2013-12-03,7.8254
2013-12-04,7.9307
2013-12-05,7.9214
2013-12-06,7.9024
2013-12-09,7.907
2013-12-10,7.9068
2013-12-11,7.9195
2013-12-12,7.925
2013-12-13,7.9403
2013-12-16,7.9124
2013-12-17,7.9132
2013-12-18,7.9302
2013-12-19,7.9241
2013-12-20,7.9551
2013-12-23,7.9463
2013-12-24,7.9854
2013-12-25,8.0394
2013-12-26,8.0393
2013-12-27,8.0811
2013-12-30,8.1047
2013-12-31,8.1039
2014-01-02,8.1048
2014-01-03,8.0336
2014-01-06,8.0172
2014-01-07,8.0261
2014-01-08,8.0475
2014-01-09,8.0297
2014-01-10,8.0286
2014-01-13,8.0066
2014-01-14,7.9754
2014-01-15,7.93
2014-01-16,7.9182
2014-01-17,7.9174
2014-01-20,7.917
2014-01-21,7.9558
2014-01-22,7.9393
2014-01-23,7.9252
2014-01-24,7.8842
2014-01-26,7.855
2014-01-27,7.8554
2014-01-28,7.8562
2014-01-29,7.857
2014-01-30,7.8478
2014-02-07,7.837
2014-02-08,7.8155
2014-02-10,7.7878
2014-02-11,7.7494
2014-02-12,7.7327
2014-02-13,7.7036
2014-02-14,7.6774
2014-02-17,7.6529
2014-02-18,7.6439
2014-02-19,7.6585
2014-02-20,7.59
2014-02-21,7.5651
2014-02-24,7.5399
2014-02-25,7.4892
2014-02-26,7.3276
2014-02-27,7.2923
2014-02-28,7.2821
2014-03-03,7.2748
2014-03-04,7.3038
2014-03-05,7.307
2014-03-06,7.307
2014-03-07,7.3054
2014-03-10,7.7331
2014-03-11,7.7296
2014-03-12,7.8541
2014-03-13,7.8549
2014-03-14,7.8511
2014-03-17,7.8555
2014-03-18,7.8506
2014-03-19,7.8552
2014-03-20,7.8636
2014-03-21,7.8783
2014-03-24,7.854
2014-03-25,7.8479
2014-03-26,7.8766
2014-03-27,7.9072
2014-03-28,7.9634
2014-03-31,7.9297
2014-04-01,7.9129
2014-04-02,8.1273
2014-04-03,8.1184
2014-04-04,8.1963
2014-04-08,8.2328
2014-04-09,8.2031
2014-04-10,8.2309
2014-04-11,8.2145
2014-04-14,8.1809
2014-04-15,8.1671
2014-04-16,8.1164
2014-04-17,8.0233
2014-04-18,8.0256
2014-04-21,8.04
2014-04-22,8.2068
2014-04-23,8.4095
2014-04-24,8.8467
2014-04-25,9.1508
2014-04-28,8.0746
2014-04-29,8.0194
2014-04-30,8.0042
2014-05-04,7.9851
2014-05-05,7.9872
2014-05-06,7.9971
2014-05-07,7.9855
2014-05-08,7.9754
2014-05-09,7.9588
2014-05-12,7.9185
2014-05-13,7.922
2014-05-14,7.9234
2014-05-15,7.9019
2014-05-16,7.887
2014-05-19,7.8681
2014-05-20,7.8121
2014-05-21,7.806
2014-05-22,7.768
2014-05-23,7.7298
2014-05-26,7.7463
2014-05-27,7.7648
2014-05-28,7.7848
2014-05-29,7.8065
2014-05-30,7.8301
2014-06-03,7.8525
2014-06-04,7.8523
2014-06-05,7.8521
2014-06-06,7.8538
2014-06-09,7.8548
2014-06-10,7.8367
2014-06-11,7.8374
2014-06-12,7.8739
2014-06-13,7.8892
2014-06-16,7.8811
2014-06-17,7.9468
2014-06-18,7.9559
2014-06-19,7.9973
2014-06-20,8.0173
2014-06-23,7.9962
2014-06-24,7.9977
2014-06-25,8.044
2014-06-26,8.0223
2014-06-27,8.0122
2014-06-30,8.0041
2014-07-01,8.03
2014-07-02,8.0519
2014-07-03,8.0588
2014-07-04,8.0458
2014-07-07,8.0414
2014-07-08,7.9969
2014-07-09,8.0192
2014-07-10,8.0551
2014-07-11,8.0116
2014-07-14,7.9909
2014-07-15,7.9912
2014-07-16,7.9843
2014-07-17,8.0172
2014-07-18,8.0543
2014-07-21,8.1157
2014-07-22,8.0964
2014-07-23,8.0797
2014-07-24,8.0782
2014-07-25,8.0551
2014-07-28,8.0543
2014-07-29,8.0322
2014-07-30,8.0365
2014-07-31,8.0385
2014-08-01,8.0186
2014-08-04,8.0275
2014-08-05,8.0507
2014-08-06,8.0441
2014-08-07,8.0459
2014-08-08,8.0349
2014-08-11,8.0028
2014-08-12,8.0201
2014-08-13,7.9905
2014-08-14,7.9616
2014-08-15,7.9078
2014-08-18,7.9931
2014-08-19,8.0166
2014-08-20,8.0055
2014-08-21,8.0288
2014-08-22,8.04
2014-08-25,8.0407
2014-08-26,8.0183
2014-08-27,8.0268
2014-08-28,8.0148
2014-08-29,7.9854
2014-09-01,7.9876
2014-09-02,8.0067
2014-09-03,8.0076
2014-09-04,7.9941
2014-09-05,7.9961
2014-09-09,7.9998
2014-09-10,8.0019
2014-09-11,8.0139
2014-09-12,7.9967
2014-09-15,8.0012
2014-09-16,8.0173
2014-09-17,7.9924
2014-09-18,7.9671
2014-09-19,7.957
2014-09-22,7.9137
2014-09-23,7.9528
2014-09-24,7.953
2014-09-25,7.9407
2014-09-26,7.9509
2014-09-28,7.9393
2014-09-29,7.9535
2014-09-30,7.9503
2014-10-08,7.9369
2014-10-09,7.9338
2014-10-10,7.9331
2014-10-11,7.9494
