date,value
2006-03-01,2.96
2006-03-02,3.1071
2006-03-03,2.9381
2006-03-06,3.1329
2006-03-07,2.9368
2006-03-08,2.936
2006-03-09,3.0405
2006-03-10,3.0523
2006-03-13,3.0663
2006-03-14,3.0531
2006-03-15,3.0523
2006-03-16,3.0392
2006-03-17,3.013
2006-03-20,3.0258
2006-03-21,3.013
2006-03-23,3.1701
2006-03-24,3.1573
2006-03-28,3.2677
2006-03-29,3.2601
2006-03-30,3.0069
2006-03-31,3.1384
2006-04-03,3.0184
2006-04-04,3.0332
2006-04-05,3.0454
2006-04-06,3.0335
2006-04-07,3.0313
2006-04-10,3.1416
2006-04-11,3.1572
2006-04-12,3.1626
2006-04-13,3.1601
2006-04-14,3.1731
2006-04-17,3.1619
2006-04-18,3.2355
2006-04-19,3.263
2006-04-20,3.2969
2006-04-21,3.2973
2006-04-24,3.2968
2006-04-25,3.3544
2006-04-26,3.3773
2006-04-27,3.3539
2006-04-28,3.3577
2006-04-29,3.2634
2006-04-30,3.2411
2006-05-08,3.2766
2006-05-09,3.2544
2006-05-10,3.251
2006-05-11,3.2732
2006-05-12,3.2965
2006-05-15,3.2962
2006-05-16,3.2961
2006-05-17,3.2738
2006-05-18,3.2966
2006-05-19,3.273
2006-05-22,3.2849
2006-05-23,3.319
2006-05-24,3.2959
2006-05-25,3.3082
2006-05-26,3.3082
2006-05-29,3.3308
2006-05-30,3.3423
2006-05-31,3.354
2006-06-01,3.3771
2006-06-02,3.388
2006-06-05,3.4107
2006-06-06,3.4091
2006-06-07,3.4434
2006-06-08,3.4315
2006-06-09,3.4074
2006-06-12,3.4405
2006-06-13,3.4824
2006-06-14,3.4603
2006-06-15,3.4995
2006-06-16,3.5669
2006-06-19,3.5776
2006-06-20,3.6537
2006-06-21,3.6617
2006-06-22,3.6849
2006-06-23,3.6607
2006-06-26,3.6746
2006-06-27,3.6982
2006-06-28,3.721
2006-06-29,3.704
2006-06-30,3.6862
2006-07-03,3.6862
2006-07-04,3.6859
2006-07-05,3.6859
2006-07-06,3.71
2006-07-07,3.6875
2006-07-10,3.5911
2006-07-11,3.561
2006-07-12,3.5695
2006-07-13,3.6152
2006-07-14,3.6433
2006-07-17,3.6398
2006-07-18,3.6404
2006-07-19,3.6629
2006-07-20,3.6744
2006-07-21,3.6857
2006-07-24,3.7432
2006-07-25,3.7751
2006-07-26,3.809
2006-07-27,3.8316
2006-07-28,3.8537
2006-07-31,3.8388
2006-08-01,3.8398
2006-08-02,3.852
2006-08-03,3.8423
2006-08-04,3.8429
2006-08-07,3.8431
2006-08-08,3.8426
2006-08-09,3.8427
2006-08-10,3.8435
2006-08-11,3.8499
2006-08-14,3.8331
2006-08-15,3.8101
2006-08-16,3.7647
2006-08-17,3.7367
2006-08-18,3.7493
2006-08-21,3.823
2006-08-22,3.8191
2006-08-23,3.811
2006-08-24,3.7612
2006-08-25,3.7475
2006-08-28,3.7499
2006-08-29,3.7532
2006-08-30,3.7475
2006-08-31,3.7419
2006-09-01,3.7455
2006-09-04,3.7418
2006-09-05,3.7094
2006-09-06,3.6891
2006-09-07,3.6775
2006-09-08,3.6823
2006-09-11,3.6569
2006-09-12,3.5833
2006-09-13,3.5713
2006-09-14,3.5838
2006-09-15,3.5488
2006-09-18,3.5069
2006-09-19,3.4974
2006-09-20,3.4181
2006-09-21,3.358
2006-09-22,3.4969
2006-09-25,3.4977
2006-09-26,3.5183
2006-09-27,3.5215
2006-09-28,3.5206
2006-09-29,3.5204
2006-09-30,3.5197
2006-10-08,3.5162
2006-10-09,3.6143
2006-10-10,3.6177
2006-10-11,3.6172
2006-10-12,3.7306
2006-10-13,3.7092
2006-10-16,3.6969
2006-10-17,3.7106
2006-10-18,3.6974
2006-10-19,3.699
2006-10-20,3.7002
2006-10-23,3.7136
2006-10-24,3.712
2006-10-25,3.7123
2006-10-26,3.666
2006-10-27,3.6657
2006-10-30,3.6656
2006-10-31,3.6647
2006-11-01,3.6786
2006-11-02,3.5851
2006-11-03,3.5725
2006-11-06,3.61
2006-11-07,3.6148
2006-11-08,3.6147
2006-11-09,3.6211
2006-11-10,3.6227
2006-11-13,3.6224
2006-11-14,3.6222
2006-11-15,3.6351
2006-11-16,3.6349
2006-11-17,3.6603
2006-11-20,3.7106
2006-11-21,3.7275
2006-11-22,3.7309
2006-11-23,3.7387
2006-11-24,3.7292
2006-11-27,3.7321
2006-11-28,3.7213
2006-11-29,3.7221
2006-11-30,3.7162
2006-12-01,3.7097
2006-12-04,3.6705
2006-12-05,3.6574
2006-12-06,3.6757
2006-12-07,3.6811
2006-12-08,3.7233
2006-12-11,3.7088
2006-12-12,3.7167
2006-12-13,3.7183
2006-12-14,3.6975
2006-12-15,3.6993
2006-12-18,3.7202
2006-12-19,3.7203
2006-12-20,3.7315
2006-12-21,3.7211
2006-12-22,3.7847
2006-12-25,3.7852
2006-12-26,3.7852
2006-12-27,3.7853
2006-12-28,3.7852
2006-12-29,3.7844
2006-12-30,3.7839
2006-12-31,3.7786
2007-01-04,3.7732
2007-01-05,3.733
2007-01-08,3.7552
2007-01-09,3.728
2007-01-10,3.7282
2007-01-11,3.7184
2007-01-12,3.7348
2007-01-15,3.7515
2007-01-16,3.7233
2007-01-17,3.7042
2007-01-18,3.7225
2007-01-19,3.722
2007-01-22,3.7352
2007-01-23,3.7464
2007-01-24,3.7504
2007-01-25,3.7448
2007-01-26,3.7512
2007-01-29,3.7688
2007-01-30,3.8099
2007-01-31,3.8326
2007-02-01,3.859
2007-02-02,3.8862
2007-02-05,3.8531
2007-02-06,3.8905
2007-02-07,3.8909
2007-02-08,3.8751
2007-02-09,3.909
2007-02-12,3.9135
2007-02-13,3.9015
2007-02-14,3.9143
2007-02-15,3.9164
2007-02-16,3.809
2007-02-17,3.8223
2007-02-25,3.8103
2007-02-26,3.8089
2007-02-27,3.8345
2007-02-28,3.8352
2007-03-01,3.8357
2007-03-02,3.8588
2007-03-05,3.8584
2007-03-06,3.816
2007-03-07,3.8157
2007-03-08,3.8005
2007-03-09,3.813
2007-03-12,3.7784
2007-03-13,3.7784
2007-03-14,3.7784
2007-03-15,3.7784
2007-03-16,3.7777
2007-03-19,3.7982
2007-03-20,3.8184
2007-03-21,3.8192
2007-03-22,3.8298
2007-03-23,3.8349
2007-03-26,3.8297
2007-03-27,3.8296
2007-03-28,3.8294
2007-03-29,3.8291
2007-03-30,3.8298
2007-04-02,3.8343
2007-04-03,3.8365
2007-04-04,3.8395
2007-04-05,3.8321
2007-04-06,3.8391
2007-04-09,3.8596
2007-04-10,3.8589
2007-04-11,3.8583
2007-04-12,3.8586
2007-04-13,3.8653
2007-04-16,3.8903
2007-04-17,3.9029
2007-04-18,3.906
2007-04-19,3.9109
2007-04-20,3.9232
2007-04-23,3.9272
2007-04-24,3.9312
2007-04-25,3.9476
2007-04-26,3.962
2007-04-27,3.9616
2007-04-28,3.9416
2007-04-29,3.91
2007-04-30,3.8998
2007-05-08,3.9049
2007-05-09,3.91
2007-05-10,3.9306
2007-05-11,3.9414
2007-05-14,3.9407
2007-05-15,3.9468
2007-05-16,3.9509
2007-05-17,3.9714
2007-05-18,3.9827
2007-05-21,4.0645
2007-05-22,4.0831
2007-05-23,4.0955
2007-05-24,4.0846
2007-05-25,4.067
2007-05-28,4.0693
2007-05-29,4.0208
2007-05-30,4.0159
2007-05-31,4.0127
2007-06-01,4.0136
2007-06-04,4.0158
2007-06-05,4.0398
2007-06-06,4.047
2007-06-07,4.0521
2007-06-08,4.0896
2007-06-11,4.1464
2007-06-12,4.1596
2007-06-13,4.1816
2007-06-14,4.2202
2007-06-15,4.2207
2007-06-18,4.2358
2007-06-19,4.2568
2007-06-20,4.3006
2007-06-21,4.3607
2007-06-22,4.3387
2007-06-25,4.3387
2007-06-26,4.4165
2007-06-27,4.4587
2007-06-28,4.5107
2007-06-29,4.5169
2007-07-02,4.5326
2007-07-03,4.5782
2007-07-04,4.5706
2007-07-05,4.5575
2007-07-06,4.5783
2007-07-09,4.6
2007-07-10,4.6205
2007-07-11,4.6315
2007-07-12,4.6309
2007-07-13,4.6343
2007-07-16,4.6466
2007-07-17,4.6312
2007-07-18,4.6312
2007-07-19,4.6323
2007-07-20,4.8038
2007-07-23,4.8206
2007-07-24,4.8473
2007-07-25,4.8415
2007-07-26,4.8161
2007-07-27,4.8383
2007-07-30,4.8312
2007-07-31,4.9052
2007-08-01,4.911
2007-08-02,4.977
2007-08-03,5.0225
2007-08-06,5.0284
2007-08-07,5.0718
2007-08-08,5.082
2007-08-09,5.0845
2007-08-10,5.0855
