date,value
2005-03-01,997.892
2005-06-01,1156.1
2005-09-01,975.269
2005-12-01,972.53
2006-03-01,885.044
2006-06-01,1062.99
2006-09-01,980.118
2006-12-01,1091.96
2007-03-01,851.465
2007-06-01,613.118
2007-09-01,737.275
2007-12-01,897.218
2008-03-01,810.497
2008-06-01,851.852
2008-09-01,705.203
2008-12-01,683.896
2009-03-01,604.049
2009-06-01,744.336
2009-09-01,1117.96
2009-12-01,1472.96
2010-03-01,1151.74
2010-06-01,1388.96
2010-09-01,882.442
2010-12-01,1207.31
2011-03-01,1464.01
2011-06-01,1417.79
2011-09-01,1319.92
2011-12-01,1244.57
2012-03-01,1489.66
2012-06-01,894.059
2012-09-01,815.968
2012-12-01,1072.59
2013-03-01,1570.2
2013-06-01,852.18
2013-09-01,494.859
2013-12-01,134.772
2014-03-01,157.127
2014-06-01,-601.025
2014-09-01,108.35
2014-12-01,302.8
2015-03-01,178.653
2015-06-01,106.875
2015-09-01,-15.8656
2015-12-01,46.431
2016-03-01,-112.243
2016-06-01,-30.6738
