date,value
1999-12-01,1479240
2000-01-01,1501620
2000-02-01,1501550
2000-03-01,1505616
2000-04-01,1503362
2000-05-01,1515317
2000-06-01,1521332
2000-07-01,1514905
2000-08-01,1517359
2000-09-01,1525083
2000-10-01,1548795
2000-11-01,1559456
2000-12-01,1429114
2001-01-01,1456454
2001-02-01,1489543
2001-03-01,1510323
2001-04-01,1514710
2001-05-01,1528820
2001-06-01,1541058
2001-07-01,1572850
2001-08-01,1609186
2001-09-01,1654048
2001-10-01,1708491
2001-11-01,1744381
2001-12-01,1785643
2002-01-01,1798611
2002-02-01,1850287
2002-03-01,1895224
2002-04-01,1943302
2002-05-01,1980108
2002-06-01,2003041
2002-07-01,2046165
2002-08-01,2085698
2002-09-01,2145760
2002-10-01,2205325
2002-11-01,2258461
2002-12-01,2322334
2003-01-01,2435868
2003-02-01,2463695
2003-03-01,2511225
2003-04-01,2569173
2003-05-01,2638832
2003-06-01,2691436
2003-07-01,2784265
2003-08-01,2897709
2003-09-01,3028112
2003-10-01,3164881
2003-11-01,3282578
2003-12-01,3484692
2004-01-01,3579108
2004-02-01,3675948
2004-03-01,3772623
2004-04-01,3864061
2004-05-01,3913585
2004-06-01,4028003
2004-07-01,4106822
2004-08-01,4203275
2004-09-01,4325150
2004-10-01,4488442
2004-11-01,5038137
2004-12-01,5259102
2005-01-01,5410047
2005-02-01,5520260
2005-03-01,5667973
2005-04-01,5867760
2005-05-01,6076060
2005-06-01,6262294
2005-07-01,6394696
2005-08-01,6540696
2005-09-01,6630078
2005-10-01,6735526
2005-11-01,6847391
2005-12-01,7121112
2006-01-01,7400700
2006-02-01,7533898
2006-03-01,7649283
2006-04-01,7760486
2006-05-01,7881627
2006-06-01,8287424
2006-07-01,8492897
2006-08-01,8617875
2006-09-01,8966783
2006-10-01,9115401
2006-11-01,9454786
2006-12-01,9898027
2007-01-01,10211226
2007-02-01,10523146
2007-03-01,10774779
2007-04-01,11004940
2007-05-01,11239735
2007-06-01,11444963
2007-07-01,11821240
2007-08-01,12034858
2007-09-01,12573615
2007-10-01,12716866
2007-11-01,13068067
2007-12-01,12837732
2008-01-01,13491796
2008-02-01,13848583
2008-03-01,14249073
2008-04-01,14774217
2008-05-01,15140266
2008-06-01,15356881
2008-07-01,15690816
2008-08-01,15873420
2008-09-01,16251543
2008-10-01,16417271
2008-11-01,16529652
2008-12-01,16843111
2009-01-01,16984510.53
2009-02-01,17141918.86
2009-03-01,17263052.75
2009-04-01,17416186.23
2009-05-01,17658751.02
2009-06-01,17791467.18
2009-07-01,18011922.8246919
2009-08-01,18130676.77
2009-09-01,18537446.3263124
2009-10-01,18766004.2794639
2009-11-01,19020297.7866895
2009-12-01,19311247
2010-01-01,19609413.87
2010-02-01,19788909.8
2010-03-01,20059060.3617527
2010-04-01,20345370.4224491
2010-05-01,20476933.937855
2010-06-01,20594083.4504155
2010-07-01,20793831.0110612
2010-08-01,21036808.4982795
2010-09-01,21326372.519757
2010-10-01,21856552.5600899
2010-11-01,22176196.11844
2010-12-01,22579514.437946
2011-01-01,23081162.45
2011-02-01,23295685.17
2011-03-01,23703596.3452252
2011-04-01,24014314.33
2011-05-01,24390727.7713654
2011-06-01,24668055.8796172
2011-07-01,24887620.1228335
2011-08-01,25264560.1001638
2011-09-01,25511823.121901
2011-10-01,25486930.7203131
2011-11-01,25459031.0812973
2011-12-01,25358701.1035579
2012-01-01,25499640.8643654
2012-02-01,25524755.6554016
2012-03-01,25649391.856837
2012-04-01,25588820.56
2012-05-01,25612252.0425814
2012-06-01,25661337.254884
2012-07-01,25657516.930221
2012-08-01,25640083.3323147
2012-09-01,25770762.2409806
2012-10-01,25792386.8912725
2012-11-01,25718763.81
2012-12-01,25853348.3559069
2013-01-01,26537006.65
2013-02-01,26832433.0571261
2013-03-01,27068734.6825244
2013-04-01,27363089.2117084
2013-05-01,27429951.0963869
2013-06-01,27388746.1924006
2013-07-01,27364271.7316554
2013-08-01,27391591.5065961
2013-09-01,27517953.8312835
2013-10-01,27959555.6
2013-11-01,28357503.134849
2013-12-01,28630382.74
2014-01-01,29067749.11
2014-02-01,29195995.1
2014-03-01,29385192.08
2014-04-01,29502112.95
2014-05-01,29539620.52
2014-06-01,29451340.91
2014-07-01,29489176.06
2014-08-01,29458030.46
2014-09-01,29459170.46
2014-10-01,29525245.14
2014-11-01,29527411.1396779
2014-12-01,29409046.4333296
2015-01-01,29300784.8001791
2015-02-01,29342998.6361822
2015-03-01,29186522.8519824
2015-04-01,29218919.199893
2015-05-01,29251097.2223422
2015-06-01,29157405.3200109
2015-07-01,28908280.1152583
2015-08-01,28184444.3631873
2015-09-01,27423165.5910301
2015-10-01,27436102.4284156
2015-11-01,27214833.8671606
2015-12-01,26585852.3314122
