date,value
1990-01-01,7.11224
1990-02-01,7.11224
1990-03-01,7.3456
1990-04-01,7.69564
1990-05-01,8.16236
1990-06-01,8.39572
1990-07-01,8.16236
1990-08-01,7.69564
1990-09-01,7.22892
1990-10-01,7.22892
1990-11-01,7.81232
1990-12-01,8.97912
1991-01-01,10.49596
1991-02-01,12.0128
1991-03-01,12.82956
1991-04-01,12.94624
1991-05-01,12.36284
1991-06-01,11.19604
1991-07-01,10.14592
1991-08-01,9.21248
1991-09-01,8.74576
1991-10-01,8.62908
1991-11-01,8.74576
1991-12-01,8.97912
1992-01-01,9.21248
1992-02-01,9.6792
1992-03-01,10.49596
1992-04-01,12.0128
1992-05-01,13.99636
1992-06-01,16.21328
1992-07-01,17.96348
1992-08-01,19.36364
1992-09-01,20.29708
1992-10-01,20.64712
1992-11-01,20.88048
1992-12-01,20.99716
1993-01-01,21.23052
1993-02-01,21.3472
1993-03-01,21.46388
1993-04-01,21.58056
1993-05-01,21.9306
1993-06-01,22.86404
1993-07-01,23.79748
1993-08-01,24.61424
1993-09-01,24.61424
1993-10-01,23.6808
1993-11-01,21.81392
1993-12-01,19.13028
1994-01-01,16.44664
1994-02-01,13.99636
1994-03-01,12.12948
1994-04-01,10.72932
1994-05-01,9.56252
1994-06-01,8.62908
1994-07-01,8.16236
1994-08-01,8.27904
1994-09-01,8.74576
1994-10-01,9.91256
1994-11-01,11.4294
1994-12-01,12.94624
1995-01-01,14.81312
1995-02-01,16.56332
1995-03-01,17.8468
1995-04-01,18.89692
1995-05-01,19.24696
1995-06-01,18.89692
1995-07-01,17.96348
1995-08-01,17.03004
1995-09-01,16.32996
1995-10-01,15.86324
1995-11-01,15.97992
1995-12-01,16.32996
1996-01-01,16.91336
1996-02-01,17.38008
1996-03-01,17.38008
1996-04-01,17.14672
1996-05-01,17.03004
1996-06-01,16.68
1996-07-01,16.79668
1996-08-01,16.32996
1996-09-01,16.21328
1996-10-01,16.0966
1996-11-01,16.21328
1996-12-01,15.97992
1997-01-01,10.61264
1997-02-01,9.91256
1997-03-01,9.44584
1997-04-01,9.44584
1997-05-01,10.02924
1997-06-01,10.72932
1997-07-01,11.31272
1997-08-01,11.4294
1997-09-01,11.19604
1997-10-01,10.72932
1997-11-01,10.2626
1997-12-01,10.14592
1998-01-01,12.12948
1998-02-01,10.14592
1998-03-01,6.64552
1998-04-01,6.64552
1998-05-01,5.36204
1998-06-01,3.61184
1998-07-01,1.04488
1998-08-01,3.14512
1998-09-01,3.37848
1998-10-01,4.77864
1998-11-01,3.8452
1998-12-01,4.77864
1999-01-01,5.94544
1999-02-01,6.1788
1999-03-01,5.71208
1999-04-01,5.82876
1999-05-01,6.64552
1999-06-01,7.57896
1999-07-01,6.52884
