date,value
1998-03-01,4.8199132
1998-06-01,1.78440011
1998-09-01,2.00429952
1998-12-01,3.7595584
1999-03-01,0.49312721
1999-06-01,0.1933238
1999-09-01,3.61134486
1999-12-01,2.9273083
2000-03-01,1.41751478
2000-06-01,0.91437343
2000-09-01,2.14007736
2000-12-01,2.14492492
2001-03-01,2.06000935
2001-06-01,-0.27743103
2001-09-01,1.46199896
2001-12-01,1.90550313
2002-03-01,2.71266367
2002-06-01,1.39989716
2002-09-01,1.77333235
2002-12-01,3.59057284
2003-03-01,0.72390767
2003-06-01,2.09313827
2003-09-01,2.00530959
2003-12-01,4.92545286
2004-03-01,0.80189538
2004-06-01,1.24304003
2004-09-01,3.41441355
2004-12-01,7.52848821
2005-03-01,4.87673996
2005-06-01,5.43638959
2005-09-01,5.67439742
2005-12-01,6.82640771
2006-03-01,5.80672481
2006-06-01,7.20918459
2006-09-01,8.60026926
2006-12-01,11.1149959
2007-03-01,9.04013928
2007-06-01,10.25423328
2007-09-01,10.7038045
2007-12-01,9.5831244
2008-03-01,8.47860349
2008-06-01,8.43251497
2008-09-01,9.0959363
2008-12-01,10.25072603
2009-03-01,6.21564391
2009-06-01,3.22765237
2009-09-01,3.44132602
2009-12-01,6.14120906
2010-03-01,1.94767236
2010-06-01,3.00042102
2010-09-01,5.26387426
2010-12-01,4.80849709
2011-03-01,0.09444213
2011-06-01,2.3846559
2011-09-01,2.14417951
2011-12-01,2.22353267
2012-03-01,1.53291428
2012-06-01,2.83664188
2012-09-01,3.49051654
2012-12-01,2.11381442
2013-03-01,1.96547012
2013-06-01,1.82401126
2013-09-01,1.30539636
2013-12-01,1.15448466
2014-03-01,0.75934422
2014-06-01,3.42735141
2014-09-01,3.11502788
2014-12-01,3.05726337
2015-03-01,3.52112542
2015-06-01,3.2389276
2015-09-01,2.33647129
2015-12-01,3.0434493
2016-03-01,1.59296325
2016-06-01,2.31769708
2016-09-01,2.42246144
