date,value,_value
2005-03-01,23.8362,23836.2
2005-06-01,29.4222,29422.2
2005-09-01,33.494099999999996,33494.1
2005-12-01,45.626,45626
2006-03-01,33.957300000000004,33957.3
2006-06-01,47.404,47404
2006-09-01,60.5354,60535.4
2006-12-01,89.94630000000001,89946.3
2007-03-01,66.6245,66624.5
2007-06-01,86.5506,86550.6
2007-09-01,98.4786,98478.6
2007-12-01,101.529,101529
2008-03-01,82.2043,82204.3
2008-06-01,95.4729,95472.9
2008-09-01,109.806,109806
2008-12-01,133.085,133085
2009-03-01,67.33189999999999,67331.9
2009-06-01,39.691900000000004,39691.9
2009-09-01,45.350199999999994,45350.2
2009-12-01,90.8825,90882.5
2010-03-01,24.9954,24995.4
2010-06-01,43.764199999999995,43764.2
2010-09-01,82.6317,82631.7
2010-12-01,86.4191,86419.1
2011-03-01,1.50214,1502.14
2011-06-01,43.728199999999994,43728.2
2011-09-01,42.4328,42432.8
2011-12-01,48.4336,48433.6
2012-03-01,28.5685,28568.5
2012-06-01,59.0048,59004.8
2012-09-01,76.19489999999999,76194.9
2012-12-01,51.6235,51623.5
2013-03-01,40.9788,40978.8
2013-06-01,42.6712,42671.2
2013-09-01,32.5874,32587.4
2013-12-01,31.9665,31966.5
2014-03-01,17.4994,17499.4
2014-06-01,86.06039999999999,86060.4
2014-09-01,83.74969999999999,83749.7
2014-12-01,90.1244,90124.4
2015-03-01,85.25160000000001,85251.6
2015-06-01,87.9814,87981.4
2015-09-01,65.4865,65486.5
2015-12-01,91.8828,91882.8
2016-03-01,39.3438,39343.8
2016-06-01,64.1498,64149.8
