date,value
1981-01-02,1.5341
1981-01-05,1.5418
1981-01-06,1.5264
1981-01-07,1.5264
1981-01-08,1.5264
1981-01-09,1.5371
1981-01-12,1.5371
1981-01-13,1.5449
1981-01-14,1.5449
1981-01-15,1.5449
1981-01-16,1.5557
1981-01-19,1.5557
1981-01-20,1.5557
1981-01-21,1.5557
1981-01-22,1.551
1981-01-23,1.551
1981-01-26,1.5634
1981-01-27,1.5759
1981-01-28,1.5822
1981-01-29,1.5886
1981-01-30,1.5886
1981-02-02,1.6108
1981-02-03,1.6108
1981-02-04,1.6028
1981-02-05,1.6028
1981-02-06,1.6028
1981-02-09,1.6059
1981-02-10,1.6059
1981-02-11,1.6059
1981-02-12,1.6059
1981-02-13,1.6285
1981-02-16,1.6285
1981-02-17,1.6579
1981-02-18,1.6298
1981-02-19,1.6298
1981-02-20,1.6021
1981-02-23,1.5909
1981-02-24,1.6099
1981-02-25,1.6035
1981-02-26,1.6179
1981-02-27,1.6179
1981-03-02,1.6293
1981-03-03,1.6456
1981-03-04,1.6374
1981-03-05,1.6456
1981-03-06,1.6456
1981-03-09,1.6456
1981-03-10,1.6407
1981-03-11,1.6407
1981-03-12,1.6407
1981-03-13,1.6407
1981-03-16,1.6402
1981-03-17,1.6309
1981-03-18,1.6227
1981-03-19,1.6049
1981-03-20,1.6129
1981-03-23,1.6129
1981-03-24,1.6209
1981-03-25,1.6209
1981-03-26,1.6209
1981-03-27,1.6372
1981-03-30,1.6372
1981-03-31,1.6165
1981-04-01,1.6337
1981-04-02,1.6337
1981-04-03,1.6418
1981-04-06,1.65
1981-04-07,1.6599
1981-04-08,1.6483
1981-04-09,1.6483
1981-04-10,1.6565
1981-04-13,1.6565
1981-04-14,1.6682
1981-04-15,1.6682
1981-04-16,1.6798
1981-04-17,1.6798
1981-04-20,1.6798
1981-04-21,1.6798
1981-04-22,1.6798
1981-04-23,1.6798
1981-04-24,1.6798
1981-04-27,1.6798
1981-04-28,1.6798
1981-04-29,1.6798
1981-04-30,1.6882
1981-05-01,1.6882
1981-05-04,1.6882
1981-05-05,1.7085
1981-05-06,1.717
1981-05-07,1.717
1981-05-08,1.717
1981-05-11,1.717
1981-05-12,1.7273
1981-05-13,1.7273
1981-05-14,1.7359
1981-05-15,1.7359
1981-05-18,1.7359
1981-05-19,1.7359
1981-05-20,1.7359
1981-05-21,1.7272
1981-05-22,1.7429
1981-05-25,1.7429
1981-05-26,1.7392
1981-05-27,1.748
1981-05-28,1.748
1981-05-29,1.748
1981-06-01,1.748
1981-06-02,1.7567
1981-06-03,1.7567
1981-06-04,1.7672
1981-06-05,1.7813
1981-06-08,1.7813
1981-06-09,1.7813
1981-06-10,1.7742
1981-06-11,1.7813
1981-06-12,1.7724
1981-06-15,1.7512
1981-06-16,1.7512
1981-06-17,1.7512
1981-06-18,1.7599
1981-06-19,1.7599
1981-06-22,1.7511
1981-06-23,1.7511
1981-06-24,1.7511
1981-06-25,1.7511
1981-06-26,1.7511
1981-06-29,1.7511
1981-06-30,1.7511
1981-07-01,1.7511
1981-07-02,1.7616
1981-07-03,1.7616
1981-07-06,1.7616
1981-07-07,1.7686
1981-07-08,1.7686
1981-07-09,1.7686
1981-07-10,1.7686
1981-07-13,1.7598
1981-07-14,1.751
1981-07-15,1.7598
1981-07-16,1.751
1981-07-17,1.751
1981-07-20,1.7597
1981-07-21,1.7667
1981-07-22,1.7667
1981-07-23,1.7667
1981-07-24,1.7667
1981-07-27,1.7667
1981-07-28,1.7755
1981-07-29,1.7755
1981-07-30,1.7755
1981-07-31,1.7845
1981-08-03,1.7934
1981-08-04,1.8113
1981-08-05,1.8113
1981-08-06,1.8041
1981-08-07,1.8149
1981-08-10,1.8367
1981-08-11,1.8367
1981-08-12,1.8092
1981-08-13,1.8092
1981-08-14,1.8218
1981-08-17,1.8
1981-08-18,1.8
1981-08-19,1.791
1981-08-20,1.791
1981-08-21,1.773
1981-08-24,1.7872
1981-08-25,1.7997
1981-08-26,1.7853
1981-08-27,1.7853
1981-08-28,1.7727
1981-08-31,1.7727
1981-09-01,1.7815
1981-09-02,1.7815
1981-09-03,1.7673
1981-09-04,1.7673
1981-09-07,1.7673
1981-09-08,1.7673
1981-09-09,1.7796
1981-09-10,1.7686
1981-09-11,1.7689
1981-09-14,1.7565
1981-09-15,1.7319
1981-09-16,1.7319
1981-09-17,1.7233
1981-09-18,1.7233
1981-09-21,1.7233
1981-09-22,1.7181
1981-09-23,1.7404
1981-09-24,1.7492
1981-09-25,1.7579
1981-09-28,1.7667
1981-09-29,1.7614
1981-09-30,1.7719
1981-10-01,1.7719
1981-10-02,1.7719
1981-10-05,1.7525
1981-10-06,1.7525
1981-10-07,1.7507
1981-10-08,1.7366
1981-10-09,1.7297
1981-10-12,1.7297
1981-10-13,1.7297
1981-10-14,1.7383
1981-10-15,1.7383
1981-10-16,1.7506
1981-10-19,1.7505
1981-10-20,1.7505
1981-10-21,1.7575
1981-10-22,1.768
1981-10-23,1.768
1981-10-26,1.768
1981-10-27,1.7857
1981-10-28,1.7857
1981-10-29,1.7857
1981-10-30,1.7678
1981-11-02,1.7502
1981-11-03,1.7502
1981-11-04,1.7502
1981-11-05,1.7502
1981-11-06,1.7502
1981-11-09,1.7414
1981-11-10,1.7414
1981-11-11,1.7414
1981-11-12,1.7484
1981-11-13,1.7343
1981-11-16,1.7343
1981-11-17,1.743
1981-11-18,1.743
1981-11-19,1.7326
1981-11-20,1.743
1981-11-23,1.743
1981-11-24,1.743
1981-11-25,1.743
1981-11-26,1.743
1981-11-27,1.7274
1981-11-30,1.7171
1981-12-01,1.7171
1981-12-02,1.724
1981-12-03,1.724
1981-12-04,1.724
1981-12-07,1.724
1981-12-08,1.724
1981-12-09,1.736
1981-12-10,1.736
1981-12-11,1.736
1981-12-14,1.7517
1981-12-15,1.7517
1981-12-16,1.7429
1981-12-17,1.7429
1981-12-18,1.7429
1981-12-21,1.7569
1981-12-22,1.7569
1981-12-23,1.7499
1981-12-24,1.7499
1981-12-25,1.7499
1981-12-28,1.7499
1981-12-29,1.7499
1981-12-30,1.7499
1981-12-31,1.7499
1982-01-01,1.7499
1982-01-04,1.7499
1982-01-05,1.7393
1982-01-06,1.7481
1982-01-07,1.7481
1982-01-08,1.7481
1982-01-11,1.7481
1982-01-12,1.7655
1982-01-13,1.7655
1982-01-14,1.7655
1982-01-15,1.7761
1982-01-18,1.7868
1982-01-19,1.7796
1982-01-20,1.7796
1982-01-21,1.7796
1982-01-22,1.7796
1982-01-25,1.7904
1982-01-26,1.7904
1982-01-27,1.7904
1982-01-28,1.7975
1982-01-29,1.7975
1982-02-01,1.7895
1982-02-02,1.8083
1982-02-03,1.8155
1982-02-04,1.8155
1982-02-05,1.8155
1982-02-08,1.8155
1982-02-09,1.8247
1982-02-10,1.8247
1982-02-11,1.825
1982-02-12,1.825
1982-02-15,1.825
1982-02-16,1.8247
1982-02-17,1.8247
1982-02-18,1.8338
1982-02-19,1.8227
1982-02-22,1.8136
1982-02-23,1.8136
1982-02-24,1.8282
1982-02-25,1.8282
1982-02-26,1.8355
1982-03-01,1.8447
1982-03-02,1.8447
1982-03-03,1.8355
1982-03-04,1.8335
1982-03-05,1.8263
1982-03-08,1.8171
1982-03-09,1.8171
1982-03-10,1.8299
1982-03-11,1.8229
1982-03-12,1.8335
1982-03-15,1.8335
1982-03-16,1.8335
1982-03-17,1.8426
1982-03-18,1.8426
1982-03-19,1.8426
1982-03-22,1.8518
1982-03-23,1.861
1982-03-24,1.8517
1982-03-25,1.8517
1982-03-26,1.8628
1982-03-29,1.8628
1982-03-30,1.8722
1982-03-31,1.8722
1982-04-01,1.8722
1982-04-02,1.8528
1982-04-05,1.8628
1982-04-06,1.8628
1982-04-07,1.8628
1982-04-08,1.8628
1982-04-09,1.8628
1982-04-12,1.8628
1982-04-13,1.8628
1982-04-14,1.8628
1982-04-15,1.8628
1982-04-16,1.8722
1982-04-19,1.8628
1982-04-20,1.8628
1982-04-21,1.8628
1982-04-22,1.8517
1982-04-23,1.8517
1982-04-26,1.8443
1982-04-27,1.8443
1982-04-28,1.8333
1982-04-29,1.8333
1982-04-30,1.8333
1982-05-03,1.8222
1982-05-04,1.8222
1982-05-05,1.8222
1982-05-06,1.8131
1982-05-07,1.7986
1982-05-10,1.7986
1982-05-11,1.7986
1982-05-12,1.7986
1982-05-13,1.7986
1982-05-14,1.813
1982-05-17,1.813
1982-05-18,1.813
1982-05-19,1.813
1982-05-20,1.813
1982-05-21,1.813
1982-05-24,1.813
1982-05-25,1.813
1982-05-26,1.813
1982-05-27,1.8239
1982-05-28,1.8331
1982-05-31,1.8331
1982-06-01,1.8331
1982-06-02,1.8514
1982-06-03,1.8514
1982-06-04,1.8514
1982-06-07,1.8514
1982-06-08,1.8625
1982-06-09,1.8756
1982-06-10,1.8756
1982-06-11,1.8868
1982-06-14,1.8755
1982-06-15,1.9074
1982-06-16,1.9074
1982-06-17,1.9226
1982-06-18,1.9322
1982-06-21,1.9322
1982-06-22,1.9477
1982-06-23,1.9477
1982-06-24,1.9398
1982-06-25,1.9398
1982-06-28,1.9515
1982-06-29,1.9515
1982-06-30,1.9358
1982-07-01,1.9358
1982-07-02,1.9358
1982-07-05,1.9358
1982-07-06,1.9358
1982-07-07,1.9552
1982-07-08,1.9552
1982-07-09,1.9552
1982-07-12,1.9395
1982-07-13,1.9395
1982-07-14,1.9395
1982-07-15,1.9395
1982-07-16,1.9395
1982-07-19,1.9298
1982-07-20,1.9298
1982-07-21,1.9298
1982-07-22,1.9086
1982-07-23,1.9086
1982-07-26,1.8857
1982-07-27,1.9026
1982-07-28,1.9026
1982-07-29,1.9312
1982-07-30,1.9312
1982-08-02,1.9312
1982-08-03,1.9196
1982-08-04,1.9292
1982-08-05,1.9446
1982-08-06,1.9525
1982-08-09,1.9661
1982-08-10,1.9661
1982-08-11,1.9661
1982-08-12,1.9661
1982-08-13,1.9661
1982-08-16,1.9661
1982-08-17,1.9661
1982-08-18,1.9661
1982-08-19,1.9484
1982-08-20,1.9328
1982-08-23,1.9193
1982-08-24,1.9193
1982-08-25,1.9078
1982-08-26,1.9173
