date,value,_value
1992-01-01,3.991,3991
1992-02-01,4.97,4970
1992-03-01,6,6000
1992-04-01,6.349,6349
1992-05-01,6.601,6601
1992-06-01,7.658,7658
1992-07-01,7.159,7159
1992-08-01,7.65,7650
1992-09-01,7.064,7064
1992-10-01,7.654,7654
1992-11-01,8.526,8526
1992-12-01,11.318,11318
1993-01-01,3.357,3357
1993-02-01,5.823,5823
1993-03-01,6.907,6907
1993-04-01,6.895,6895
1993-05-01,7.213,7213
1993-06-01,6.95,6950
1993-07-01,7.625,7625
1993-08-01,7.636,7636
1993-09-01,8.832,8832
1993-10-01,8.046,8046
1993-11-01,8.944,8944
1993-12-01,13.515,13515
1994-01-01,4.881,4881
1994-02-01,5.733,5733
1994-03-01,8.488,8488
1994-04-01,8.935,8935
1994-05-01,9.45,9450
1994-06-01,10.9,10900
1994-07-01,10.346,10346
1994-08-01,10.21,10210
1994-09-01,10.456,10456
1994-10-01,10.43,10430
1994-11-01,12.669,12669
1994-12-01,18.508,18508
1995-01-01,9.179,9179
1995-02-01,8.885,8885
1995-03-01,12.88,12880
1995-04-01,11.991,11991
1995-05-01,12.817,12817
1995-06-01,14.034,14034
1995-07-01,12.268,12268
1995-08-01,12.528,12528
1995-09-01,12.419,12419
1995-10-01,12.343,12343
1995-11-01,12.179,12179
1995-12-01,17.256,17256
1996-01-01,9.169,9169
1996-02-01,8.666,8666
1996-03-01,10.407,10407
1996-04-01,11.387,11387
1996-05-01,12.155,12155
1996-06-01,12.245,12245
1996-07-01,12.389,12389
1996-08-01,14.111,14111
1996-09-01,13.394,13394
1996-10-01,15.199,15199
1996-11-01,13.592,13592
1996-12-01,18.333,18333
1997-01-01,11.649,11649
1997-02-01,9.809,9809
1997-03-01,14.076,14076
1997-04-01,14.775,14775
1997-05-01,15.164,15164
1997-06-01,15.359,15359
1997-07-01,15.6,15600
1997-08-01,16.023,16023
1997-09-01,16.592,16592
1997-10-01,17.81,17810
1997-11-01,16.746,16746
1997-12-01,19.188,19188
1998-01-01,12.778,12778
1998-02-01,12.25,12250
1998-03-01,15.428,15428
1998-04-01,15.968,15968
1998-05-01,14.899,14899
1998-06-01,15.564,15564
1998-07-01,16.134,16134
1998-08-01,15.564,15564
1998-09-01,15.451,15451
1998-10-01,14.728,14728
1998-11-01,15.122,15122
1998-12-01,19.825,19825
1999-01-01,11.368,11368
1999-02-01,10.986,10986
1999-03-01,14.813,14813
1999-04-01,14.782,14782
1999-05-01,15.516,15516
1999-06-01,15.309,15309
1999-07-01,17.314,17314
1999-08-01,18.316,18316
1999-09-01,18.573,18573
1999-10-01,18.227,18227
1999-11-01,19.471,19471
1999-12-01,20.255,20255
2000-01-01,16.782,16782
2000-02-01,14.781,14781
