date,CN FIA ytd,CN retail yoy,CN IP yoy
2013-01-01,21.2,,
2013-02-01,21.2,,
2013-03-01,20.9,12.6,8.9
2013-04-01,20.6,12.8,9.3
2013-05-01,20.4,12.9,9.2
2013-06-01,20.1,13.3,8.9
2013-07-01,20.1,13.2,9.7
2013-08-01,20.3,13.4,10.4
2013-09-01,20.2,13.3,10.2
2013-10-01,20.1,13.3,10.3
2013-11-01,19.9,13.7,10
2013-12-01,19.6,13.6,9.7
2014-01-01,17.9,,
2014-02-01,17.9,,
2014-03-01,17.6,12.2,8.8
2014-04-01,17.3,11.9,8.7
2014-05-01,17.2,12.5,8.8
2014-06-01,17.3,12.4,9.2
2014-07-01,17,12.2,9
2014-08-01,16.5,11.9,6.9
2014-09-01,16.1,11.6,8
2014-10-01,15.9,11.5,7.7
2014-11-01,15.8,11.7,7.2
2014-12-01,15.7,11.9,7.9
2015-01-01,13.9,,
2015-02-01,13.9,,
2015-03-01,13.5,10.2,5.6
2015-04-01,12,10,5.9
2015-05-01,11.4,10.1,6.1
2015-06-01,11.4,10.6,6.8
2015-07-01,11.2,10.5,6
2015-08-01,10.9,10.8,6.1
2015-09-01,10.3,10.9,5.7
2015-10-01,10.2,11,5.6
2015-11-01,10.2,11.2,6.2
2015-12-01,10,11.1,5.9
2016-01-01,10.2,,
2016-02-01,10.2,,
2016-03-01,10.7,10.5,6.8
2016-04-01,10.5,10.1,6
2016-05-01,9.6,10,6
2016-06-01,9,10.6,6.2
2016-07-01,8.1,10.2,6
2016-08-01,8.1,10.6,6.3
2016-09-01,8.2,10.7,6.1
2016-10-01,8.3,10,6.1
2016-11-01,8.3,10.8,6.2
2016-12-01,8.1,10.9,6
