date,value
1957-12-01,68.242472
1958-12-01,81.64724329
1959-12-01,88.14652634
1960-12-01,89.36514191
1961-12-01,75.96037062
1962-12-01,71.08590834
1963-12-01,74.33554986
1964-12-01,85.30309
1965-12-01,98.3016561
1966-12-01,104.39473396
1967-12-01,96.67683534
1968-12-01,91.39616786
1969-12-01,100.33268205
1970-12-01,113.33124815
1971-12-01,118.61191562
1972-12-01,131.84453945
1973-12-01,157.33241987
1974-12-01,160.11340516
1975-12-01,178.51125879
1976-12-01,165.34303557
1977-12-01,185.16259108
1978-12-01,228.67755125
1979-12-01,272.03563747
1980-12-01,312.33558793
1981-12-01,290.81334114
1982-12-01,280.92429236
1983-12-01,296.83602032
1984-12-01,300.7003491
1985-12-01,294.09434145
1986-12-01,281.13262063
1987-12-01,300.95942542
1988-12-01,369.29838666
1989-12-01,407.53605592
1990-12-01,346.78404519
1991-12-01,358.40087998
1992-12-01,422.32050123
1993-12-01,523.99781277
1994-12-01,472.33431823
1995-12-01,608.17591053
1996-12-01,707.30237536
1997-12-01,779.0303287
1998-12-01,826.44379188
1999-12-01,873.25043855
2000-12-01,959.36219649
2001-12-01,1053.15829735
2002-12-01,1148.47681239
2003-12-01,1288.60260487
2004-12-01,1508.67485018
2005-12-01,1753.47815475
2006-12-01,2099.58981694
2007-12-01,2695.92160624
2008-12-01,3471.52993493
2009-12-01,3838.82648219
2010-12-01,4561.41085448
2011-12-01,5632.29120175
2012-12-01,6341.80300593
2013-12-01,7132.68742152
2014-12-01,7662.00582333
2015-12-01,7956.68746809
