date,value
2009-03-01,4.3
2009-06-01,3.8
2009-09-01,4
2009-12-01,5.3
2010-03-01,7.6
2010-06-01,5
2010-09-01,4.3
2010-12-01,4.8
2011-03-01,6.1
2011-06-01,5.0537
2011-09-01,5
2011-12-01,5.9
2012-03-01,6.4
2012-06-01,4.7
2012-09-01,4.2
2012-12-01,4.3
2013-03-01,4.3
2013-06-01,3.4
2013-09-01,3.5
2013-12-01,3.6
2014-03-01,5.5
2014-06-01,4
2014-09-01,3.5843
2014-12-01,3.6
2015-03-01,4.5
2015-06-01,4.214
2015-09-01,4.039
2015-12-01,4.1
2016-03-01,5.6079
2016-06-01,4.9178
2016-09-01,4.757
2016-12-01,4.3282
