date,value
2009-03-01,-4.2
2009-06-01,-2.9
2009-09-01,-3.6
2009-12-01,-4
2010-03-01,-0.4
2010-06-01,0.7
2010-09-01,1
2010-12-01,-1.3
2011-03-01,-0.1
2011-06-01,0.0582
2011-09-01,0.1
2011-12-01,-0.8
2012-03-01,-0.7
2012-06-01,-0.9
2012-09-01,-0.4
2012-12-01,0.2
2013-03-01,1.1
2013-06-01,0.1
2013-09-01,-0.1
2013-12-01,-0.1
2014-03-01,-1.2
2014-06-01,-0.2
2014-09-01,0.8
2014-12-01,0.3
2015-03-01,1.3
2015-06-01,0.3
2015-09-01,-0.1
2015-12-01,-0.1
2016-03-01,-1.3601
2016-06-01,-0.6968
2016-09-01,-0.5226
2016-12-01,-0.4556
