date,value,_value
1992-01-01,3.016,3016
1992-02-01,4.851,4851
1992-03-01,5.893,5893
1992-04-01,6.084,6084
1992-05-01,6.358,6358
1992-06-01,6.82,6820
1992-07-01,6.273,6273
1992-08-01,6.37,6370
1992-09-01,6.842,6842
1992-10-01,7.099,7099
1992-11-01,7.635,7635
1992-12-01,13.343,13343
1993-01-01,3.204,3204
1993-02-01,6.473,6473
1993-03-01,7.582,7582
1993-04-01,7.481,7481
1993-05-01,8.509,8509
1993-06-01,7.385,7385
1993-07-01,8.764,8764
1993-08-01,8.757,8757
1993-09-01,9.554,9554
1993-10-01,8.638,8638
1993-11-01,9.526,9526
1993-12-01,18.086,18086
1994-01-01,5.716,5716
1994-02-01,5.963,5963
1994-03-01,8.725,8725
1994-04-01,9.407,9407
1994-05-01,9.445,9445
1994-06-01,9.857,9857
1994-07-01,9.621,9621
1994-08-01,10.035,10035
1994-09-01,9.214,9214
1994-10-01,9.408,9408
1994-11-01,10.307,10307
1994-12-01,17.916,17916
1995-01-01,6.5,6500
1995-02-01,7.123,7123
1995-03-01,10.241,10241
1995-04-01,10.278,10278
1995-05-01,11.493,11493
1995-06-01,10.955,10955
1995-07-01,11.126,11126
1995-08-01,11.58,11580
1995-09-01,11.292,11292
1995-10-01,10.971,10971
1995-11-01,12.045,12045
1995-12-01,18.48,18480
1996-01-01,10.107,10107
1996-02-01,8.111,8111
1996-03-01,11.121,11121
1996-04-01,10.898,10898
1996-05-01,11.998,11998
1996-06-01,10.909,10909
1996-07-01,11.306,11306
1996-08-01,11.136,11136
1996-09-01,10.294,10294
1996-10-01,11.306,11306
1996-11-01,11.617,11617
1996-12-01,20.032,20032
1997-01-01,9.987,9987
1997-02-01,7.714,7714
1997-03-01,11.11,11110
1997-04-01,11.22,11220
1997-05-01,11.742,11742
1997-06-01,11.254,11254
1997-07-01,12.786,12786
1997-08-01,11.067,11067
1997-09-01,11.472,11472
1997-10-01,12.835,12835
1997-11-01,12.091,12091
1997-12-01,19.093,19093
1998-01-01,8.695,8695
1998-02-01,9.101,9101
1998-03-01,11.775,11775
1998-04-01,11.654,11654
1998-05-01,11.239,11239
1998-06-01,11.84,11840
1998-07-01,11.929,11929
1998-08-01,10.848,10848
1998-09-01,11.522,11522
1998-10-01,11.666,11666
1998-11-01,12.358,12358
1998-12-01,17.61,17610
1999-01-01,9.893,9893
1999-02-01,8.713,8713
1999-03-01,14.368,14368
1999-04-01,13.824,13824
1999-05-01,13.651,13651
1999-06-01,14.517,14517
1999-07-01,13.913,13913
1999-08-01,13.443,13443
1999-09-01,15.26,15260
1999-10-01,13.788,13788
1999-11-01,16.907,16907
1999-12-01,17.422,17422
2000-01-01,15.258,15258
2000-02-01,13.428,13428
2000-03-01,17.806,17806
2000-04-01,18.355,18355
2000-05-01,16.966,16966
2000-06-01,20.3,20300
2000-07-01,19.49,19490
2000-08-01,20.785,20785
2000-09-01,20.713,20713
2000-10-01,18.943,18943
2000-11-01,21.641,21641
2000-12-01,21.414,21414
2001-01-01,15.545,15545
2001-02-01,18.226,18226
2001-03-01,20.773,20773
2001-04-01,21.859,21859
2001-05-01,18.809,18809
2001-06-01,21.252,21252
2001-07-01,20.955,20955
2001-08-01,22.162,22162
2001-09-01,21.851,21851
2001-10-01,18.902,18902
2001-11-01,20.845,20845
2001-12-01,22.39,22390
2002-01-01,18.97,18970
2002-02-01,15.918,15918
2002-03-01,22.484,22484
2002-04-01,25.752,25752
2002-05-01,22.433,22433
2002-06-01,23.094,23094
2002-07-01,26.988,26988
2002-08-01,27.205,27205
2002-09-01,29.794,29794
2002-10-01,25.197,25197
2002-11-01,28.735,28735
2002-12-01,28.733,28733
2003-01-01,31.016,31016
2003-02-01,23.78,23780
2003-03-01,32.549,32549
2003-04-01,34.601,34601
2003-05-01,31.604,31604
2003-06-01,32.336,32336
2003-07-01,36.514,36514
2003-08-01,34.621,34621
2003-09-01,41.652,41652
2003-10-01,35.193,35193
2003-11-01,36.893,36893
2003-12-01,42.336,42336
2004-01-01,35.737,35737
2004-02-01,42.03,42030
2004-03-01,46.388,46388
2004-04-01,49.374,49374
2004-05-01,42.765,42765
2004-06-01,48.653,48653
2004-07-01,48.972,48972
2004-08-01,46.911,46911
2004-09-01,50.811,50811
2004-10-01,45.434,45434
2004-11-01,51.03,51030
2004-12-01,52.708,52708
2005-01-01,44.261,44261
2005-02-01,39.916,39916
2005-03-01,55.136,55136
