date,value
2005-01-31,14.1
2005-02-28,9.82
2005-03-31,11.74
2005-04-30,11.74
2005-05-31,12.1
2005-06-30,11.84
2005-07-31,12.46
2005-08-31,10.62
2005-09-30,10.98
2005-10-31,10
2005-11-30,11.38
2005-12-31,13.03
2006-01-31,9.46
2006-02-28,10.58
2006-03-31,11.6
2006-04-30,12.06
2006-05-31,12.48
2006-06-30,12.88
2006-07-31,12.8
2006-08-31,14.3
2006-09-30,13.41
2006-10-31,13.52
2006-11-30,12.68
2006-12-31,13.03
2007-01-31,17.3
2007-02-28,15.68
2007-03-31,12.76
2007-04-30,13.96
2007-05-31,14.69
2007-06-30,15.05
2007-07-31,15.01
2007-08-31,14.29
2007-09-30,14.01
2007-10-31,13.62
2007-11-30,13.57
2007-12-31,12.8
2008-01-31,10.94
2008-02-29,11.55
2008-03-31,14.61
2008-04-30,12.46
2008-05-31,11.92
2008-06-30,10.11
2008-07-31,10.35
2008-08-31,9.2
2008-09-30,7.79
2008-10-31,4.17
2008-11-30,2.43
2008-12-31,2.6
2009-01-31,6.17
2009-02-28,6.77
2009-03-31,10.17
2009-04-30,9.31
2009-05-31,10.08
2009-06-30,14.72
2009-07-31,15.1
2009-08-31,17.06
2009-09-30,17.62
2009-10-31,21.46
2009-11-30,26.82
2009-12-31,26.8
2010-01-31,25.2
2010-02-28,21.41
2010-03-31,17.58
2010-04-30,19.98
2010-05-31,19.16
2010-06-30,13.96
2010-07-31,13.24
2010-08-31,13.48
2010-09-30,11.14
2010-10-31,10.72
2010-11-30,11.96
2010-12-31,11.04
2011-01-31,12.4
2011-02-28,13.16
2011-03-31,14.54
2011-04-30,12.76
2011-05-31,12.78
2011-06-30,14.36
2011-07-31,13.34
2011-08-31,11.94
2011-09-30,12.6
2011-10-31,11.52
2011-11-30,10.56
2011-12-31,11.74
2012-01-31,9.04
2012-02-29,9.94
2012-03-31,9.5
2012-04-30,7.1
2012-05-31,7.8
2012-06-30,5.76
2012-07-31,6.02
2012-08-31,5.98
2012-09-30,6.06
2012-10-31,8.12
2012-11-30,9.24
2012-12-31,9.22
2013-01-31,8.44
2013-02-28,6.18
2013-03-31,6.5
2013-04-30,7.36
2013-05-31,5.96
2013-06-30,7.66
2013-07-31,9.08
2013-08-31,11.94
2013-09-30,10.1
2013-10-31,9.96
2013-11-30,8.68
2013-12-31,9.16
2014-01-31,7.2
2014-02-28,6.68
2014-03-31,6.54
2014-04-30,5.93
2014-05-31,7.31
2014-06-30,7.23
2014-07-31,5.91
2014-08-31,3.84
2014-09-30,5.69
2014-10-31,4.54
2014-11-30,4.32
2014-12-31,3.88
2015-01-31,4.97
2015-02-28,3.7
2015-03-31,1.81
2015-04-30,4.03
2015-05-31,3.05
2015-06-30,2.73
2015-07-31,2.51
2015-08-31,3.09
2015-09-30,1.16
2015-10-31,1.46
2015-11-30,2.38
2015-12-31,2.23
2016-01-31,3.47
2016-02-29,3.63
2016-03-31,6.58
2016-04-30,4.04
2016-05-31,4.44
2016-06-30,5.58
2016-07-31,7.34
2016-08-31,9
2016-09-30,9.86
2016-10-31,10.58
2016-11-30,10.94
2016-12-31,10.72
