date,value
2006-09-30,28.51
2006-10-31,18.59
2006-11-30,16.99
2006-12-31,11.69
2007-03-31,19.45
2007-04-30,25.06
2007-05-31,27.72
2007-06-30,22.51
2007-07-31,35.18
2007-08-31,29.99
2007-09-30,21.35
2007-10-31,34.29
2007-11-30,25.83
2007-12-31,12.01
2008-03-31,24.41
2008-04-30,7.92
2008-05-31,17.57
2008-06-30,16.68
2008-07-31,-8.2
2008-08-31,-2.61
2008-09-30,-13.19
2008-10-31,-21.21
2008-11-30,-15.68
2008-12-31,-9.35
2009-03-31,-17.78
2009-04-30,-13.83
2009-05-31,-18.21
2009-06-30,12.08
2009-07-31,0.3
2009-08-31,24.3
2009-09-30,56.3
2009-10-31,55.23
2009-11-30,193.61
2009-12-31,34.08
2010-03-31,87.14
2010-04-30,72.78
2010-05-31,101.85
2010-06-30,54.76
2010-07-31,66.22
2010-08-31,55.82
2010-09-30,44.26
2010-10-31,51.09
2010-11-30,-17.44
2010-12-31,4.69
2011-03-31,19.48
2011-04-30,26.87
2011-05-31,22.2
2011-06-30,22.84
2011-07-31,34.04
2011-08-31,31.96
2011-09-30,8.91
2011-10-31,2.2
2011-11-30,9.1
2011-12-31,-18.85
2012-03-31,-4.16
2012-04-30,-14.57
2012-05-31,-4.6
2012-06-30,-16.31
2012-07-31,-26.72
2012-08-31,13.9
2012-09-30,-24.03
2012-10-31,-6.43
2012-11-30,7.07
2012-12-31,-1.39
2013-03-31,-20.23
2013-04-30,14.54
2013-05-31,-1.54
2013-06-30,14.17
2013-07-31,45.22
2013-08-31,-20.14
2013-09-30,41.3
2013-10-31,-3.42
2013-11-30,58.63
2013-12-31,35.06
2014-03-31,-21.89
2014-04-30,-14.96
2014-05-31,-7.89
2014-06-30,-9.31
2014-07-31,8.18
2014-08-31,6.24
2014-09-30,-0.18
2014-10-31,42.86
2014-11-30,-31.22
2014-12-31,-26.13
2015-03-31,-19.5
2015-04-30,-14.93
2015-05-31,-12.77
2015-06-30,-15.04
2015-07-31,-21.29
2015-08-31,-16.71
2015-09-30,15.29
2015-10-31,-24.48
2015-11-30,-20.89
2015-12-31,-6.73
2016-03-31,26.86
2016-04-30,25.86
2016-05-31,10.64
2016-06-30,4.9
2016-07-31,8.1
2016-08-31,3.26
2016-09-30,-19.41
2016-10-31,19.95
2016-11-30,3.3
2016-12-31,12.53
