date,value
2007-01-01,60.4
2007-02-01,60.6
2007-03-01,58.2
2007-04-01,60.4
2007-05-01,62.2
2007-06-01,60
2007-07-01,59.4
2007-08-01,61.7
2007-09-01,61.9
2007-10-01,61.4
2007-11-01,60.6
2007-12-01,60.2
2008-01-01,60.2
2008-02-01,59.3
2008-03-01,58.9
2008-04-01,58.4
2008-05-01,57.4
2008-06-01,57.4
2008-07-01,55.7
2008-08-01,52.9
2008-09-01,55
2008-10-01,53.1
2008-11-01,51.2
2008-12-01,50.8
2009-01-01,53.7
2009-02-01,55.1
2009-03-01,54.4
2009-04-01,53.5
2009-05-01,54.9
2009-06-01,55.4
2009-07-01,57.3
2009-08-01,57.3
2009-09-01,57.9
2009-10-01,59.5
2009-11-01,58.4
2009-12-01,58.8
2010-01-01,58.1
2010-02-01,57
2010-03-01,57.3
2010-04-01,57.8
2010-05-01,58.1
2010-06-01,58.8
2010-07-01,57.1
2010-08-01,58
2010-09-01,57.9
2010-10-01,57.4
2010-11-01,58.9
2010-12-01,58.8
2011-01-01,57.2
2011-02-01,57
2011-03-01,59.2
2011-04-01,58.2
2011-05-01,58.7
2011-06-01,56.6
2011-07-01,57.3
2011-08-01,57.1
2011-09-01,55.8
2011-10-01,55.5
2011-11-01,55.9
2011-12-01,56.3
2012-01-01,55.7
2012-02-01,57.3
2012-03-01,58
2012-04-01,56.1
2012-05-01,55.2
2012-06-01,56.7
2012-07-01,55.6
2012-08-01,56.3
2012-09-01,53.7
2012-10-01,55.5
2012-11-01,55.6
2012-12-01,56.1
2013-01-01,56.2
2013-02-01,54.5
2013-03-01,55.6
2013-04-01,54.5
2013-05-01,54.3
2013-06-01,53.9
2013-07-01,54.1
2013-08-01,53.9
2013-09-01,55.4
2013-10-01,56.3
2013-11-01,56
2013-12-01,54.6
2014-01-01,53.4
2014-02-01,55
2014-03-01,54.5
2014-04-01,54.8
2014-05-01,55.5
2014-06-01,55
2014-07-01,54.2
2014-08-01,54.4
2014-09-01,54
2014-10-01,53.8
2014-11-01,53.9
2014-12-01,54.1
2015-01-01,53.7
2015-02-01,53.9
2015-03-01,53.7
2015-04-01,53.4
2015-05-01,53.2
2015-06-01,53.8
2015-07-01,53.9
2015-08-01,53.4
2015-09-01,53.4
2015-10-01,53.1
2015-11-01,53.6
2015-12-01,54.4
2016-01-01,53.5
2016-02-01,52.7
2016-03-01,53.8
2016-04-01,53.5
2016-05-01,53.1
2016-06-01,53.7
2016-07-01,53.9
2016-08-01,53.5
2016-09-01,53.7
2016-10-01,54
2016-11-01,54.7
2016-12-01,54.5
