date,value
1989-01-01,3.728
1989-02-01,3.846
1989-03-01,4.167
1989-04-01,4.551
1989-05-01,4.736
1989-06-01,4.515
1989-07-01,5.043
1989-08-01,5.75
1989-09-01,6.327
1989-10-01,7.092
1989-11-01,6.967
1989-12-01,5.55
1990-01-01,6.725
1990-02-01,7.569
1990-03-01,8.317
1990-04-01,9.004
1990-05-01,9.603
1990-06-01,9.918
1990-07-01,10.779
1990-08-01,11.428
1990-09-01,11.382
1990-10-01,9.11
1990-11-01,8.274
1990-12-01,11.093
1991-01-01,14.07
1991-02-01,15.07
1991-03-01,16.388
1991-04-01,17.328
1991-05-01,17.736
1991-06-01,18.258
1991-07-01,18.405
1991-08-01,18.82
1991-09-01,19.9
1991-10-01,20.336
1991-11-01,21.004
1991-12-01,21.712
1992-01-01,22.989
1992-02-01,23.693
1992-03-01,23.92
1992-04-01,24.567
1992-05-01,25.021
1992-06-01,25.226
1992-07-01,25.418
1992-08-01,24.362
1992-09-01,23.236
1992-10-01,22.829
1992-11-01,22.438
1992-12-01,19.443
1993-01-01,20.138
1993-02-01,20.28
1993-03-01,19.811
1993-04-01,19.642
1993-05-01,19.451
1993-06-01,18.877
1993-07-01,18.995
1993-08-01,19.159
1993-09-01,19.62
1993-10-01,19.706
1993-11-01,20.86
1993-12-01,21.199
1994-01-01,25.16
1994-02-01,27.85
1994-03-01,28.62
1994-04-01,30.14
1994-05-01,30.55
1994-06-01,31.86
1994-07-01,35.13
1994-08-01,36.3
1994-09-01,39.84
1994-10-01,43.72
1994-11-01,49.02
1994-12-01,51.62
1995-01-01,54.79
1995-02-01,57.39
1995-03-01,57.96
1995-04-01,59.92
1995-05-01,60.63
1995-06-01,62.66
1995-07-01,65.59
1995-08-01,67.52
1995-09-01,69.8
1995-10-01,73
1995-11-01,74.5
1995-12-01,73.597
1996-01-01,76.11
1996-02-01,79.7
1996-03-01,80.83
1996-04-01,81.82
1996-05-01,85
1996-06-01,86.62
1996-07-01,89.69
1996-08-01,93.19
1996-09-01,95.36
1996-10-01,98.83
1996-11-01,102.3
1996-12-01,105.029
1997-01-01,108.68
1997-02-01,110.32
1997-03-01,112.06
1997-04-01,114.41
1997-05-01,117.58
1997-06-01,120.94
1997-07-01,125.95
1997-08-01,130.34
1997-09-01,134.07
1997-10-01,137.9
1997-11-01,138.87
1997-12-01,139.89
1998-01-01,140.38
1998-02-01,140.3
1998-03-01,140.62
1998-04-01,140.02
1998-05-01,140.9
1998-06-01,140.51
1998-07-01,140.6
1998-08-01,140.74
1998-09-01,141.1
1998-10-01,143.7
1998-11-01,144.59
1998-12-01,144.959
1999-01-01,145.09
1999-02-01,146.52
1999-03-01,146.63
1999-04-01,146.7
1999-05-01,146.75
1999-06-01,147.05
1999-07-01,148.74
1999-08-01,150.73
1999-09-01,151.5
1999-10-01,152.8
1999-11-01,153.77
1999-12-01,154.675
2000-01-01,156.1
2000-02-01,156.559
2000-03-01,156.82
2000-04-01,156.846
2000-05-01,158.019
2000-06-01,158.568
2000-07-01,158.596
2000-08-01,159.217
2000-09-01,160.092
2000-10-01,161.344
2000-11-01,163.911
2000-12-01,165.574
2001-01-01,168.623
2001-02-01,174.773
2001-03-01,175.847
2001-04-01,177.178
2001-05-01,179
2001-06-01,180.838
2001-07-01,184.492
2001-08-01,190.053
2001-09-01,195.764
2001-10-01,203.029
2001-11-01,208.315
2001-12-01,212.165
2002-01-01,217.4
2002-02-01,223.531
2002-03-01,227.605
2002-04-01,233.824
2002-05-01,238.473
2002-06-01,242.76
2002-07-01,246.534
2002-08-01,253.09
2002-09-01,258.63
2002-10-01,265.539
2002-11-01,274.625
