date,value
1990-12-01,127.61
1991-01-01,129.97
1991-02-01,133.01
1991-03-01,120.19
1991-04-01,113.94
1991-05-01,114.83
1991-06-01,137.56
1991-07-01,143.8
1991-08-01,178.43
1991-09-01,180.92
1991-10-01,218.61
1991-11-01,259.6
1991-12-01,292.75
1992-01-01,313.24
1992-02-01,364.66
1992-03-01,381.24
1992-04-01,445.38
1992-05-01,1234.71
1992-06-01,1191.19
1992-07-01,1052.07
1992-08-01,823.27
1992-09-01,702.32
1992-10-01,507.25
1992-11-01,724.6
1992-12-01,780.39
1993-01-01,1198.48
1993-02-01,1339.88
1993-03-01,925.91
1993-04-01,1358.78
1993-05-01,935.48
1993-06-01,1007.05
1993-07-01,881.07
1993-08-01,895.68
1993-09-01,890.27
1993-10-01,814.74
1993-11-01,984.93
1993-12-01,833.8
1994-01-01,770.25
1994-02-01,770.98
1994-03-01,704.46
1994-04-01,592.56
1994-05-01,556.257
1994-06-01,469.29
1994-07-01,333.9
1994-08-01,785.327
1994-09-01,790.482
1994-10-01,654.978
1994-11-01,683.59
1994-12-01,647.867
1995-01-01,562.585
1995-02-01,549.257
1995-03-01,646.915
1995-04-01,579.93
1995-05-01,700.507
1995-06-01,630.579
1995-07-01,695.552
1995-08-01,723.9
1995-09-01,722.427
1995-10-01,717.314
1995-11-01,641.135
1995-12-01,555.287
1996-01-01,537.346
1996-02-01,552.935
1996-03-01,556.395
1996-04-01,681.157
1996-05-01,643.65
1996-06-01,804.251
1996-07-01,822.477
1996-08-01,809.938
1996-09-01,875.525
1996-10-01,976.71
1996-11-01,1032.95
1996-12-01,917.018
1997-01-01,964.742
1997-02-01,1040.27
1997-03-01,1234.617
1997-04-01,1393.749
1997-05-01,1285.182
1997-06-01,1250.272
1997-07-01,1189.76
1997-08-01,1221.064
1997-09-01,1097.383
1997-10-01,1180.393
1997-11-01,1139.628
1997-12-01,1194.102
1998-01-01,1222.913
1998-02-01,1206.53
1998-03-01,1243.016
1998-04-01,1343.448
1998-05-01,1411.206
1998-06-01,1339.202
1998-07-01,1316.9
1998-08-01,1150.223
1998-09-01,1242.896
1998-10-01,1217.316
1998-11-01,1247.417
1998-12-01,1146.7
1999-01-01,1134.673
1999-02-01,1090.087
1999-03-01,1158.054
1999-04-01,1120.927
1999-05-01,1279.326
1999-06-01,1689.428
1999-07-01,1601.459
1999-08-01,1627.116
1999-09-01,1570.702
1999-10-01,1504.563
1999-11-01,1434.973
1999-12-01,1366.58
2000-01-01,1534.997
2000-02-01,1714.578
2000-03-01,1800.225
2000-04-01,1836.321
