date,value
2009-03-01,5.7
2009-06-01,5.7
2009-09-01,5.74
2009-12-01,5.88
2010-03-01,6.04
2010-06-01,5.99
2010-09-01,6.09
2010-12-01,6.34
2011-03-01,7.1
2011-06-01,7.36
2011-09-01,7.8
2011-12-01,7.8
2012-03-01,7.97
2012-06-01,7.55
2012-09-01,7.18
2012-12-01,7.07
2013-03-01,7.22
2013-06-01,7.1
2013-09-01,7.16
2013-12-01,7.14
2014-03-01,7.37
2014-06-01,7.26
2014-09-01,7.33
2014-12-01,6.92
2015-03-01,6.78
2015-06-01,6.46
2015-09-01,6.01
2015-12-01,5.64
2016-03-01,5.67
2016-06-01,5.58
2016-09-01,5.65
