date,value
1981-01-02,0.65184
1981-01-05,0.64859
1981-01-06,0.65513
1981-01-07,0.65513
1981-01-08,0.65513
1981-01-09,0.65057
1981-01-12,0.65057
1981-01-13,0.64729
1981-01-14,0.64729
1981-01-15,0.64729
1981-01-16,0.64279
1981-01-19,0.64279
1981-01-20,0.64279
1981-01-21,0.64279
1981-01-22,0.64474
1981-01-23,0.64474
1981-01-26,0.63963
1981-01-27,0.63455
1981-01-28,0.63203
1981-01-29,0.62948
1981-01-30,0.62948
1981-02-02,0.6208
1981-02-03,0.6208
1981-02-04,0.6239
1981-02-05,0.6239
1981-02-06,0.6239
1981-02-09,0.6227
1981-02-10,0.6227
1981-02-11,0.6227
1981-02-12,0.6227
1981-02-13,0.61406
1981-02-16,0.61406
1981-02-17,0.60317
1981-02-18,0.61357
1981-02-19,0.61357
1981-02-20,0.62418
1981-02-23,0.62857
1981-02-24,0.62115
1981-02-25,0.62363
1981-02-26,0.61808
1981-02-27,0.61808
1981-03-02,0.61376
1981-03-03,0.60768
1981-03-04,0.61072
1981-03-05,0.60768
1981-03-06,0.60768
1981-03-09,0.60768
1981-03-10,0.60949
1981-03-11,0.60949
1981-03-12,0.60949
1981-03-13,0.60949
1981-03-16,0.60968
1981-03-17,0.61315
1981-03-18,0.61625
1981-03-19,0.62309
1981-03-20,0.62
1981-03-23,0.62
1981-03-24,0.61694
1981-03-25,0.61694
1981-03-26,0.61694
1981-03-27,0.61079
1981-03-30,0.61079
1981-03-31,0.61862
1981-04-01,0.6121
1981-04-02,0.6121
1981-04-03,0.60908
1981-04-06,0.60606
1981-04-07,0.60244
1981-04-08,0.60668
1981-04-09,0.60668
1981-04-10,0.60368
1981-04-13,0.60368
1981-04-14,0.59944
1981-04-15,0.59944
1981-04-16,0.5953
1981-04-17,0.5953
1981-04-20,0.5953
1981-04-21,0.5953
1981-04-22,0.5953
1981-04-23,0.5953
1981-04-24,0.5953
1981-04-27,0.5953
1981-04-28,0.5953
1981-04-29,0.5953
1981-04-30,0.59234
1981-05-01,0.59234
1981-05-04,0.59234
1981-05-05,0.5853
1981-05-06,0.58241
1981-05-07,0.58241
1981-05-08,0.58241
1981-05-11,0.58241
1981-05-12,0.57893
1981-05-13,0.57893
1981-05-14,0.57607
1981-05-15,0.57607
1981-05-18,0.57607
1981-05-19,0.57607
1981-05-20,0.57607
1981-05-21,0.57897
1981-05-22,0.57375
1981-05-25,0.57375
1981-05-26,0.57497
1981-05-27,0.57208
1981-05-28,0.57208
1981-05-29,0.57208
1981-06-01,0.57208
1981-06-02,0.56924
1981-06-03,0.56924
1981-06-04,0.56586
1981-06-05,0.56138
1981-06-08,0.56138
1981-06-09,0.56138
1981-06-10,0.56363
1981-06-11,0.56138
1981-06-12,0.5642
1981-06-15,0.57103
1981-06-16,0.57103
1981-06-17,0.57103
1981-06-18,0.56821
1981-06-19,0.56821
1981-06-22,0.57106
1981-06-23,0.57106
1981-06-24,0.57106
1981-06-25,0.57106
1981-06-26,0.57106
1981-06-29,0.57106
1981-06-30,0.57106
1981-07-01,0.57106
1981-07-02,0.56766
1981-07-03,0.56766
1981-07-06,0.56766
1981-07-07,0.56541
1981-07-08,0.56541
1981-07-09,0.56541
1981-07-10,0.56541
1981-07-13,0.56824
1981-07-14,0.5711
1981-07-15,0.56824
1981-07-16,0.5711
1981-07-17,0.5711
1981-07-20,0.56827
1981-07-21,0.56602
1981-07-22,0.56602
1981-07-23,0.56602
1981-07-24,0.56602
1981-07-27,0.56602
1981-07-28,0.56322
1981-07-29,0.56322
1981-07-30,0.56322
1981-07-31,0.56038
1981-08-03,0.5576
1981-08-04,0.55208
1981-08-05,0.55208
1981-08-06,0.55429
1981-08-07,0.55099
1981-08-10,0.54445
1981-08-11,0.54445
1981-08-12,0.55273
1981-08-13,0.55273
1981-08-14,0.5489
1981-08-17,0.55555
1981-08-18,0.55555
1981-08-19,0.55834
1981-08-20,0.55834
1981-08-21,0.56401
1981-08-24,0.55953
1981-08-25,0.55564
1981-08-26,0.56012
1981-08-27,0.56012
1981-08-28,0.56411
1981-08-31,0.56411
1981-09-01,0.56132
1981-09-02,0.56132
1981-09-03,0.56583
1981-09-04,0.56583
