date,value
2011-01-31,9.8
2011-02-28,5
2011-03-31,6.1
2011-04-30,2.2
2011-05-31,2.7
2011-06-30,1.8
2011-07-31,0.6
2011-08-31,-1.7
2011-09-30,-1
2011-10-31,-2.1
2011-11-30,-0.3
2011-12-31,4.7
2012-01-31,-2.5
2012-02-29,-4.2
2012-03-31,-7.5
2012-04-30,-8.1
2012-05-31,-4.6
2012-06-30,-12.4
2012-07-31,-8.1
2012-08-31,-8.2
2012-09-30,-11.3
2012-10-31,-3.7
2012-11-30,-6.8
2012-12-31,-12.4
2013-01-31,-6.3
2013-02-28,-4.9
2013-03-31,-6.7
2013-04-30,-0.1
2013-05-31,-2.8
2013-06-30,2.3
2013-07-31,2.2
2013-08-31,4
2013-09-30,5.7
2013-10-31,5.4
2013-11-30,0.9
2013-12-31,6.1
2014-01-31,12.4
2014-02-28,8.1
2014-03-31,10
2014-04-30,10.9
2014-05-31,8.8
2014-06-30,10.2
2014-07-31,9.8
2014-08-31,7.2
2014-09-30,10.1
2014-10-31,5.7
2014-11-30,9.8
2014-12-31,11.2
2015-01-31,3.7
2015-02-28,4.6
2015-03-31,5
2015-04-30,1.8
2015-05-31,2.1
2015-06-30,2.6
2015-07-31,2
2015-08-31,-0.6
2015-09-30,-0.3
2015-10-31,1
2015-11-30,-0.9
2015-12-31,1.6
2016-01-31,-0.9
2016-02-29,-0.4
2016-03-31,-4.5
2016-04-30,-0.6
2016-05-31,-1.6
2016-06-30,-0.7
2016-07-31,-1
2016-08-31,0.8
2016-09-30,2.5
2016-10-31,0.7
2016-11-30,1.5
