date,value
1993-04-30,-0.061
1993-05-31,0.244
1993-06-30,0.399
1993-07-31,0.238
1993-08-31,0.157
1993-09-30,0.463
1993-10-31,0.198
1993-11-30,0.383
1993-12-31,0.253
1994-01-31,0.382
1994-02-28,0.187
1994-03-31,0.427
1994-04-30,0.549
1994-05-31,0.365
1994-06-30,0.633
1994-07-31,0.478
1994-08-31,0.525
1994-09-30,0.512
1994-10-31,0.478
1994-11-30,0.494
1994-12-31,0.705
1995-01-31,0.579
1995-02-28,0.631
1995-03-31,0.691
1995-04-30,0.473
1995-05-31,0.455
1995-06-30,0.784
1995-07-31,0.747
1995-08-31,0.599
1995-09-30,0.82
1995-10-31,0.84
1995-11-30,0.729
1995-12-31,0.882
1996-01-31,0.539
1996-02-29,0.8
1996-03-31,0.758
1996-04-30,1.085
1996-05-31,0.7
1996-06-30,0.833
1996-07-31,1.123
1996-08-31,1.065
1996-09-30,1.197
1996-10-31,0.964
1996-11-30,0.991
1996-12-31,0.928
1997-01-31,0.826
1997-02-28,1.472
1997-03-31,0.425
1997-04-30,1.051
1997-05-31,1.131
1997-06-30,1.208
1997-07-31,0.591
1997-08-31,1.005
1997-09-30,0.679
1997-10-31,0.972
1997-11-30,1.272
1997-12-31,1.431
1998-01-31,1.383
1998-02-28,1.271
1998-03-31,1.091
1998-04-30,0.889
1998-05-31,1.505
1998-06-30,1.147
1998-07-31,1.131
1998-08-31,1.337
1998-09-30,1.358
1998-10-31,1.17
1998-11-30,1.208
1998-12-31,1.021
1999-01-31,1.254
1999-02-28,1.301
1999-03-31,1.219
1999-04-30,1.228
1999-05-31,1.139
1999-06-30,1.22
1999-07-31,1.338
1999-08-31,1.208
1999-09-30,1.189
1999-10-31,1.165
1999-11-30,1.242
1999-12-31,1.253
2000-01-31,1.347
2000-02-29,1.327
2000-03-31,1.59
2000-04-30,0.98
2000-05-31,1.538
2000-06-30,1.008
2000-07-31,1.252
2000-08-31,0.762
2000-09-30,1.03
2000-10-31,1.342
2000-11-30,1.246
2000-12-31,0.995
2001-01-31,1.041
2001-02-28,1.296
2001-03-31,1.062
2001-04-30,1.494
2001-05-31,1.829
2001-06-30,1.228
2001-07-31,1.418
2001-08-31,1.313
2001-09-30,1.528
2001-10-31,1.594
2001-11-30,1.66
2001-12-31,1.91
2002-01-31,1.879
2002-02-28,1.954
2002-03-31,1.6
2002-04-30,1.689
2002-05-31,1.791
2002-06-30,1.237
2002-07-31,1.981
2002-08-31,1.928
2002-09-30,1.912
2002-10-31,2.126
2002-11-30,1.3
2002-12-31,1.832
2003-01-31,1.451
2003-02-28,1.627
2003-03-31,1.848
2003-04-30,1.792
2003-05-31,1.978
2003-06-30,1.757
2003-07-31,1.963
2003-08-31,1.597
2003-09-30,1.614
2003-10-31,1.714
2003-11-30,2.055
2003-12-31,0.959
2004-01-31,2.007
2004-02-29,2.08
2004-03-31,1.833
2004-04-30,1.545
2004-05-31,2.281
2004-06-30,2.022
2004-07-31,1.849
2004-08-31,2.01
2004-09-30,2.022
2004-10-31,1.632
2004-11-30,1.764
2004-12-31,1.816
2005-01-31,2.293
2005-02-28,1.581
2005-03-31,2.037
2005-04-30,1.259
2005-05-31,1.526
2005-06-30,1.815
2005-07-31,1.079
2005-08-31,1.459
2005-09-30,1.186
2005-10-31,1.191
2005-11-30,0.644
2005-12-31,1.186
2006-01-31,1.443
2006-02-28,1.156
2006-03-31,0.384
2006-04-30,0.916
2006-05-31,1.037
2006-06-30,0.728
2006-07-31,0.901
2006-08-31,0.73
2006-09-30,0.718
2006-10-31,0.841
2006-11-30,0.846
2006-12-31,0.994
2007-01-31,0.511
2007-02-28,0.472
2007-03-31,0.356
2007-04-30,0.854
2007-05-31,0.587
2007-06-30,0.642
2007-07-31,1.064
2007-08-31,0.823
2007-09-30,1.526
2007-10-31,1.485
2007-11-30,0.665
2007-12-31,0.303
