date,value
1966-09-30,1
1966-10-31,0
1966-11-30,2
1966-12-31,20
1967-01-31,399
1967-02-28,308
1967-03-31,320
1967-04-30,26
1967-05-31,18
1967-06-30,15
1967-07-31,12
1967-08-31,15
1967-09-30,14
1967-10-31,9
1967-11-30,10
1967-12-31,25
1968-01-31,383
1968-02-29,334
1968-03-31,353
1968-04-30,36
1968-05-31,25
1968-06-30,22
1968-07-31,16
1968-08-31,21
1968-09-30,19
1968-10-31,13
1968-11-30,20
1968-12-31,57
1969-01-31,347
1969-02-28,377
1969-03-31,389
1969-04-30,47
1969-05-31,40
1969-06-30,29
1969-07-31,25
1969-08-31,28
1969-09-30,29
1969-10-31,36
1969-11-30,25
1969-12-31,59
1970-01-31,460
1970-02-28,590
1970-03-31,328
1970-04-30,65
1970-05-31,59
1970-06-30,37
1970-07-31,39
1970-08-31,34
1970-09-30,36
1970-10-31,46
1970-11-30,24
1970-12-31,50
1971-01-31,309
1971-02-28,393
1971-03-31,490
1971-04-30,87
1971-05-31,53
1971-06-30,48
1971-07-31,45
1971-08-31,39
1971-09-30,31
1971-10-31,48
1971-11-30,33
1971-12-31,51
1972-01-31,392
1972-02-29,464
1972-03-31,261
1972-04-30,50
1972-05-31,51
1972-06-30,42
1972-07-31,44
1972-08-31,40
1972-09-30,33
1972-10-31,74
1972-11-30,37
1972-12-31,41
1973-01-31,453
1973-02-28,449
1973-03-31,219
1973-04-30,56
1973-05-31,66
1973-06-30,44
1973-07-31,190
1973-08-31,63
1973-09-30,42
1973-10-31,231
1973-11-30,62
1973-12-31,86
1974-01-31,627
1974-02-28,564
1974-03-31,233
1974-04-30,261
1974-05-31,108
1974-06-30,76
1974-07-31,267
1974-08-31,102
1974-09-30,240
1974-10-31,304
1974-11-30,73
1974-12-31,94
1975-01-31,587
1975-02-28,470
1975-03-31,277
1975-04-30,221
1975-05-31,55
1975-06-30,39
1975-07-31,271
1975-08-31,66
1975-09-30,-32
1975-10-31,229
1975-11-30,29
1975-12-31,192
1976-01-31,737
1976-02-29,105
1976-03-31,84
1976-04-30,254
1976-05-31,34
1976-06-30,49
1976-07-31,307
1976-08-31,33
1976-09-30,62
1976-10-31,330
1976-11-30,51
1976-12-31,184
1977-01-31,1113
1977-02-28,134
