date,value,_value
1993-01-31,,19559
1993-02-28,,19559
1993-03-31,,19559
1993-04-30,,17298
1993-05-31,,17298
1993-06-30,,17298
1993-07-31,,18658
1993-08-31,,18658
1993-09-30,,18657
1993-10-31,,19659
1993-11-30,,19659
1993-12-31,,19658
1994-01-31,5.204765069788844,20577
1994-02-28,5.204765069788844,20577
1994-03-31,5.209877805613784,20578
1994-04-30,7.463290553821252,18589
1994-05-31,7.463290553821252,18589
1994-06-30,7.457509538674992,18588
1994-07-31,8.087683567370565,20167
1994-08-31,8.087683567370565,20167
1994-09-30,8.098836897679156,20168
1994-10-31,8.555877715041458,21341
1994-11-30,8.555877715041458,21341
1994-12-31,8.56139993895615,21341
1995-01-31,8.15473587014628,22255
1995-02-28,8.15473587014628,22255
1995-03-31,8.154339585965594,22256
1995-04-30,8.440475550056485,20158
1995-05-31,8.440475550056485,20158
1995-06-30,8.446309446955025,20158
1995-07-31,5.270987256408985,21230
1995-08-31,5.270987256408985,21230
1995-09-30,5.2608092026973425,21229
1995-10-31,9.971416522187338,23469
1995-11-30,9.971416522187338,23469
1995-12-31,9.976102338222201,23470
1996-01-31,7.319703437429791,23884
1996-02-29,7.319703437429791,23884
1996-03-31,7.31038820992092,23883
1996-04-30,1.3989483083639251,20440
1996-05-31,1.3989483083639251,20440
1996-06-30,1.3989483083639251,20440
1996-07-31,4.8469147432878,22259
1996-08-31,4.8469147432878,22259
1996-09-30,4.851853596495361,22259
1996-10-31,6.110187907452384,24903
1996-11-30,6.110187907452384,24903
1996-12-31,6.10140605027695,24902
1997-01-31,6.334784793166974,25397
1997-02-28,6.334784793166974,25397
1997-03-31,6.3392371142653765,25397
1997-04-30,5.763209393346379,21618
1997-05-31,6.580234833659492,21785
1997-06-30,5.709393346379648,21607
1997-07-31,13.814636776135497,25334
1997-08-31,4.101711667190799,23172
1997-09-30,6.195246866436048,23638
1997-10-31,7.183873428904149,26692
1997-11-30,10.46460265831426,27509
1997-12-31,7.842743554734559,26855
1998-01-31,37.870614639524355,35015
1998-02-28,6.500767807221325,27048
1998-03-31,-0.9568059219592865,25154
1998-04-30,12.531223980016653,24327
1998-05-31,0.032132201055772316,21792
1998-06-30,4.054241680936734,22483
1998-07-31,16.325886160890505,29470
1998-08-31,4.652166407733471,24250
1998-09-30,4.636602081394365,24734
1998-10-31,26.12393226434887,33665
1998-11-30,-13.18477589152641,23882
1998-12-31,4.267361757587042,28001
1999-01-31,-0.8424960731115236,34720
1999-02-28,8.832446021887016,29437
1999-03-31,7.390474675995866,27013
1999-04-30,9.487400830353106,26635
1999-05-31,6.919970631424375,23300
1999-06-30,6.120179691322333,23859
1999-07-31,5.758398371224974,31167
1999-08-31,7.612371134020618,26096
1999-09-30,12.581871108595454,27846
1999-10-31,4.541809000445567,35194
1999-11-30,8.95653630349217,26021
1999-12-31,-1.8535052319560017,27482
2000-01-31,11.01958525345622,38546
2000-02-29,0.06794170601623807,29457
2000-03-31,10.613408358938289,29880
2000-04-30,9.46874413365872,29157
2000-05-31,10.158798283261802,25667
2000-06-30,11.3081017645333,26557
2000-07-31,8.576378862258158,33840
2000-08-31,8.261802575107296,28252
2000-09-30,0.08618832148243913,27870
2000-10-31,3.381258169006081,36384
2000-11-30,5.2073325391030325,27376
2000-12-31,3.034713630740121,28316
2001-01-31,9.938774451304933,42377
