date,value,_value
1955-03-31,107.263,107263
1955-06-30,107.398,107398
1955-09-30,109.591,109591
1955-12-31,109.05,109050
1956-03-31,110.201,110201
1956-06-30,109.919,109919
1956-09-30,109.859,109859
1956-12-31,110.336,110336
1957-03-31,112.513,112513
1957-06-30,112.481,112481
1957-09-30,111.78,111780
1957-12-31,111.969,111969
1958-03-31,114.28,114280
1958-06-30,111.698,111698
1958-09-30,114.16,114160
1958-12-31,114.288,114288
1959-03-31,114.86,114860
1959-06-30,116.749,116749
1959-09-30,119.239,119239
1959-12-31,122.245,122245
1960-03-31,125.247,125247
1960-06-30,124.335,124335
1960-09-30,126.225,126225
1960-12-31,126.992,126992
1961-03-31,129.056,129056
1961-06-30,129.591,129591
1961-09-30,128.912,128912
1961-12-31,128.694,128694
1962-03-31,129.273,129273
1962-06-30,130.521,130521
1962-09-30,131.297,131297
1962-12-31,130.815,130815
1963-03-31,131.549,131549
1963-06-30,137.141,137141
1963-09-30,137.783,137783
1963-12-31,140.891,140891
1964-03-31,141.748,141748
1964-06-30,144.191,144191
1964-09-30,144.765,144765
1964-12-31,146.973,146973
1965-03-31,146.558,146558
1965-06-30,146.678,146678
1965-09-30,147.917,147917
1965-12-31,148.822,148822
1966-03-31,149.072,149072
1966-06-30,149.911,149911
1966-09-30,150.424,150424
1966-12-31,149.804,149804
1967-03-31,151.844,151844
1967-06-30,153.93,153930
1967-09-30,154.649,154649
1967-12-31,155.456,155456
1968-03-31,161.113,161113
1968-06-30,160.428,160428
1968-09-30,163.618,163618
1968-12-31,164.28,164280
1969-03-31,163.917,163917
1969-06-30,165.073,165073
1969-09-30,166.036,166036
1969-12-31,166.893,166893
1970-03-31,165.838,165838
1970-06-30,169.756,169756
1970-09-30,171.401,171401
1970-12-31,172.905,172905
1971-03-31,171.908,171908
1971-06-30,174.944,174944
1971-09-30,178.004,178004
1971-12-31,178.7,178700
1972-03-31,178.9,178900
1972-06-30,183.665,183665
1972-09-30,184.154,184154
1972-12-31,187.051,187051
1973-03-31,196.348,196348
1973-06-30,196.607,196607
1973-09-30,194.73,194730
1973-12-31,193.898,193898
1974-03-31,188.603,188603
1974-06-30,191.332,191332
1974-09-30,192.567,192567
1974-12-31,189.755,189755
1975-03-31,189.858,189858
1975-06-30,186.727,186727
1975-09-30,186.11,186110
1975-12-31,188.217,188217
1976-03-31,191.244,191244
1976-06-30,190.92,190920
1976-09-30,193.296,193296
1976-12-31,197.392,197392
1977-03-31,197.523,197523
1977-06-30,196.076,196076
1977-09-30,197.433,197433
1977-12-31,200.857,200857
1978-03-31,202.577,202577
1978-06-30,205.036,205036
1978-09-30,207.797,207797
1978-12-31,209.701,209701
1979-03-31,208.86,208860
1979-06-30,218.12,218120
1979-09-30,213.354,213354
1979-12-31,215.599,215599
1980-03-31,213.48,213480
1980-06-30,209.258,209258
1980-09-30,208.968,208968
1980-12-31,206.756,206756
1981-03-31,206.419,206419
1981-06-30,206.92,206920
1981-09-30,209.178,209178
1981-12-31,209.414,209414
1982-03-31,209.751,209751
1982-06-30,212.11,212110
1982-09-30,212.67,212670
1982-12-31,214.169,214169
1983-03-31,218.038,218038
1983-06-30,219.905,219905
1983-09-30,222.323,222323
1983-12-31,224.254,224254
1984-03-31,225.79,225790
1984-06-30,223.826,223826
1984-09-30,225.278,225278
1984-12-31,229.745,229745
1985-03-31,231.659,231659
1985-06-30,236.615,236615
1985-09-30,236.831,236831
1985-12-31,237.414,237414
1986-03-31,240.112,240112
1986-06-30,241.881,241881
1986-09-30,242.966,242966
1986-12-31,247.28,247280
1987-03-31,249.537,249537
1987-06-30,253.182,253182
1987-09-30,259.331,259331
1987-12-31,262.296,262296
1988-03-31,267.034,267034
1988-06-30,268.66,268660
1988-09-30,272.785,272785
1988-12-31,275.15,275150
1989-03-31,276.356,276356
1989-06-30,278.165,278165
1989-09-30,278.427,278427
1989-12-31,278.67,278670
1990-03-31,280.536,280536
1990-06-30,281.973,281973
1990-09-30,279.018,279018
1990-12-31,278.06,278060
1991-03-31,277.253,277253
1991-06-30,276.891,276891
1991-09-30,276.24,276240
1991-12-31,276.675,276675
1992-03-31,276.661,276661
1992-06-30,276.313,276313
1992-09-30,278.066,278066
1992-12-31,280.003,280003
1993-03-31,282.033,282033
1993-06-30,283.448,283448
1993-09-30,285.728,285728
1993-12-31,287.688,287688
1994-03-31,291.179,291179
1994-06-30,294.553,294553
1994-09-30,297.883,297883
1994-12-31,299.529,299529
1995-03-31,300.454,300454
1995-06-30,301.602,301602
1995-09-30,304.758,304758
1995-12-31,305.984,305984
1996-03-31,309.25,309250
1996-06-30,310.103,310103
1996-09-30,311.412,311412
1996-12-31,312.944,312944
1997-03-31,315.943,315943
1997-06-30,319.596,319596
1997-09-30,321.475,321475
1997-12-31,325.588,325588
1998-03-31,327.471,327471
1998-06-30,329.347,329347
1998-09-30,331.661,331661
1998-12-31,335.048,335048
1999-03-31,337.294,337294
