date,value,_value
1995-01-31,52.623160000000006,52623.16
1995-02-28,52.48196,52481.96
1995-03-31,52.54564,52545.64
1995-04-30,52.951,52951
1995-05-31,53.03189,53031.89
1995-06-30,53.14653,53146.53
1995-07-31,53.30564,53305.64
1995-08-31,52.998830000000005,52998.83
1995-09-30,52.72378,52723.78
1995-10-31,52.24579,52245.79
1995-11-30,52.20083,52200.83
1995-12-31,52.29075,52290.75
1996-01-31,51.76769,51767.69
1996-02-29,51.926120000000004,51926.12
1996-03-31,52.046459999999996,52046.46
1996-04-30,52.75235,52752.35
1996-05-31,53.199690000000004,53199.69
1996-06-30,53.47278,53472.78
1996-07-31,54.06209,54062.09
1996-08-31,54.44744,54447.44
1996-09-30,54.34651,54346.51
1996-10-31,54.290879999999994,54290.88
1996-11-30,54.80149,54801.49
1996-12-31,55.07588,55075.88
1997-01-31,55.087849999999996,55087.85
1997-02-28,55.53617,55536.17
1997-03-31,56.08474,56084.74
1997-04-30,56.81507,56815.07
1997-05-31,57.75253,57752.53
1997-06-30,58.40559,58405.59
1997-07-31,59.27227,59272.27
1997-08-31,59.936519999999994,59936.52
1997-09-30,60.15284,60152.84
1997-10-31,60.20525,60205.25
1997-11-30,60.62482,60624.82
1997-12-31,60.69282,60692.82
1998-01-31,61.02625,61026.25
1998-02-28,60.763760000000005,60763.76
1998-03-31,61.362,61362
1998-04-30,62.76934,62769.34
1998-05-31,63.336400000000005,63336.4
1998-06-30,63.68286,63682.86
1998-07-31,64.49544999999999,64495.45
1998-08-31,64.75017,64750.17
1998-09-30,64.61901,64619.01
1998-10-31,64.46785,64467.85
1998-11-30,64.34846,64348.46
1998-12-31,64.59409,64594.09
1999-01-31,64.82208,64822.08
1999-02-28,64.55157,64551.57
1999-03-31,65.33524,65335.24
1999-04-30,66.61819,66618.19
1999-05-31,67.3071,67307.1
1999-06-30,68.30537,68305.37
1999-07-31,69.48875,69488.75
1999-08-31,70.47856,70478.56
1999-09-30,71.60591000000001,71605.91
1999-10-31,72.02927000000001,72029.27
1999-11-30,72.98528999999999,72985.29
1999-12-31,73.74945,73749.45
2000-01-31,73.90627,73906.27
2000-02-29,74.30838,74308.38
2000-03-31,75.60844,75608.44
2000-04-30,78.13423,78134.23
2000-05-31,78.81022,78810.22
2000-06-30,79.65974,79659.74
2000-07-31,80.95769,80957.69
2000-08-31,81.83559,81835.59
2000-09-30,81.96825,81968.25
2000-10-31,81.62147,81621.47
2000-11-30,81.93068,81930.68
2000-12-31,82.52837,82528.37
2001-01-31,82.6357,82635.7
2001-02-28,82.5805,82580.5
2001-03-31,83.5565,83556.5
2001-04-30,85.66356,85663.56
2001-05-31,86.95078,86950.78
2001-06-30,88.17022999999999,88170.23
2001-07-31,89.61291,89612.91
2001-08-31,91.42117,91421.17
2001-09-30,91.75701,91757.01
2001-10-31,92.15593,92155.93
2001-11-30,93.14107000000001,93141.07
2001-12-31,93.97041,93970.41
2002-01-31,94.20163000000001,94201.63
2002-02-28,94.63687,94636.87
2002-03-31,96.80758,96807.58
2002-04-30,99.21399000000001,99213.99
2002-05-31,102.207,102207
2002-06-30,104.63889999999999,104638.9
2002-07-31,107.6483,107648.3
2002-08-31,110.43796,110437.96
2002-09-30,111.43921,111439.21
2002-10-31,113.35146,113351.46
2002-11-30,116.15785000000001,116157.85
2002-12-31,117.34996000000001,117349.96
2003-01-31,119.04888000000001,119048.88
2003-02-28,119.23721,119237.21
2003-03-31,120.69228,120692.28
2003-04-30,123.71419999999999,123714.2
2003-05-31,125.72714,125727.14
2003-06-30,126.82469999999999,126824.7
2003-07-31,129.77403999999999,129774.04
2003-08-31,131.46104,131461.04
2003-09-30,131.46866,131468.66
2003-10-31,133.42675,133426.75
2003-11-30,134.7544,134754.4
2003-12-31,136.66392000000002,136663.92
2004-01-31,137.43018,137430.18
2004-02-29,138.03459,138034.59
2004-03-31,140.23869,140238.69
2004-04-30,145.03459,145034.59
2004-05-31,147.76535,147765.35
2004-06-30,151.31993,151319.93
2004-07-31,154.55970000000002,154559.7
2004-08-31,156.67143,156671.43
2004-09-30,157.04091,157040.91
2004-10-31,157.22045,157220.45
2004-11-30,158.27035999999998,158270.36
2004-12-31,157.80084,157800.84
2005-01-31,156.66635,156666.35
2005-02-28,156.54604999999998,156546.05
2005-03-31,157.63379,157633.79
2005-04-30,159.29119,159291.19
2005-05-31,161.06073999999998,161060.74
2005-06-30,162.06214000000003,162062.14
2005-07-31,163.82632999999998,163826.33
2005-08-31,164.54692,164546.92
2005-09-30,164.25829000000002,164258.29
2005-10-31,163.76852,163768.52
2005-11-30,164.35933,164359.33
2005-12-31,165.18281,165182.81
2006-01-31,164.53545000000003,164535.45
2006-02-28,164.99683,164996.83
2006-03-31,166.11681,166116.81
2006-04-30,169.09496,169094.96
2006-05-31,170.63491,170634.91
2006-06-30,172.27732999999998,172277.33
2006-07-31,174.093,174093
2006-08-31,175.55626,175556.26
2006-09-30,176.18761999999998,176187.62
2006-10-31,176.78225,176782.25
2006-11-30,177.6277,177627.7
2006-12-31,179.86563,179865.63
2007-01-31,179.51362,179513.62
2007-02-28,180.26309,180263.09
2007-03-31,181.39139,181391.39
2007-04-30,184.41441,184414.41
2007-05-31,186.46179,186461.79
2007-06-30,188.43842,188438.42
