date,value
1950-03-31,1351
1955-03-31,2107
1955-06-30,2108
1955-09-30,2149
1955-12-31,2136
1956-03-31,2156
1956-06-30,2148
1956-09-30,2144
1956-12-31,2151
1957-03-31,2190
1957-06-30,2187
1957-09-30,2171
1957-12-31,2172
1958-03-31,2215
1958-06-30,2162
1958-09-30,2207
1958-12-31,2206
1959-03-31,2214
1959-06-30,2247
1959-09-30,2290
1959-12-31,2343
1960-03-31,2396
1960-06-30,2374
1960-09-30,2405
1960-12-31,2415
1961-03-31,2449
1961-06-30,2454
1961-09-30,2436
1961-12-31,2426
1962-03-31,2431
1962-06-30,2449
1962-09-30,2460
1962-12-31,2447
1963-03-31,2457
1963-06-30,2557
1963-09-30,2565
1963-12-31,2618
1964-03-31,2630
1964-06-30,2671
1964-09-30,2677
1964-12-31,2713
1965-03-31,2701
1965-06-30,2699
1965-09-30,2718
1965-12-31,2731
1966-03-31,2732
1966-06-30,2743
1966-09-30,2749
1966-12-31,2734
1967-03-31,2767
1967-06-30,2801
1967-09-30,2811
1967-12-31,2822
1968-03-31,2921
1968-06-30,2906
1968-09-30,2960
1968-12-31,2969
1969-03-31,2959
1969-06-30,2976
1969-09-30,2991
1969-12-31,3005
1970-03-31,2983
1970-06-30,3051
1970-09-30,3077
1970-12-31,3100
1971-03-31,3078
1971-06-30,3128
1971-09-30,3180
1971-12-31,3190
1972-03-31,3192
1972-06-30,3274
1972-09-30,3281
1972-12-31,3331
1973-03-31,3494
1973-06-30,3497
1973-09-30,3463
1973-12-31,3448
1974-03-31,3354
1974-06-30,3402
1974-09-30,3424
1974-12-31,3375
1975-03-31,3377
1975-06-30,3321
1975-09-30,3310
1975-12-31,3348
1976-03-31,3402
1976-06-30,3396
1976-09-30,3439
1976-12-31,3512
1977-03-31,3515
1977-06-30,3490
1977-09-30,3514
1977-12-31,3575
1978-03-31,3606
1978-06-30,3650
1978-09-30,3698
1978-12-31,3731
1979-03-31,3715
1979-06-30,3878
1979-09-30,3792
1979-12-31,3830
1980-03-31,3791
1980-06-30,3715
1980-09-30,3709
1980-12-31,3670
1981-03-31,3663
1981-06-30,3672
1981-09-30,3713
1981-12-31,3718
1982-03-31,3725
1982-06-30,3768
1982-09-30,3778
1982-12-31,3804
1983-03-31,3872
1983-06-30,3905
1983-09-30,3946
1983-12-31,3979
1984-03-31,4004
1984-06-30,3968
1984-09-30,3991
1984-12-31,4068
1985-03-31,4099
1985-06-30,4184
1985-09-30,4185
1985-12-31,4193
1986-03-31,4238
1986-06-30,4267
1986-09-30,4284
1986-12-31,4358
1987-03-31,4395
1987-06-30,4457
1987-09-30,4563
1987-12-31,4613
1988-03-31,4694
1988-06-30,4720
1988-09-30,4789
1988-12-31,4828
1989-03-31,4845
1989-06-30,4874
1989-09-30,4875
1989-12-31,4876
1990-03-31,4905
1990-06-30,4926
1990-09-30,4870
1990-12-31,4849
1991-03-31,4831
1991-06-30,4821
1991-09-30,4806
1991-12-31,4811
1992-03-31,4807
1992-06-30,4798
1992-09-30,4826
1992-12-31,4857
1993-03-31,4889
1993-06-30,4911
1993-09-30,4948
1993-12-31,4978
1994-03-31,5036
1994-06-30,5091
1994-09-30,5145
1994-12-31,5169
1995-03-31,5182
1995-06-30,5198
1995-09-30,5249
1995-12-31,5267
1996-03-31,5320
1996-06-30,5332
1996-09-30,5351
1996-12-31,5373
1997-03-31,5421
1997-06-30,5481
1997-09-30,5509
1997-12-31,5576
1998-03-31,5604
1998-06-30,5632
1998-09-30,5667
1998-12-31,5719
1999-03-31,5753
1999-06-30,5752
1999-09-30,5852
1999-12-31,5928
2000-03-31,5982
2000-06-30,6021
2000-09-30,6032
2000-12-31,6035
2001-03-31,6109
2001-06-30,6145
2001-09-30,6180
2001-12-31,6198
2002-03-31,6217
2002-06-30,6256
2002-09-30,6296
2002-12-31,6344
2003-03-31,6389
2003-06-30,6439
2003-09-30,6495
2003-12-31,6540
2004-03-31,6568
2004-06-30,6591
2004-09-30,6591
2004-12-31,6618
2005-03-31,6643
2005-06-30,6702
2005-09-30,6763
2005-12-31,6843
2006-03-31,6854
2006-06-30,6858
2006-09-30,6854
2006-12-31,6865
2007-03-31,6920
2007-06-30,6957
2007-09-30,6996
2007-12-31,7034
2008-03-31,7030
2008-06-30,6970
2008-09-30,6840
2008-12-31,6673
2009-03-31,6553
2009-06-30,6527
2009-09-30,6518
2009-12-31,6532
2010-03-31,6555
2010-06-30,6608
2010-09-30,6631
2010-12-31,6625
2011-03-31,6648
2011-06-30,6638
2011-09-30,6656
2011-12-31,6661
2012-03-31,6680
2012-06-30,6663
2012-09-30,6729
2012-12-31,6702
2013-03-31,6734
2013-06-30,6759
2013-09-30,6797
2013-12-31,6817
2014-03-31,6862
2014-06-30,6912
2014-09-30,6955
2014-12-31,6999
2015-03-31,7002
2015-06-30,7022
2015-09-30,7029
2015-12-31,7065
2016-03-31,7076
2016-06-30,7109
2016-09-30,7137
