date,value
1999-01-01,1.4079
1999-01-04,1.402
1999-01-05,1.4012
1999-01-06,1.4236
1999-01-07,1.413
1999-01-08,1.4161
1999-01-11,1.4174
1999-01-12,1.4111
1999-01-13,1.4135
1999-01-14,1.4177
1999-01-15,1.4281
1999-01-18,1.4226
1999-01-19,1.4271
1999-01-20,1.4236
1999-01-21,1.4244
1999-01-22,1.4297
1999-01-25,1.4349
1999-01-26,1.4347
1999-01-27,1.4396
1999-01-28,1.4441
1999-01-29,1.4477
1999-02-01,1.4517
1999-02-02,1.4454
1999-02-03,1.4462
1999-02-04,1.4515
1999-02-05,1.4485
1999-02-08,1.4473
1999-02-09,1.4476
1999-02-10,1.4349
1999-02-11,1.4455
1999-02-12,1.4458
1999-02-15,1.449
1999-02-16,1.4579
1999-02-17,1.4543
1999-02-18,1.4606
1999-02-19,1.4654
1999-02-22,1.4749
1999-02-23,1.4665
1999-02-24,1.4515
1999-02-25,1.4521
1999-02-26,1.4545
1999-03-01,1.4768
1999-03-02,1.4777
1999-03-03,1.4837
1999-03-04,1.4903
1999-03-05,1.4835
1999-03-08,1.4785
1999-03-09,1.4869
1999-03-10,1.4855
1999-03-11,1.4825
1999-03-12,1.4966
1999-03-15,1.4861
1999-03-16,1.4812
1999-03-17,1.4818
1999-03-18,1.484
1999-03-19,1.4951
1999-03-22,1.4916
1999-03-23,1.5024
1999-03-24,1.5029
1999-03-25,1.4984
1999-03-26,1.5086
1999-03-29,1.5055
1999-03-30,1.5037
1999-03-31,1.4953
1999-04-01,1.485
1999-04-02,1.4858
1999-04-05,1.4943
1999-04-06,1.4689
1999-04-07,1.4805
1999-04-08,1.4946
1999-04-09,1.4878
1999-04-12,1.4914
1999-04-13,1.4994
1999-04-14,1.4932
1999-04-15,1.503
1999-04-16,1.5076
1999-04-19,1.5118
1999-04-20,1.515
1999-04-21,1.5167
1999-04-22,1.5191
1999-04-23,1.522
1999-04-26,1.5224
1999-04-27,1.5166
1999-04-28,1.519
1999-04-29,1.5163
1999-04-30,1.5223
1999-05-03,1.5227
1999-05-04,1.532
1999-05-05,1.5206
1999-05-06,1.5185
1999-05-07,1.5148
1999-05-10,1.5073
1999-05-11,1.5152
1999-05-12,1.5192
1999-05-13,1.5212
1999-05-14,1.5192
1999-05-17,1.5163
1999-05-18,1.5176
1999-05-19,1.5165
1999-05-20,1.5126
1999-05-21,1.5137
1999-05-24,1.5073
1999-05-25,1.5115
1999-05-26,1.5264
1999-05-27,1.5334
1999-05-28,1.5355
1999-05-31,1.5381
1999-06-01,1.5428
1999-06-02,1.5489
1999-06-03,1.5544
1999-06-04,1.552
1999-06-07,1.5543
1999-06-08,1.5346
1999-06-09,1.5311
1999-06-10,1.5315
1999-06-11,1.5369
1999-06-14,1.5414
1999-06-15,1.529
1999-06-16,1.5409
1999-06-17,1.5403
1999-06-18,1.5357
1999-06-21,1.5375
1999-06-22,1.5408
1999-06-23,1.5293
1999-06-24,1.5263
1999-06-25,1.5212
1999-06-28,1.5316
1999-06-29,1.523
1999-06-30,1.5242
1999-07-01,1.5373
1999-07-02,1.5407
1999-07-05,1.5411
1999-07-06,1.5256
1999-07-07,1.5266
1999-07-08,1.5248
1999-07-09,1.5184
1999-07-12,1.5348
1999-07-13,1.5319
1999-07-14,1.5332
1999-07-15,1.5355
1999-07-16,1.5319
1999-07-19,1.5322
1999-07-20,1.5085
1999-07-21,1.4999
1999-07-22,1.5052
1999-07-23,1.5003
1999-07-26,1.4926
1999-07-27,1.496
1999-07-28,1.4984
1999-07-29,1.5082
1999-07-30,1.514
1999-08-02,1.5117
1999-08-03,1.5173
1999-08-04,1.5037
1999-08-05,1.499
1999-08-06,1.4976
1999-08-09,1.4991
1999-08-10,1.508
1999-08-11,1.5137
1999-08-12,1.5091
1999-08-13,1.5188
1999-08-16,1.5132
1999-08-17,1.5257
1999-08-18,1.5227
1999-08-19,1.5188
1999-08-20,1.5132
1999-08-23,1.5261
1999-08-24,1.5126
1999-08-25,1.5207
1999-08-26,1.5192
1999-08-27,1.5172
1999-08-30,1.5173
1999-08-31,1.5179
1999-09-01,1.5159
1999-09-02,1.5035
1999-09-03,1.51
1999-09-06,1.5193
1999-09-07,1.5147
1999-09-08,1.528
1999-09-09,1.5519
1999-09-10,1.5608
1999-09-13,1.5424
1999-09-14,1.5525
1999-09-15,1.5507
1999-09-16,1.5634
1999-09-17,1.5575
1999-09-20,1.5659
1999-09-21,1.5555
1999-09-22,1.561
1999-09-23,1.5667
1999-09-24,1.5731
1999-09-27,1.5738
1999-09-28,1.5665
1999-09-29,1.5449
1999-09-30,1.5419
1999-10-01,1.5421
1999-10-04,1.5415
1999-10-05,1.5421
1999-10-06,1.55
1999-10-07,1.5416
1999-10-08,1.5542
1999-10-11,1.554
1999-10-12,1.5388
1999-10-13,1.5326
1999-10-14,1.5429
1999-10-15,1.5322
1999-10-18,1.5433
1999-10-19,1.5452
1999-10-20,1.5473
1999-10-21,1.5503
1999-10-22,1.5497
1999-10-25,1.5571
1999-10-26,1.5605
1999-10-27,1.567
1999-10-28,1.5583
1999-10-29,1.5589
1999-11-01,1.5624
1999-11-02,1.564
1999-11-03,1.5668
1999-11-04,1.5631
1999-11-05,1.5546
1999-11-08,1.5595
1999-11-09,1.5599
1999-11-10,1.5592
1999-11-11,1.5592
1999-11-12,1.5656
1999-11-15,1.5694
1999-11-16,1.569
1999-11-17,1.5599
1999-11-18,1.5679
1999-11-19,1.5723
1999-11-22,1.5701
1999-11-23,1.5809
1999-11-24,1.5809
1999-11-25,1.5836
1999-11-26,1.58
1999-11-29,1.5908
1999-11-30,1.5841
1999-12-01,1.589
1999-12-02,1.5967
1999-12-03,1.5973
1999-12-06,1.5842
1999-12-07,1.584
1999-12-08,1.5839
1999-12-09,1.5903
1999-12-10,1.6012
1999-12-13,1.6014
1999-12-14,1.6017
1999-12-15,1.5947
1999-12-16,1.5843
1999-12-17,1.5908
1999-12-20,1.5887
1999-12-21,1.5997
1999-12-22,1.5945
1999-12-23,1.5911
1999-12-24,1.5923
1999-12-27,1.596
1999-12-28,1.6033
1999-12-29,1.61
1999-12-30,1.6016
1999-12-31,1.6055
2000-01-03,1.5974
2000-01-04,1.5888
2000-01-05,1.5919
2000-01-06,1.5954
2000-01-07,1.5922
2000-01-10,1.5964
2000-01-11,1.5936
2000-01-12,1.5969
2000-01-13,1.6058
2000-01-14,1.6117
2000-01-17,1.6135
2000-01-18,1.6158
2000-01-19,1.6233
2000-01-20,1.6261
2000-01-21,1.6332
2000-01-24,1.6411
2000-01-25,1.6435
2000-01-26,1.6372
