date,value
1997-04-30,5201
1997-05-31,5316
1997-06-30,4967
1997-07-31,7802
1997-08-31,5150
1997-09-30,5596
1997-10-31,5675
1997-11-30,5905
1997-12-31,5824
1998-01-31,11850
1998-02-28,10574
1998-03-31,7448
1998-04-30,6202
1998-05-31,5659
1998-06-30,5775
1998-07-31,9154
1998-08-31,7145
1998-09-30,5829
1998-10-31,6499
1998-11-30,5887
1998-12-31,7153
1999-01-31,11834
1999-02-28,11689
1999-03-31,8133
1999-04-30,6995
1999-05-31,6122
1999-06-30,6264
1999-07-31,9590
1999-08-31,7937
1999-09-30,7364
1999-10-31,5858
1999-11-30,6266
1999-12-31,8104
2000-01-31,14569
2000-02-29,10660
2000-03-31,9089
2000-04-30,7147
2000-05-31,6875
2000-06-30,7379
2000-07-31,10611
2000-08-31,8937
2000-09-30,7197
2000-10-31,7298
2000-11-30,7238
2000-12-31,8459
2001-01-31,16801
2001-02-28,12818
2001-03-31,9564
2001-04-30,7959
2001-05-31,7243
2001-06-30,7418
2001-07-31,11087
2001-08-31,8711
2001-09-30,7445
2001-10-31,7546
2001-11-30,7088
2001-12-31,8485
2002-01-31,16406
2002-02-28,12103
2002-03-31,10197
2002-04-30,7476
2002-05-31,7282
2002-06-30,7673
2002-07-31,11282
2002-08-31,8884
2002-09-30,7744
2002-10-31,7798
2002-11-30,7271
2002-12-31,8324
2003-01-31,15739
2003-02-28,12542
2003-03-31,10358
2003-04-30,8171
2003-05-31,7600
2003-06-30,8188
2003-07-31,11799
2003-08-31,9324
2003-09-30,8055
2003-10-31,7935
2003-11-30,7785
2003-12-31,9013
2004-01-31,15476
2004-02-29,14379
2004-03-31,11421
2004-04-30,8195
2004-05-31,8631
2004-06-30,8146
2004-07-31,12358
2004-08-31,10216
2004-09-30,8843
2004-10-31,8726
2004-11-30,8845
2004-12-31,9796
2005-01-31,19103
2005-02-28,14372
2005-03-31,11483
2005-04-30,9530
2005-05-31,9125
2005-06-30,9138
2005-07-31,13352
2005-08-31,11139
2005-09-30,9381
2005-10-31,9615
2005-11-30,9182
2005-12-31,10447
2006-01-31,20419
2006-02-28,15266
2006-03-31,12522
2006-04-30,10256
2006-05-31,9390
2006-06-30,10091
2006-07-31,14933
2006-08-31,11538
2006-09-30,10159
2006-10-31,10015
2006-11-30,9426
2006-12-31,11593
2007-01-31,22675
2007-02-28,17981
2007-03-31,12268
2007-04-30,10439
2007-05-31,10474
2007-06-30,10652
2007-07-31,15963
2007-08-31,12040
2007-09-30,10857
2007-10-31,10921
2007-11-30,10688
2007-12-31,12129
2008-01-31,25652
2008-02-29,18362
2008-03-31,14183
2008-04-30,10590
2008-05-31,10170
2008-06-30,10755
2008-07-31,16701
2008-08-31,12403
2008-09-30,10917
2008-10-31,10712
2008-11-30,9887
2008-12-31,11299
2009-01-31,24448
2009-02-28,17950
2009-03-31,12859
2009-04-30,10586
2009-05-31,8990
2009-06-30,10584
2009-07-31,15212
2009-08-31,11365
2009-09-30,10209
2009-10-31,9969
2009-11-30,9782
2009-12-31,10599
2010-01-31,20294
2010-02-28,17281
2010-03-31,14769
2010-04-30,9985
2010-05-31,10080
2010-06-30,10922
2010-07-31,16034
2010-08-31,11965
2010-09-30,10452
2010-10-31,10500
2010-11-30,9838
2010-12-31,11387
2011-01-31,25012
2011-02-28,16859
2011-03-31,13817
2011-04-30,9958
2011-05-31,10804
2011-06-30,11293
2011-07-31,16546
2011-08-31,12037
2011-09-30,10054
2011-10-31,10077
2011-11-30,10894
2011-12-31,11719
2012-01-31,25300
2012-02-29,14795
2012-03-31,13566
2012-04-30,10682
2012-05-31,9778
2012-06-30,11021
2012-07-31,16563
2012-08-31,11398
2012-09-30,10353
2012-10-31,10368
2012-11-30,9510
2012-12-31,11944
2013-01-31,26458
2013-02-28,14781
2013-03-31,13366
2013-04-30,12124
2013-05-31,10627
2013-06-30,11277
2013-07-31,16820
2013-08-31,11229
2013-09-30,10716
2013-10-31,10623
2013-11-30,10495
2013-12-31,12181
2014-01-31,25163
2014-02-28,15462
2014-03-31,14813
2014-04-30,11470
2014-05-31,10222
2014-06-30,11248
2014-07-31,17586
2014-08-31,12341
2014-09-30,10964
2014-10-31,11121
2014-11-30,11140
2014-12-31,12626
2015-01-31,28458
2015-02-28,16558
2015-03-31,15447
2015-04-30,11777
2015-05-31,11385
2015-06-30,11525
2015-07-31,18538
2015-08-31,12165
2015-09-30,11250
2015-10-31,11635
2015-11-30,11528
2015-12-31,12529
2016-01-31,30310
2016-02-29,17254
2016-03-31,16038
2016-04-30,11861
2016-05-31,11331
2016-06-30,11776
2016-07-31,19202
2016-08-31,13130
2016-09-30,11381
2016-10-31,11840
2016-11-30,11402
