date,value
1995-01-31,65.1
1995-02-28,65.7
1995-03-31,65.2
1995-04-30,65.6
1995-05-31,65.4
1995-06-30,65.4
1995-07-31,66
1995-08-31,66.3
1995-09-30,66.4
1995-10-31,66.3
1995-11-30,66.4
1995-12-31,66.6
1996-01-31,66.9
1996-02-29,67.2
1996-03-31,68
1996-04-30,68
1996-05-31,68.2
1996-06-30,68.4
1996-07-31,68.4
1996-08-31,68.6
1996-09-30,68.8
1996-10-31,68.9
1996-11-30,68.9
1996-12-31,69.2
1997-01-31,65.3
1997-02-28,65.7
1997-03-31,66.1
1997-04-30,66.6
1997-05-31,66.3
1997-06-30,66.9
1997-07-31,66.7
1997-08-31,67
1997-09-30,67.4
1997-10-31,67.7
1997-11-30,67.9
1997-12-31,68.1
1998-01-31,68.2
1998-02-28,68.5
1998-03-31,68.4
1998-04-30,69.2
1998-05-31,69.1
1998-06-30,69.3
1998-07-31,69.9
1998-08-31,69.9
1998-09-30,70.1
1998-10-31,70.5
1998-11-30,70.9
1998-12-31,71.3
1999-01-31,71.3
1999-02-28,71.5
1999-03-31,71.4
1999-04-30,71.3
1999-05-31,71.8
1999-06-30,71.8
1999-07-31,72.8
1999-08-31,72.8
1999-09-30,73
1999-10-31,74.1
1999-11-30,74.3
1999-12-31,74.5
2000-01-31,75.1
2000-02-29,75.3
2000-03-31,75.2
2000-04-30,75.8
2000-05-31,75.9
2000-06-30,76.1
2000-07-31,75.9
2000-08-31,76.5
2000-09-30,76.1
2000-10-31,75.9
2000-11-30,76
2000-12-31,76.5
2001-01-31,77.1
2001-02-28,77.7
2001-03-31,78.3
2001-04-30,78.2
2001-05-31,78.3
2001-06-30,78.6
2001-07-31,79
2001-08-31,79
2001-09-30,79.2
2001-10-31,79.6
2001-11-30,79.5
2001-12-31,79.3
2002-01-31,79.6
2002-02-28,79.6
2002-03-31,79.6
2002-04-30,80.7
2002-05-31,81
2002-06-30,79.4
2002-07-31,80.9
2002-08-31,81.1
2002-09-30,81.2
2002-10-31,81.6
2002-11-30,81.8
2002-12-31,81.8
2003-01-31,82.8
2003-02-28,83.2
2003-03-31,83
2003-04-30,83.9
2003-05-31,83.9
2003-06-30,84.3
2003-07-31,84.4
2003-08-31,84.6
2003-09-30,85.1
2003-10-31,85.3
2003-11-30,85.1
2003-12-31,85.8
2004-01-31,85.4
2004-02-29,85.8
2004-03-31,85.9
2004-04-30,86
2004-05-31,86.2
2004-06-30,86.5
2004-07-31,86.6
2004-08-31,86.5
2004-09-30,86.7
2004-10-31,86.8
2004-11-30,87.1
2004-12-31,87
2005-01-31,88
2005-02-28,87.7
2005-03-31,87.7
2005-04-30,89.1
2005-05-31,88.9
2005-06-30,89.5
2005-07-31,90.8
2005-08-31,91
2005-09-30,91.5
2005-10-31,92.2
2005-11-30,93
2005-12-31,93.4
2006-01-31,92.7
2006-02-28,92.6
2006-03-31,92.9
2006-04-30,92.5
2006-05-31,92.9
2006-06-30,93.1
2006-07-31,92.6
2006-08-31,93
2006-09-30,93.2
2006-10-31,93
2006-11-30,93.2
2006-12-31,93.9
2007-01-31,94
2007-02-28,94.5
2007-03-31,95
2007-04-30,95.2
2007-05-31,95.2
2007-06-30,95.6
2007-07-31,96.1
2007-08-31,96.3
2007-09-30,96.7
2007-10-31,96.6
2007-11-30,97.2
2007-12-31,97.3
2008-01-31,97.1
2008-02-29,97.9
2008-03-31,97.2
2008-04-30,97.5
2008-05-31,96.7
2008-06-30,96.5
2008-07-31,96
2008-08-31,95.7
2008-09-30,94.8
2008-10-31,94.3
