date,value
1987-10-22,6.31
1987-10-23,6.27
1987-10-26,6.27
1987-10-27,5.96
1987-10-28,5.96
1987-10-29,5.96
1987-10-30,5.96
1987-11-02,5.78
1987-11-03,5.78
1987-11-04,5.78
1987-11-05,5.78
1987-11-06,5.78
1987-11-09,5.78
1987-11-10,5.79
1987-11-12,5.79
1987-11-13,5.79
1987-11-16,5.79
1987-11-17,5.79
1987-11-18,5.37
1987-11-19,5.37
1987-11-20,5.37
1987-11-23,5.37
1987-11-24,5.37
1987-11-25,5.37
1987-11-27,5.17
1987-11-30,5.17
1987-12-01,5.17
1987-12-02,5.17
1987-12-03,5.22
1987-12-04,5.22
1987-12-07,5.22
1987-12-08,5.34
1987-12-09,5.34
1987-12-10,5.34
1987-12-11,5.34
1987-12-14,5.34
1987-12-15,5.5
1987-12-16,5.38
1987-12-17,5.38
1987-12-18,5.38
1987-12-21,5.16
1987-12-22,5.16
1987-12-23,5.16
1987-12-24,5.16
1987-12-28,5.16
1987-12-29,5.16
1987-12-30,5.16
1987-12-31,5.16
1988-01-04,5.16
1988-01-05,5.11
1988-01-06,5.16
1988-01-07,5.16
1988-01-08,5.24
1988-01-11,5.24
1988-01-12,5.24
1988-01-13,5.17
1988-01-14,5.17
1988-01-15,5.07
1988-01-19,5.07
1988-01-20,5.07
1988-01-21,5.07
1988-01-22,5.07
1988-01-25,5.07
1988-01-26,5.01
1988-01-27,5.03
1988-01-28,5.03
1988-01-29,4.93
1988-02-01,4.93
1988-02-02,4.93
1988-02-03,4.84
1988-02-04,4.84
1988-02-05,4.84
1988-02-08,4.84
1988-02-09,4.92
1988-02-10,4.92
1988-02-11,4.92
1988-02-12,4.92
1988-02-16,4.92
1988-02-17,4.92
1988-02-18,4.92
1988-02-19,4.92
1988-02-22,4.92
1988-02-23,4.93
1988-02-24,4.93
1988-02-25,4.97
1988-02-26,4.97
1988-02-29,4.93
1988-03-01,4.96
1988-03-02,4.98
1988-03-03,4.97
1988-03-04,4.97
1988-03-07,4.97
1988-03-08,5.01
1988-03-09,5
1988-03-10,5
1988-03-11,5
1988-03-14,4.98
1988-03-15,4.98
1988-03-16,5
1988-03-17,5.01
1988-03-18,5.01
1988-03-21,5.01
1988-03-22,5.01
1988-03-23,5
1988-03-24,5
1988-03-25,4.99
1988-03-28,4.97
1988-03-29,4.92
1988-03-30,4.89
1988-03-31,5.11
1988-04-01,5.01
1988-04-04,4.69
1988-04-05,4.7
1988-04-06,4.75
1988-04-07,4.74
1988-04-08,4.74
1988-04-11,4.72
1988-04-12,4.71
1988-04-13,4.73
1988-04-14,4.72
1988-04-15,4.72
1988-04-18,4.76
1988-04-19,4.8
1988-04-20,4.78
1988-04-21,4.75
1988-04-22,4.75
1988-04-25,4.74
1988-04-26,4.74
1988-04-27,4.75
1988-04-28,4.75
1988-04-29,4.75
1988-05-02,4.81
1988-05-03,4.81
1988-05-04,4.81
1988-05-05,4.81
1988-05-06,4.84
1988-05-09,4.88
1988-05-10,4.9
1988-05-11,5.05
1988-05-12,4.96
1988-05-13,4.98
1988-05-16,4.98
1988-05-17,5
1988-05-18,5.04
1988-05-19,5.04
1988-05-20,5.03
1988-05-23,5.1
1988-05-24,5.07
1988-05-25,5.01
1988-05-26,5
1988-05-27,5.07
1988-05-31,5.03
1988-06-01,5.01
1988-06-02,4.96
1988-06-03,4.94
1988-06-06,4.89
1988-06-07,4.95
1988-06-08,4.97
1988-06-09,4.99
1988-06-10,5.01
1988-06-13,5.02
1988-06-14,5.02
1988-06-15,5.05
1988-06-16,5.07
1988-06-17,5.07
1988-06-20,5.09
1988-06-21,5.09
1988-06-22,5.18
1988-06-23,5.23
1988-06-24,5.22
1988-06-27,5.37
1988-06-28,5.34
1988-06-29,5.36
1988-06-30,5.24
1988-07-05,5.63
1988-07-06,5.54
1988-07-07,5.52
1988-07-08,5.48
1988-07-11,5.46
1988-07-12,5.57
1988-07-13,5.57
1988-07-14,5.55
1988-07-15,5.51
1988-07-18,5.51
1988-07-19,5.55
1988-07-20,5.45
1988-07-21,5.35
1988-07-22,5.39
1988-07-25,5.32
1988-07-26,5.32
1988-07-27,5.34
1988-07-28,5.33
1988-07-29,5.23
1988-08-01,5.27
1988-08-02,5.31
1988-08-03,5.37
1988-08-04,5.35
1988-08-05,5.36
1988-08-08,5.36
1988-08-09,5.4
1988-08-10,5.74
1988-08-11,5.74
1988-08-12,5.67
1988-08-15,5.67
1988-08-16,5.67
1988-08-17,5.52
1988-08-18,5.52
1988-08-19,5.51
1988-08-22,5.6
1988-08-23,5.67
1988-08-24,5.68
1988-08-25,5.68
1988-08-26,5.74
1988-08-29,5.78
1988-08-30,5.78
1988-08-31,5.8
1988-09-01,5.91
1988-09-02,5.8
1988-09-06,5.8
1988-09-07,5.71
1988-09-08,5.72
1988-09-09,5.73
1988-09-12,5.73
1988-09-13,5.69
1988-09-14,5.65
1988-09-15,5.65
1988-09-16,5.55
1988-09-19,5.51
1988-09-20,5.58
1988-09-21,5.47
1988-09-22,5.45
1988-09-23,5.45
