date,value
1982-06-30,43.6
1982-09-30,41.9
1982-12-31,41.9
1983-03-31,43.3
1983-06-30,44.9
1983-09-30,45.4
1983-12-31,46.6
1984-03-31,47
1984-06-30,47.1
1984-09-30,47.6
1984-12-31,48.2
1985-03-31,48.5
1985-06-30,47.8
1985-09-30,48.1
1985-12-31,47.6
1986-03-31,46.8
1986-06-30,45.6
1986-09-30,43.7
1986-12-31,42.3
1987-03-31,41
1987-06-30,44.3
1987-09-30,46.9
1987-12-31,48.4
1988-03-31,49.9
1988-06-30,49.8
1988-09-30,49.9
1988-12-31,50.8
1989-03-31,48.7
1989-06-30,47.6
1989-09-30,49.2
1989-12-31,50.7
1990-03-31,50
1990-06-30,49.9
1990-09-30,48.6
1990-12-31,49
1991-03-31,49.9
1991-06-30,48.7
1991-09-30,48.1
1991-12-31,46.1
1992-03-31,45.2
1992-06-30,43.8
1992-09-30,41.4
1992-12-31,40.1
1993-03-31,39
1993-06-30,42.3
1993-09-30,39.5
1993-12-31,36.4
1994-03-31,41
1994-06-30,42.8
1994-09-30,45.3
1994-12-31,46.9
1995-03-31,44.8
1995-06-30,41.9
1995-09-30,41.6
1995-12-31,44
1996-03-31,45.1
1996-06-30,46.1
1996-09-30,45.2
1996-12-31,43.9
1997-03-31,38.4
1997-06-30,41.9
1997-09-30,42.4
1997-12-31,36.8
1998-03-31,37.3
1998-06-30,35.5
1998-09-30,34.5
1998-12-31,36.6
1999-03-31,39
1999-06-30,38.7
1999-09-30,40.1
1999-12-31,41.3
2000-03-31,42.1
2000-06-30,42.9
2000-09-30,43.6
2000-12-31,43.2
2001-03-31,38.8
2001-06-30,39.1
2001-09-30,34.1
2001-12-31,34.1
2002-03-31,36.3
2002-06-30,38.1
2002-09-30,37.2
2002-12-31,36.4
2003-03-31,34.9
2003-06-30,36
2003-09-30,39.6
2003-12-31,40.3
2004-03-31,42.8
2004-04-30,45.1
2004-05-31,47.3
2004-06-30,44.3
2004-07-31,48.7
2004-08-31,49.1
2004-09-30,46.2
2004-10-31,48.3
2004-11-30,48.3
2004-12-31,45
2005-01-31,47.7
2005-02-28,47.7
2005-03-31,44.7
2005-04-30,47.1
2005-05-31,47.3
2005-06-30,46.1
2005-07-31,48.2
2005-08-31,48.4
2005-09-30,45.6
2005-10-31,48.1
2005-11-30,48.6
2005-12-31,47.4
2006-01-31,50
2006-02-28,50.1
2006-03-31,47.7
2006-04-30,49.5
2006-05-31,48.9
2006-06-30,46.6
2006-07-31,48.4
2006-08-31,47.5
2006-09-30,46
2006-10-31,48.3
2006-11-30,49.1
2006-12-31,47
2007-01-31,49
2007-02-28,49
2007-03-31,46.7
2007-04-30,47
2007-05-31,46.3
2007-06-30,44.3
2007-07-31,44.1
2007-08-31,43.9
2007-09-30,43.5
2007-10-31,42.7
2007-11-30,40.3
2007-12-31,39.2
2008-01-31,38.5
2008-02-29,37.5
2008-03-31,36.9
2008-04-30,34.8
2008-05-31,33
2008-06-30,31.8
2008-07-31,30.7
2008-08-31,29.6
2008-09-30,30.7
2008-10-31,29.2
2008-11-30,28.8
2008-12-31,27.6
2009-01-31,27.5
2009-02-28,27.7
2009-03-31,29.4
2009-04-30,32.1
2009-05-31,34.9
2009-06-30,36.5
2009-07-31,38.6
2009-08-31,39.4
2009-09-30,39.8
2009-10-31,40.2
2009-11-30,40.2
2009-12-31,38.9
2010-01-31,40.1
2010-02-28,40.7
2010-03-31,41.4
2010-04-30,41.9
2010-05-31,42
2010-06-30,42.3
2010-07-31,42.3
2010-08-31,41.7
2010-09-30,40.7
2010-10-31,40.8
2010-11-30,41.3
2010-12-31,41.5
2011-01-31,41.7
2011-02-28,41.2
2011-03-31,38.5
2011-04-30,33.2
2011-05-31,34.2
2011-06-30,35.2
2011-07-31,36.8
2011-08-31,36.9
2011-09-30,38.2
2011-10-31,38.7
2011-11-30,38.6
2011-12-31,39.2
2012-01-31,39.9
2012-02-29,39.8
2012-03-31,40
2012-04-30,39.8
2012-05-31,40.2
2012-06-30,40
2012-07-31,39.8
2012-08-31,40.3
2012-09-30,40.2
2012-10-31,40
2012-11-30,40.1
2012-12-31,39.9
2013-01-31,43.2
2013-02-28,44.2
2013-03-31,44.8
2013-04-30,44.5
2013-05-31,45.2
2013-06-30,43.8
2013-07-31,43.3
2013-08-31,42.6
2013-09-30,45.4
2013-10-31,41.6
2013-11-30,42.9
2013-12-31,41.7
2014-01-31,40.5
2014-02-28,38.8
2014-03-31,37.6
2014-04-30,37
2014-05-31,39
2014-06-30,40.4
2014-07-31,41.3
2014-08-31,40.6
2014-09-30,40
2014-10-31,39.2
2014-11-30,38.2
2014-12-31,39.2
2015-01-31,39.3
2015-02-28,40.9
2015-03-31,41.7
2015-04-30,41.5
2015-05-31,41.3
2015-06-30,41.6
2015-07-31,40.7
2015-08-31,41.5
2015-09-30,40.8
2015-10-31,41.6
2015-11-30,42.4
2015-12-31,42.6
2016-01-31,42.3
2016-02-29,40.1
2016-03-31,41.7
2016-04-30,40.8
2016-05-31,40.9
2016-06-30,41.8
2016-07-31,41.3
2016-08-31,42
2016-09-30,43
2016-10-31,42.3
2016-11-30,40.9
2016-12-31,43.1
