date,value
1996-01-31,34.2
1996-02-29,860.9
1996-03-31,1315.4
1996-04-30,617.6
1996-05-31,408
1996-06-30,636.1
1996-07-31,545
1996-08-31,477.8
1996-09-30,704.9
1996-10-31,375.8
1996-11-30,714.6
1996-12-31,804.1
1997-01-31,130.7
1997-02-28,895
1997-03-31,1061.3
1997-04-30,1084.7
1997-05-31,889.4
1997-06-30,980.1
1997-07-31,882.2
1997-08-31,807.4
1997-09-30,1143.7
1997-10-31,1083
1997-11-30,1305.5
1997-12-31,1307
1998-01-31,466.1
1998-02-28,1665.7
1998-03-31,1548.4
1998-04-30,1119.3
1998-05-31,1344.5
1998-06-30,1263.2
1998-07-31,1294
1998-08-31,1143.8
1998-09-30,1604
1998-10-31,1073
1998-11-30,1064.6
1998-12-31,1411.5
1999-01-31,729.3
1999-02-28,1065.9
1999-03-31,1236.4
1999-04-30,908.5
1999-05-31,1055.5
1999-06-30,1380.4
1999-07-31,1336.6
1999-08-31,806.2
1999-09-30,1327.2
1999-10-31,1073
1999-11-30,913.7
1999-12-31,1140.7
2000-01-31,711.5
2000-02-29,1557.8
2000-03-31,1393.9
2000-04-30,1385.4
2000-05-31,1025.7
2000-06-30,1419
2000-07-31,1266.7
2000-08-31,1182.8
2000-09-30,1428
2000-10-31,807.7
2000-11-30,1016.4
2000-12-31,866.4
2001-01-31,272.2
2001-02-28,1411.4
2001-03-31,1498.4
2001-04-30,881.3
2001-05-31,493.2
2001-06-30,785.3
2001-07-31,715
2001-08-31,721.5
2001-09-30,1175.1
2001-10-31,678
2001-11-30,991.9
2001-12-31,829.1
2002-01-31,624.5
2002-02-28,1372.1
2002-03-31,2132.8
2002-04-30,1015.7
2002-05-31,971.4
2002-06-30,1382.7
2002-07-31,1095.1
2002-08-31,1027.7
2002-09-30,1159.3
2002-10-31,912.5
2002-11-30,1123.4
2002-12-31,866.4
2003-01-31,466.6
2003-02-28,1492.6
2003-03-31,1631.4
2003-04-30,1305.2
2003-05-31,1399.3
2003-06-30,1107.8
2003-07-31,1504.9
2003-08-31,1449.2
2003-09-30,1654.9
2003-10-31,1305.6
2003-11-30,1551.8
2003-12-31,1256.2
2004-01-31,1153.5
2004-02-29,2225.2
2004-03-31,1916.9
2004-04-30,1653.2
2004-05-31,1817.6
2004-06-30,1374.7
2004-07-31,1729.8
2004-08-31,1535.6
2004-09-30,1836.2
2004-10-31,1430.5
2004-11-30,1323.3
2004-12-31,1697.4
2005-01-31,829.4
2005-02-28,2153.3
2005-03-31,1853.1
2005-04-30,1663.1
2005-05-31,1450.9
2005-06-30,1137
2005-07-31,1732
2005-08-31,1250.3
2005-09-30,1865.1
2005-10-31,1452.3
2005-11-30,1458
2005-12-31,1883.2
2006-01-31,785.5
2006-02-28,2319.5
2006-03-31,2415.9
2006-04-30,1379.6
2006-05-31,1689.5
2006-06-30,1080.9
2006-07-31,1832.7
2006-08-31,1523.4
2006-09-30,2100.4
2006-10-31,1579
2006-11-30,1793.5
2006-12-31,1830.9
2007-01-31,1215.9
2007-02-28,2500.3
2007-03-31,3360.4
2007-04-30,1960.1
2007-05-31,2124.2
2007-06-30,1538.4
2007-07-31,1872.9
2007-08-31,2104.6
2007-09-30,2881.4
2007-10-31,2163
2007-11-30,1667.8
2007-12-31,1560
2008-01-31,1113.2
2008-02-29,2479.4
2008-03-31,2872.5
2008-04-30,1215.9
2008-05-31,1810.4
2008-06-30,282.8
2008-07-31,1377.3
2008-08-31,870.1
2008-09-30,1447.9
2008-10-31,862.5
2008-11-30,504.6
2008-12-31,41.8
2009-01-31,-221.9
2009-02-28,1044.3
2009-03-31,1452.7
2009-04-30,643.3
2009-05-31,1288
2009-06-30,1287.6
2009-07-31,1342.5
2009-08-31,1200.9
2009-09-30,1717.6
2009-10-31,1535.3
2009-11-30,1236.3
2009-12-31,1066
2010-01-31,1020
2010-02-28,1722.7
2010-03-31,2695
2010-04-30,1586.3
2010-05-31,1489.2
2010-06-30,1300.5
2010-07-31,1932.3
2010-08-31,1355.9
2010-09-30,2167.2
2010-10-31,1655.2
2010-11-30,1105.7
2010-12-31,1352.9
2011-01-31,659.8
2011-02-28,1811.2
2011-03-31,1852.5
2011-04-30,500.4
2011-05-31,648.4
2011-06-30,655.1
2011-07-31,1171.4
2011-08-31,552.6
2011-09-30,1614.5
2011-10-31,537.3
2011-11-30,129.6
2011-12-31,268.5
2012-01-31,-437.8
2012-02-29,1217.5
2012-03-31,1327.8
2012-04-30,377.2
2012-05-31,347.1
2012-06-30,407.9
2012-07-31,643.4
2012-08-31,408.5
2012-09-30,515.9
2012-10-31,402.8
2012-11-30,-198.5
2012-12-31,-247.8
2013-01-31,-347.1
2013-02-28,652.4
2013-03-31,1287.7
2013-04-30,925
2013-05-31,708.3
2013-06-30,500.9
2013-07-31,726
2013-08-31,282.4
2013-09-30,738.9
2013-10-31,-16.2
2013-11-30,-459.5
2013-12-31,-542.2
2014-01-31,-1456.1
2014-02-28,740.9
2014-03-31,244.6
2014-04-30,365.6
2014-05-31,703.7
2014-06-30,-183.4
2014-07-31,558.2
2014-08-31,413.2
2014-09-30,988.8
2014-10-31,838.9
2014-11-30,427.2
2014-12-31,238.8
2015-01-31,99.2
2015-02-28,1487.3
2015-03-31,2787
2015-04-30,1325.9
2015-05-31,1853.6
2015-06-30,541
2015-07-31,1793.8
2015-08-31,1624.9
2015-09-30,1452.1
2015-10-31,1401.8
2015-11-30,1105.9
2015-12-31,940.1
2016-01-31,590.1
2016-02-29,2387.4
2016-03-31,2986.2
2016-04-30,1831.3
2016-05-31,1782.7
2016-06-30,981.5
2016-07-31,1962
2016-08-31,2003
2016-09-30,1878
2016-10-31,1719.9
2016-11-30,1415.5
