date,value
1995-03-01,3.8
1995-06-01,5.4
1995-09-01,4.1
1995-12-01,3.4
1996-03-01,4.6
1996-06-01,2.9
1996-09-01,5.4
1996-12-01,10.3
1997-03-01,10.8
1997-06-01,15.4
1997-09-01,10.6
1997-12-01,7.9
1998-03-01,1.8
1998-06-01,-3.8
1998-09-01,-2.1
1998-12-01,-6.4
1999-03-01,-3.4
1999-06-01,-0.5
1999-09-01,3.6
1999-12-01,7.3
2000-03-01,13.1
2000-06-01,15.6
2000-09-01,12.6
2000-12-01,9.4
2001-03-01,0.4
2001-06-01,-6.1
2001-09-01,-10.2
2001-12-01,-11.3
2002-03-01,-3
2002-06-01,7.6
2002-09-01,10.5
2002-12-01,17
2003-03-01,12.7
2003-06-01,6
2003-09-01,8.7
2003-12-01,10.7
2004-03-01,14.6
2004-06-01,17.7
2004-09-01,14
2004-12-01,10.1
2005-03-01,3.7
2005-06-01,4.2
2005-09-01,7.1
2005-12-01,9.6
2006-03-01,13.1
2006-06-01,10.4
2006-09-01,9.7
2006-12-01,7.1
2007-03-01,7.9
2007-06-01,8.1
2007-09-01,8.5
2007-12-01,10.2
2008-03-01,10.7
2008-06-01,5.8
2008-09-01,4.1
2008-12-01,-13.5
2009-03-01,-36.9
2009-06-01,-29.7
2009-09-01,-23.1
2009-12-01,-4.9
2010-03-01,35.9
2010-06-01,31.3
2010-09-01,22
2010-12-01,13.8
2011-03-01,6.3
2011-06-01,-5.5
2011-09-01,0.8
2011-12-01,-2.6
2012-03-01,0.9
2012-06-01,9.2
2012-09-01,-4.8
2012-12-01,-5.4
2013-03-01,-3.7
2013-06-01,-0.6
2013-09-01,2.7
2013-12-01,6.8
2014-03-01,9
2014-06-01,5.5
2014-09-01,7.5
2014-12-01,11.2
2015-03-01,7.3
2015-06-01,2
2015-09-01,3.2
2015-12-01,-0.9
2016-03-01,-2.5
2016-06-01,-0.2
2016-09-01,-0.4
