date,value
1960-12-31,12100.5
1961-12-31,13348.3
1962-12-31,14311.2
1963-12-31,15436.7
1964-12-31,16942.2
1965-12-31,17619.4
1966-12-31,19034.8
1967-12-31,20744.9
1968-12-31,22834.8
1969-12-31,25371.5
1970-12-31,27683.7
1971-12-31,28696.3
1972-12-31,30949.8
1973-12-31,32697.1
1974-12-31,32432.9
1975-12-31,33518
1976-12-31,34567.5
1977-12-31,35657.4
1978-12-31,37174.7
1979-12-31,38814.2
1980-12-31,39636.3
1981-12-31,40979.6
1982-12-31,42020
1983-12-31,42660.4
1984-12-31,44413.4
1985-12-31,46971.7
1986-12-31,48055.8
1987-12-31,49832.3
1988-12-31,52780.8
1989-12-31,54807.6
1990-12-31,56911.9
1991-12-31,57631.9
1992-12-31,57455.5
1993-12-31,57336.8
1994-12-31,57766.9
1995-12-31,58701.3
1996-12-31,60188.4
1997-12-31,60725.9
1998-12-31,60219.1
1999-12-31,60937.5
2000-12-31,62702.7
2001-12-31,63405.6
2002-12-31,64356.7
2003-12-31,65421.8
2004-12-31,66589.4
2005-12-31,66983.4
2006-12-31,67827.1
2007-12-31,69007.3
2008-12-31,68604.6
2009-12-31,65843.5
2010-12-31,69086.6
2011-12-31,68536.7
