date,value
1994-06-30,-0.9
1994-09-30,1.6
1994-12-31,-0.6
1995-03-31,1
1995-06-30,1.2
1995-09-30,1.2
1995-12-31,0.2
1996-03-31,1.2
1996-06-30,0.8
1996-09-30,0
1996-12-31,1.2
1997-03-31,0.5
1997-06-30,-1.1
1997-09-30,0.6
1997-12-31,0.2
1998-03-31,-1.4
1998-06-30,-0.4
1998-09-30,0.2
1998-12-31,1.1
1999-03-31,-1.5
1999-06-30,0.5
1999-09-30,0.4
1999-12-31,0.1
2000-03-31,1.9
2000-06-30,0.2
2000-09-30,0
2000-12-31,1
2001-03-31,0.7
2001-06-30,-0.6
2001-09-30,-1.1
2001-12-31,-0.2
2002-03-31,0.1
2002-06-30,0.8
2002-09-30,0.4
2002-12-31,0.4
2003-03-31,-0.3
2003-06-30,0.9
2003-09-30,0.4
2003-12-31,1.1
2004-03-31,0.9
2004-06-30,-0.1
2004-09-30,0.5
2004-12-31,-0.4
2005-03-31,0.5
2005-06-30,0.9
2005-09-30,1
2005-12-31,0.2
2006-03-31,0
2006-06-30,0.4
2006-09-30,-0.2
2006-12-31,1.1
2007-03-31,0.9
2007-06-30,-0.1
2007-09-30,-0.3
2007-12-31,0.5
2008-03-31,0.4
2008-06-30,-0.7
2008-09-30,-1.2
2008-12-31,-2.1
2009-03-31,-4.8
2009-06-30,2
2009-09-30,-0.1
2009-12-31,1.5
2010-03-31,1.1
2010-06-30,1
2010-09-30,1.9
2010-12-31,-0.7
2011-03-31,-1.5
2011-06-30,-0.5
2011-09-30,2.3
2011-12-31,-0.1
2012-03-31,1.1
2012-06-30,-0.4
2012-09-30,-0.4
2012-12-31,0.1
2013-03-31,1.2
2013-06-30,1.1
2013-09-30,0.6
2013-12-31,-0.2
2014-03-31,1.2
2014-06-30,-1.8
2014-09-30,-0.2
2014-12-31,0.5
2015-03-31,1.5
2015-06-30,-0.1
2015-09-30,0.2
2015-12-31,-0.4
2016-03-31,0.7
2016-06-30,0.5
2016-09-30,0.3
