date,value
1963-01-31,0.56
1963-02-28,0.6
1963-03-31,0.64
1963-04-30,0.68
1963-05-31,0.71
1963-06-30,0.8
1963-07-31,0.77
1963-08-31,0.72
1963-09-30,0.71
1963-10-31,0.71
1963-11-30,0.72
1963-12-31,0.73
1964-01-31,0.75
1964-02-29,0.76
1964-03-31,0.76
1964-04-30,0.79
1964-05-31,0.81
1964-06-30,0.83
1964-07-31,0.83
1964-08-31,0.82
1964-09-30,0.83
1964-10-31,0.81
1964-11-30,0.79
1964-12-31,0.78
1965-01-31,0.74
1965-02-28,0.71
1965-03-31,0.71
1965-04-30,0.7
1965-05-31,0.66
1965-06-30,0.63
1965-07-31,0.6
1965-08-31,0.58
1965-09-30,0.57
1965-10-31,0.57
1965-11-30,0.56
1965-12-31,0.55
1966-01-31,0.58
1966-02-28,0.62
1966-03-31,0.67
1966-04-30,0.7
1966-05-31,0.71
1966-06-30,0.73
1966-07-31,0.72
1966-08-31,0.78
1966-09-30,0.82
1966-10-31,0.85
1966-11-30,0.85
1966-12-31,0.85
1967-01-31,0.87
1967-02-28,0.9
1967-03-31,0.91
1967-04-30,0.94
1967-05-31,0.97
1967-06-30,1
1967-07-31,1.02
1967-08-31,1.08
1967-09-30,1.09
1967-10-31,1.09
1967-11-30,1.11
1967-12-31,1.1
1968-01-31,1.11
1968-02-29,1.09
1968-03-31,1.08
1968-04-30,1.07
1968-05-31,1.09
1968-06-30,1.1
1968-07-31,1.11
1968-08-31,1.12
1968-09-30,1.14
1968-10-31,1.14
1968-11-30,1.17
1968-12-31,1.17
1969-01-31,1.19
1969-02-28,1.2
1969-03-31,1.21
1969-04-30,1.24
1969-05-31,1.25
1969-06-30,1.29
1969-07-31,1.3
1969-08-31,1.33
1969-09-30,1.34
1969-10-31,1.39
1969-11-30,1.41
1969-12-31,1.46
1970-01-31,1.49
1970-02-28,1.47
1970-03-31,1.44
1970-04-30,1.43
1970-05-31,1.43
1970-06-30,1.44
1970-07-31,1.41
1970-08-31,1.39
1970-09-30,1.39
1970-10-31,1.36
1970-11-30,1.33
1970-12-31,1.31
1971-01-31,1.29
1971-02-28,1.23
1971-03-31,1.21
1971-04-30,1.18
1971-05-31,1.15
1971-06-30,1.1
1971-07-31,1.09
1971-08-31,1.07
1971-09-30,1.03
1971-10-31,1.02
1971-11-30,1
1971-12-31,0.99
1972-01-31,0.98
1972-02-29,1.02
1972-03-31,1.05
1972-04-30,1.07
1972-05-31,1.08
1972-06-30,1.09
1972-07-31,1.13
1972-08-31,1.19
1972-09-30,1.25
1972-10-31,1.31
1972-11-30,1.36
1972-12-31,1.48
1973-01-31,1.6
1973-02-28,1.65
1973-03-31,1.61
1973-04-30,1.63
1973-05-31,1.74
1973-06-30,1.82
1973-07-31,1.87
1973-08-31,1.86
1973-09-30,1.83
1973-10-31,1.86
1973-11-30,1.93
1973-12-31,1.84
1974-01-31,1.64
1974-02-28,1.53
1974-03-31,1.45
1974-04-30,1.34
1974-05-31,1.35
1974-06-30,1.27
1974-07-31,1.18
1974-08-31,1.09
1974-09-30,1.02
1974-10-31,0.95
1974-11-30,0.88
1974-12-31,0.79
1975-01-31,0.75
1975-02-28,0.71
1975-03-31,0.67
1975-04-30,0.68
1975-05-31,0.63
1975-06-30,0.59
1975-07-31,0.56
1975-08-31,0.55
1975-09-30,0.55
1975-10-31,0.55
1975-11-30,0.55
1975-12-31,0.55
1976-01-31,0.58
1976-02-29,0.61
1976-03-31,0.63
1976-04-30,0.65
1976-05-31,0.64
1976-06-30,0.66
1976-07-31,0.67
1976-08-31,0.67
1976-09-30,0.66
1976-10-31,0.64
1976-11-30,0.64
1976-12-31,0.62
1977-01-31,0.61
1977-02-28,0.6
1977-03-31,0.6
1977-04-30,0.61
1977-05-31,0.56
1977-06-30,0.54
1977-07-31,0.53
1977-08-31,0.53
1977-09-30,0.53
1977-10-31,0.53
1977-11-30,0.52
1977-12-31,0.52
1978-01-31,0.51
1978-02-28,0.53
1978-03-31,0.54
1978-04-30,0.57
1978-05-31,0.54
1978-06-30,0.54
1978-07-31,0.56
1978-08-31,0.57
1978-09-30,0.59
1978-10-31,0.59
1978-11-30,0.6
1978-12-31,0.6
1979-01-31,0.62
1979-02-28,0.63
1979-03-31,0.66
1979-04-30,0.7
1979-05-31,0.69
1979-06-30,0.71
1979-07-31,0.72
1979-08-31,0.73
1979-09-30,0.75
1979-10-31,0.77
1979-11-30,0.78
1979-12-31,0.79
1980-01-31,0.77
1980-02-29,0.76
1980-03-31,0.77
1980-04-30,0.77
1980-05-31,0.76
1980-06-30,0.77
1980-07-31,0.76
1980-08-31,0.74
1980-09-30,0.73
1980-10-31,0.73
1980-11-30,0.71
1980-12-31,0.7
1981-01-31,0.69
1981-02-28,0.68
1981-03-31,0.67
1981-04-30,0.67
1981-05-31,0.67
1981-06-30,0.68
1981-07-31,0.7
1981-08-31,0.69
1981-09-30,0.68
1981-10-31,0.67
1981-11-30,0.66
1981-12-31,0.67
1982-01-31,0.66
1982-02-28,0.65
1982-03-31,0.63
1982-04-30,0.62
1982-05-31,0.6
1982-06-30,0.6
1982-07-31,0.6
1982-08-31,0.6
1982-09-30,0.6
1982-10-31,0.6
1982-11-30,0.59
1982-12-31,0.59
1983-01-31,0.59
1983-02-28,0.59
1983-03-31,0.59
1983-04-30,0.59
1983-05-31,0.59
1983-06-30,0.59
1983-07-31,0.59
1983-08-31,0.6
1983-09-30,0.61
1983-10-31,0.62
1983-11-30,0.62
1983-12-31,0.63
1984-01-31,0.64
1984-02-29,0.64
1984-03-31,0.64
1984-04-30,0.64
1984-05-31,0.64
1984-06-30,0.64
1984-07-31,0.65
1984-08-31,0.65
1984-09-30,0.66
1984-10-31,0.66
1984-11-30,0.66
1984-12-31,0.67
1985-01-31,0.68
1985-02-28,0.69
1985-03-31,0.68
1985-04-30,0.69
1985-05-31,0.69
1985-06-30,0.69
1985-07-31,0.69
1985-08-31,0.68
1985-09-30,0.68
1985-10-31,0.67
1985-11-30,0.67
1985-12-31,0.67
1986-01-31,0.67
1986-02-28,0.66
1986-03-31,0.65
1986-04-30,0.63
1986-05-31,0.62
1986-06-30,0.6
1986-07-31,0.6
1986-08-31,0.61
1986-09-30,0.61
1986-10-31,0.61
1986-11-30,0.61
1986-12-31,0.61
1987-01-31,0.62
1987-02-28,0.63
1987-03-31,0.64
1987-04-30,0.64
1987-05-31,0.65
1987-06-30,0.66
1987-07-31,0.68
1987-08-31,0.71
1987-09-30,0.74
1987-10-31,0.77
1987-11-30,0.81
1987-12-31,0.84
1988-01-31,0.87
1988-02-29,0.9
1988-03-31,0.92
1988-04-30,0.95
1988-05-31,0.98
1988-06-30,1.01
1988-07-31,1.04
1988-08-31,1.06
1988-09-30,1.08
1988-10-31,1.1
1988-11-30,1.12
1988-12-31,1.14
1989-01-31,1.15
1989-02-28,1.17
1989-03-31,1.17
1989-04-30,1.19
1989-05-31,1.25
1989-06-30,1.27
1989-07-31,1.3
1989-08-31,1.29
1989-09-30,1.3
1989-10-31,1.31
1989-11-30,1.33
1989-12-31,1.33
1990-01-31,1.33
1990-02-28,1.36
1990-03-31,1.36
1990-04-30,1.35
1990-05-31,1.39
1990-06-30,1.42
1990-07-31,1.46
1990-08-31,1.44
1990-09-30,1.44
1990-10-31,1.44
1990-11-30,1.45
1990-12-31,1.44
1991-01-31,1.43
1991-02-28,1.44
1991-03-31,1.44
1991-04-30,1.41
1991-05-31,1.44
1991-06-30,1.44
1991-07-31,1.44
1991-08-31,1.4
1991-09-30,1.36
1991-10-31,1.36
1991-11-30,1.34
1991-12-31,1.31
1992-01-31,1.25
1992-02-29,1.22
1992-03-31,1.19
1992-04-30,1.14
1992-05-31,1.13
1992-06-30,1.1
1992-07-31,1.08
1992-08-31,1.05
1992-09-30,1.02
1992-10-31,0.99
1992-11-30,0.96
1992-12-31,0.93
1993-01-31,0.91
1993-02-28,0.88
1993-03-31,0.85
1993-04-30,0.82
1993-05-31,0.8
1993-06-30,0.76
1993-07-31,0.74
1993-08-31,0.72
1993-09-30,0.7
1993-10-31,0.68
1993-11-30,0.67
1993-12-31,0.66
1994-01-31,0.65
1994-02-28,0.64
1994-03-31,0.65
1994-04-30,0.65
1994-05-31,0.63
1994-06-30,0.63
1994-07-31,0.63
1994-08-31,0.64
1994-09-30,0.65
1994-10-31,0.65
1994-11-30,0.64
1994-12-31,0.63
1995-01-31,0.64
1995-02-28,0.65
1995-03-31,0.66
1995-04-30,0.65
1995-05-31,0.63
1995-06-30,0.62
1995-07-31,0.61
1995-08-31,0.62
1995-09-30,0.62
1995-10-31,0.62
1995-11-30,0.62
1995-12-31,0.63
1996-01-31,0.65
1996-02-29,0.66
1996-03-31,0.68
1996-04-30,0.69
1996-05-31,0.69
1996-06-30,0.7
1996-07-31,0.72
1996-08-31,0.72
1996-09-30,0.72
1996-10-31,0.73
1996-11-30,0.74
1996-12-31,0.74
1997-01-31,0.74
1997-02-28,0.74
1997-03-31,0.74
1997-04-30,0.74
1997-05-31,0.74
1997-06-30,0.74
1997-07-31,0.74
