date,value,_value
1986-12-31,28.865,28865
1987-12-31,30.199,30199
1988-12-31,36.745,36745
1989-12-31,42.543,42543
1990-12-31,44.016,44016
1991-12-31,47.498,47498
1992-12-31,64.153,64153
1993-12-31,68.823,68823
1994-12-31,66.813,66813
1995-12-31,84.072,84072
1996-12-31,103.359,103359
1997-12-31,124.587,124587
1998-12-31,133.273,133273
1999-12-31,84.735,84735
2000-12-31,133.047,133047
2001-12-31,179.257,179257
2002-12-31,175.308,175308
2003-12-31,172.818,172818
2004-12-31,185.797,185797
2005-12-31,180.699,180699
2006-12-31,215.081,215081
2007-12-31,250.221,250221
2008-12-31,225.908,225908
2009-12-31,268.246,268246
2010-12-31,255.906,255906
2011-12-31,265.426,265426
2012-12-31,296.315,296315
2013-12-31,325.007,325007
2014-12-31,366.856,366856
2015-12-31,339.263,339263
