date,value,_value
1995-01-31,74.00778,74007.78
1995-02-28,73.99491,73994.91
1995-03-31,74.18039,74180.39
1995-04-30,74.19913000000001,74199.13
1995-05-31,74.65607000000001,74656.07
1995-06-30,74.65205999999999,74652.06
1995-07-31,74.22453,74224.53
1995-08-31,74.31244000000001,74312.44
1995-09-30,73.77188000000001,73771.88
1995-10-31,74.30438000000001,74304.38
1995-11-30,74.48764999999999,74487.65
1995-12-31,75.17919,75179.19
1996-01-31,74.93782,74937.82
1996-02-29,77.32629,77326.29
1996-03-31,76.00008,76000.08
1996-04-30,76.47964999999999,76479.65
1996-05-31,76.47116,76471.16
1996-06-30,77.18219,77182.19
1996-07-31,76.98249,76982.49
1996-08-31,77.77711000000001,77777.11
1996-09-30,78.47457,78474.57
1996-10-31,79.45817,79458.17
1996-11-30,80.51288000000001,80512.88
1996-12-31,81.4193,81419.3
1997-01-31,82.72756,82727.56
1997-02-28,84.82061,84820.61
1997-03-31,84.94918,84949.18
1997-04-30,85.73476,85734.76
1997-05-31,87.78522,87785.22
1997-06-30,88.24411,88244.11
1997-07-31,90.15862,90158.62
1997-08-31,90.65357,90653.57
1997-09-30,92.67772000000001,92677.72
1997-10-31,93.79072000000001,93790.72
1997-11-30,95.12639999999999,95126.4
1997-12-31,96.89485,96894.85
1998-01-31,97.63280999999999,97632.81
1998-02-28,98.15829,98158.29
1998-03-31,99.43606,99436.06
1998-04-30,100.89201,100892.01
1998-05-31,100.24072,100240.72
1998-06-30,101.88143,101881.43
1998-07-31,102.25805,102258.05
1998-08-31,102.31622,102316.22
1998-09-30,102.90603,102906.03
1998-10-31,103.95795,103957.95
1998-11-30,104.15686,104156.86
1998-12-31,104.90454,104904.54
1999-01-31,105.51415,105514.15
1999-02-28,106.50224,106502.24
1999-03-31,108.17309,108173.09
1999-04-30,109.22633,109226.33
1999-05-31,110.29593,110295.93
1999-06-30,112.27569,112275.69
1999-07-31,114.7861,114786.1
1999-08-31,117.19739,117197.39
1999-09-30,120.74604,120746.04
1999-10-31,122.61647,122616.47
1999-11-30,125.39561,125395.61
1999-12-31,128.1017,128101.7
2000-01-31,130.16761,130167.61
2000-02-29,133.83167,133831.67
2000-03-31,135.30367,135303.67
2000-04-30,140.22706,140227.06
2000-05-31,139.68187,139681.87
2000-06-30,142.36060999999998,142360.61
2000-07-31,143.74067000000002,143740.67
2000-08-31,144.66526000000002,144665.26
2000-09-30,145.34473,145344.73
2000-10-31,145.00719,145007.19
2000-11-30,147.04019,147040.19
2000-12-31,147.69628,147696.28
2001-01-31,149.2338,149233.8
2001-02-28,150.84533,150845.33
2001-03-31,152.25657999999999,152256.58
2001-04-30,152.43314,152433.14
2001-05-31,155.84866,155848.66
2001-06-30,157.4822,157482.2
2001-07-31,158.40832,158408.32
2001-08-31,161.64377,161643.77
2001-09-30,162.81292000000002,162812.92
2001-10-31,165.41,165410
2001-11-30,166.43761999999998,166437.62
2001-12-31,167.91860999999997,167918.61
2002-01-31,169.3713,169371.3
2002-02-28,171.5188,171518.8
2002-03-31,174.29941,174299.41
2002-04-30,177.68467,177684.67
2002-05-31,181.32701999999998,181327.02
2002-06-30,184.58869,184588.69
