date,value
1993-04-30,86.854
1993-05-31,87.66
1993-06-30,83.8
1993-07-31,83.532
1993-08-31,82.434
1993-09-30,82.151
1993-10-31,80.059
1993-11-30,82.587
1993-12-31,82.177
1994-01-31,87.87
1994-02-28,89.805
1994-03-31,88.658
1994-04-30,87.623
1994-05-31,86.888
1994-06-30,83.248
1994-07-31,80.57
1994-08-31,78.611
1994-09-30,82.665
1994-10-31,81.484
1994-11-30,82.049
1994-12-31,87.913
1995-01-31,78.559
1995-02-28,79.841
1995-03-31,74.6
1995-04-30,75.355
1995-05-31,70.54
1995-06-30,68.268
1995-07-31,72.81
1995-08-31,76.315
1995-09-30,74.736
1995-10-31,79.625
1995-11-30,80.536
1995-12-31,84.983
1996-01-31,84.127
1996-02-29,79.077
1996-03-31,83.622
1996-04-30,81.241
1996-05-31,84.545
1996-06-30,88.262
1996-07-31,88.656
1996-08-31,92.817
1996-09-30,98.397
1996-10-31,100.429
1996-11-30,102.796
1996-12-31,101.582
1997-01-31,105.965
1997-02-28,94.303
1997-03-31,99.833
1997-04-30,101.474
1997-05-31,103.249
1997-06-30,103.605
1997-07-31,103.447
1997-08-31,103.952
1997-09-30,89.756
1997-10-31,82.693
1997-11-30,88.1
1997-12-31,87.07
1998-01-31,85.05
1998-02-28,90.89
1998-03-31,87.523
1998-04-30,85.22
1998-05-31,86.336
1998-06-30,88.934
1998-07-31,87.122
1998-08-31,87.627
1998-09-30,84.692
1998-10-31,85.513
1998-11-30,83.543
1998-12-31,83.21
1999-01-31,80.246
1999-02-28,88.983
1999-03-31,92.67
1999-04-30,98.818
1999-05-31,96.976
1999-06-30,95.007
1999-07-31,97.808
1999-08-31,97.701
1999-09-30,100.036
1999-10-31,100.294
1999-11-30,95.391
1999-12-31,91.493
2000-01-31,83.048
2000-02-29,95.167
2000-03-31,95.995
2000-04-30,97.365
2000-05-31,94.179
2000-06-30,92.134
2000-07-31,89.432
2000-08-31,88.747
2000-09-30,94.644
2000-10-31,92.317
2000-11-30,96.361
2000-12-31,102.283
2001-01-31,99.229
2001-02-28,97.607
2001-03-31,102.215
2001-04-30,103.136
2001-05-31,106.915
2001-06-30,109.329
2001-07-31,112.408
2001-08-31,111.528
2001-09-30,103.195
2001-10-31,100.501
2001-11-30,102.533
2001-12-31,109.162
2002-01-31,120.237
2002-02-28,124.791
2002-03-31,123.121
