date,value,_value
2012-12-31,472.109,472109
2013-01-31,475.026,475026
2013-02-28,473.467,473467
2013-03-31,472.999,472999
2013-04-30,468.935,468935
2013-05-31,461.918,461918
2013-06-30,460.031,460031
2013-07-31,461.323,461323
2013-08-31,455.092,455092
2013-09-30,454.743,454743
2013-10-31,453.556,453556
2013-11-30,451.134,451134
2013-12-31,448.189,448189
2014-01-31,447.798,447798
2014-02-28,447.408,447408
2014-03-31,443.092,443092
2014-04-30,441.257,441257
2014-05-31,445.481,445481
2014-06-30,441.08,441080
2014-07-31,443.544,443544
2014-08-31,445.06,445060
2014-09-30,442.214,442214
2014-10-31,442.389,442389
2014-11-30,442.232,442232
2014-12-31,435.286,435286
2015-01-31,436.801,436801
2015-02-28,436.813,436813
2015-03-31,440.921,440921
2015-04-30,434.918,434918
2015-05-31,435.169,435169
2015-06-30,428.318,428318
2015-07-31,429.361,429361
2015-08-31,431.52,431520
2015-09-30,430.475,430475
2015-10-31,432.462,432462
2015-11-30,431.628,431628
2015-12-31,429.542,429542
2016-01-31,437.288,437288
2016-02-29,441.358,441358
2016-03-31,438.518,438518
2016-04-30,437.141,437141
2016-05-31,439.296,439296
2016-06-30,442.998,442998
2016-07-31,445.632,445632
2016-08-31,445.609,445609
2016-09-30,448.322,448322
2016-10-31,452.721,452721
2016-11-30,450.588,450588
