date,value,_value
1995-01-31,42.05944,42059.44
1995-02-28,42.54871,42548.71
1995-03-31,41.92809,41928.09
1995-04-30,41.43913,41439.13
1995-05-31,41.82074,41820.74
1995-06-30,40.94457,40944.57
1995-07-31,41.7989,41798.9
1995-08-31,40.40531,40405.31
1995-09-30,40.80722,40807.22
1995-10-31,40.94183,40941.83
1995-11-30,40.970330000000004,40970.33
1995-12-31,41.36053,41360.53
1996-01-31,40.71397,40713.97
1996-02-29,40.77416,40774.16
1996-03-31,41.29229,41292.29
1996-04-30,40.90755,40907.55
1996-05-31,41.616,41616
1996-06-30,41.43922,41439.22
1996-07-31,41.330690000000004,41330.69
1996-08-31,41.81996,41819.96
1996-09-30,42.00884,42008.84
1996-10-31,41.75162,41751.62
1996-11-30,42.00743,42007.43
1996-12-31,41.69453,41694.53
1997-01-31,42.205040000000004,42205.04
1997-02-28,42.74743,42747.43
1997-03-31,42.241870000000006,42241.87
1997-04-30,43.187839999999994,43187.84
1997-05-31,42.792449999999995,42792.45
1997-06-30,43.17599,43175.99
1997-07-31,43.994550000000004,43994.55
1997-08-31,43.12831,43128.31
1997-09-30,42.68793,42687.93
1997-10-31,43.13443,43134.43
1997-11-30,43.23388,43233.88
1997-12-31,43.40999,43409.99
1998-01-31,44.00401,44004.01
1998-02-28,43.80969,43809.69
1998-03-31,44.315760000000004,44315.76
1998-04-30,44.12941,44129.41
1998-05-31,43.94823,43948.23
1998-06-30,44.53102,44531.02
1998-07-31,44.16524,44165.24
1998-08-31,44.75568,44755.68
1998-09-30,45.39491,45394.91
1998-10-31,44.57608999999999,44576.09
1998-11-30,44.61348,44613.48
1998-12-31,44.968669999999996,44968.67
1999-01-31,45.189879999999995,45189.88
1999-02-28,44.38833,44388.33
1999-03-31,45.09098,45090.98
1999-04-30,45.06378,45063.78
1999-05-31,44.97516,44975.16
1999-06-30,46.29029,46290.29
1999-07-31,46.020669999999996,46020.67
1999-08-31,45.72671,45726.71
1999-09-30,46.59875,46598.75
1999-10-31,47.87034,47870.34
1999-11-30,47.73476,47734.76
1999-12-31,47.149879999999996,47149.88
2000-01-31,47.32842,47328.42
2000-02-29,48.350199999999994,48350.2
2000-03-31,48.351839999999996,48351.84
2000-04-30,48.38433,48384.33
2000-05-31,48.50257,48502.57
2000-06-30,47.69725,47697.25
2000-07-31,48.4847,48484.7
2000-08-31,48.50552,48505.52
2000-09-30,48.26851,48268.51
2000-10-31,48.302440000000004,48302.44
2000-11-30,47.95841,47958.41
2000-12-31,49.10965,49109.65
2001-01-31,49.640699999999995,49640.7
2001-02-28,49.75832,49758.32
2001-03-31,49.39724,49397.24
2001-04-30,50.62778,50627.78
2001-05-31,51.04699,51046.99
2001-06-30,50.96221,50962.21
2001-07-31,51.20097,51200.97
2001-08-31,52.93128,52931.28
2001-09-30,52.44775,52447.75
2001-10-31,52.81659,52816.59
2001-11-30,53.48919,53489.19
2001-12-31,54.445730000000005,54445.73
2002-01-31,54.5995,54599.5
2002-02-28,55.88568,55885.68
2002-03-31,56.4946,56494.6
2002-04-30,56.92772,56927.72
2002-05-31,58.62308,58623.08
2002-06-30,59.45416,59454.16
2002-07-31,60.622440000000005,60622.44
2002-08-31,62.033919999999995,62033.92
2002-09-30,62.927550000000004,62927.55
2002-10-31,64.29108000000001,64291.08
2002-11-30,66.77297,66772.97
2002-12-31,67.74714999999999,67747.15
2003-01-31,67.38771000000001,67387.71
2003-02-28,69.56836,69568.36
2003-03-31,72.06961,72069.61
2003-04-30,74.01514,74015.14
2003-05-31,75.12489,75124.89
2003-06-30,76.71910000000001,76719.1
2003-07-31,79.24678999999999,79246.79
2003-08-31,80.51039,80510.39
2003-09-30,82.6447,82644.7
2003-10-31,85.05926,85059.26
2003-11-30,86.40072,86400.72
2003-12-31,87.36233,87362.33
2004-01-31,90.75945,90759.45
2004-02-29,90.06828999999999,90068.29
2004-03-31,93.26046000000001,93260.46
2004-04-30,97.47142,97471.42
2004-05-31,99.808,99808
2004-06-30,103.40034,103400.34
2004-07-31,105.30988,105309.88
2004-08-31,106.77524000000001,106775.24
2004-09-30,107.67703999999999,107677.04
2004-10-31,109.26395,109263.95
2004-11-30,106.65836999999999,106658.37
2004-12-31,110.92469,110924.69
2005-01-31,111.1076,111107.6
2005-02-28,112.10834,112108.34
2005-03-31,112.89317,112893.17
2005-04-30,113.28172,113281.72
2005-05-31,114.37912,114379.12
2005-06-30,114.9827,114982.7
2005-07-31,116.21553,116215.53
2005-08-31,117.90688,117906.88
2005-09-30,118.07282000000001,118072.82
2005-10-31,118.56346,118563.46
2005-11-30,120.01171000000001,120011.71
2005-12-31,120.44817,120448.17
2006-01-31,122.49863,122498.63
2006-02-28,122.46782,122467.82
2006-03-31,124.02552,124025.52
2006-04-30,123.78838999999999,123788.39
2006-05-31,123.85231,123852.31
2006-06-30,124.98364,124983.64
2006-07-31,125.15897,125158.97
2006-08-31,124.77848,124778.48
2006-09-30,128.02926,128029.26
2006-10-31,128.62756,128627.56
2006-11-30,127.37514,127375.14
2006-12-31,131.33103,131331.03
2007-01-31,131.86342000000002,131863.42
2007-02-28,132.05239,132052.39
2007-03-31,132.15142,132151.42
2007-04-30,132.56981,132569.81
2007-05-31,132.3996,132399.6
2007-06-30,133.19834,133198.34
2007-07-31,134.43936,134439.36
2007-08-31,133.13754,133137.54
2007-09-30,134.37707,134377.07
2007-10-31,134.82574,134825.74
2007-11-30,135.24392,135243.92
2007-12-31,135.84442,135844.42
2008-01-31,134.79617000000002,134796.17
2008-02-29,135.49478,135494.78
2008-03-31,133.31264000000002,133312.64
2008-04-30,133.49491,133494.91
2008-05-31,133.70523,133705.23
2008-06-30,131.09602999999998,131096.03
2008-07-31,127.99435000000001,127994.35
2008-08-31,126.50317999999999,126503.18
2008-09-30,123.16958,123169.58
2008-10-31,121.69641,121696.41
2008-11-30,120.67899,120678.99
2008-12-31,118.09574,118095.74
2009-01-31,118.33013000000001,118330.13
2009-02-28,117.35493,117354.93
2009-03-31,116.638,116638
2009-04-30,116.08873,116088.73
2009-05-31,116.56796,116567.96
2009-06-30,116.92532000000001,116925.32
2009-07-31,117.33588,117335.88
2009-08-31,117.85472,117854.72
2009-09-30,119.9625,119962.5
2009-10-31,120.40527,120405.27
2009-11-30,120.93539,120935.39
2009-12-31,123.11172,123111.72
2010-01-31,119.73796,119737.96
2010-02-28,122.05482,122054.82
2010-03-31,122.38642,122386.42
2010-04-30,121.10418,121104.18
2010-05-31,119.87478999999999,119874.79
2010-06-30,119.62808,119628.08
2010-07-31,119.79991,119799.91
2010-08-31,121.05388,121053.88
2010-09-30,118.36043,118360.43
2010-10-31,122.07283,122072.83
2010-11-30,117.23380999999999,117233.81
2010-12-31,117.80841000000001,117808.41
2011-01-31,117.08063,117080.63
2011-02-28,116.9459,116945.9
2011-03-31,114.78266,114782.66
2011-04-30,117.1435,117143.5
2011-05-31,117.21272,117212.72
2011-06-30,115.75384,115753.84
2011-07-31,114.20428,114204.28
2011-08-31,112.04713000000001,112047.13
2011-09-30,113.43007,113430.07
2011-10-31,113.76099,113760.99
2011-11-30,114.21392,114213.92
2011-12-31,113.58961000000001,113589.61
2012-01-31,113.07430000000001,113074.3
2012-02-29,114.07355,114073.55
2012-03-31,115.5709,115570.9
2012-04-30,113.70494000000001,113704.94
2012-05-31,113.08971000000001,113089.71
2012-06-30,113.51912,113519.12
2012-07-31,113.54397,113543.97
2012-08-31,114.70703,114707.03
2012-09-30,114.27649000000001,114276.49
2012-10-31,114.49369,114493.69
2012-11-30,114.11768,114117.68
2012-12-31,113.09372,113093.72
2013-01-31,113.71431,113714.31
2013-02-28,112.21764,112217.64
2013-03-31,114.15561,114155.61
2013-04-30,112.92399,112923.99
2013-05-31,113.43141,113431.41
2013-06-30,111.7164,111716.4
2013-07-31,114.7178,114717.8
2013-08-31,115.14587,115145.87
2013-09-30,115.22842999999999,115228.43
2013-10-31,110.71194,110711.94
2013-11-30,113.93442,113934.42
2013-12-31,114.4453,114445.3
2014-01-31,114.56417,114564.17
2014-02-28,115.04325,115043.25
2014-03-31,114.76453,114764.53
2014-04-30,115.76111,115761.11
2014-05-31,116.05067,116050.67
2014-06-30,116.96851,116968.51
2014-07-31,116.81518,116815.18
2014-08-31,116.02575,116025.75
2014-09-30,116.22291,116222.91
2014-10-31,116.29330999999999,116293.31
2014-11-30,116.15657,116156.57
2014-12-31,116.66836,116668.36
2015-01-31,117.15558999999999,117155.59
2015-02-28,118.76777,118767.77
2015-03-31,116.12725999999999,116127.26
2015-04-30,118.95675999999999,118956.76
2015-05-31,117.9985,117998.5
2015-06-30,118.32975,118329.75
2015-07-31,117.9093,117909.3
2015-08-31,118.28607000000001,118286.07
2015-09-30,119.21677000000001,119216.77
2015-10-31,119.19105,119191.05
2015-11-30,120.42067,120420.67
2015-12-31,121.26876,121268.76
2016-01-31,121.05242999999999,121052.43
2016-02-29,121.3009,121300.9
2016-03-31,121.45755,121457.55
2016-04-30,119.23397,119233.97
2016-05-31,122.28266,122282.66
2016-06-30,122.05251,122052.51
2016-07-31,122.71553,122715.53
2016-08-31,121.40977000000001,121409.77
2016-09-30,122.13909,122139.09
2016-10-31,123.11806,123118.06
2016-11-30,124.21714999999999,124217.15
