date,value,_value
1992-12-31,,14.8
1993-01-31,,-1.301
1993-02-28,,5.961
1993-03-31,,8.188
1993-04-30,,5.38
1993-05-31,,5.407
1993-06-30,,4.927
1993-07-31,,2.975
1993-08-31,,5.11
1993-09-30,,4.244
1993-10-31,,2.106
1993-11-30,61.903000000000006,4.106
1993-12-31,51.391000000000005,4.288
1994-01-31,51.641000000000005,-1.051
1994-02-28,51.20100000000001,5.521
1994-03-31,51.556000000000004,8.543
1994-04-30,52.145999999999994,5.97
1994-05-31,52.038000000000004,5.299
1994-06-30,50.461999999999996,3.351
1994-07-31,49.948,2.461
1994-08-31,50.455999999999996,5.618
1994-09-30,49.090999999999994,2.879
1994-10-31,48.164,1.179
1994-11-30,47.236,3.178
1994-12-31,46.48199999999999,3.534
1995-01-31,45.038999999999994,-2.494
1995-02-28,44.663999999999994,5.146
1995-03-31,43.804,7.683
1995-04-30,41.80800000000001,3.974
1995-05-31,40.61,4.101
1995-06-30,41.238,3.979
1995-07-31,40.449,1.672
1995-08-31,40.644999999999996,5.814
1995-09-30,40.650999999999996,2.885
1995-10-31,38.905,-0.567
1995-11-30,38.991,3.264
1995-12-31,39.160000000000004,3.703
1996-01-31,37.945,-3.709
1996-02-29,36.644,3.845
1996-03-31,35.309999999999995,6.349
1996-04-30,36.169,4.833
1996-05-31,36.9,4.832
1996-06-30,37.168,4.247
1996-07-31,35.793,0.297
1996-08-31,35.291000000000004,5.312
1996-09-30,35.056000000000004,2.65
1996-10-31,32.178,-3.445
1996-11-30,31.273000000000003,2.359
1996-12-31,29.84,2.27
1997-01-31,28.261000000000006,-5.288
1997-02-28,27.331999999999997,2.916
1997-03-31,27.707,6.724
1997-04-30,25.476000000000003,2.602
1997-05-31,23.215000000000003,2.571
1997-06-30,23.437,4.469
1997-07-31,23.421,0.281
1997-08-31,20.506999999999998,2.398
1997-09-30,20.060000000000002,2.203
1997-10-31,21.666999999999998,-1.838
1997-11-30,17.137999999999998,-2.17
1997-12-31,15.444,0.576
1998-01-31,13.302999999999999,-7.429
1998-02-28,10.496999999999995,0.11
1998-03-31,5.9030000000000005,2.13
1998-04-30,4.889,1.588
1998-05-31,5.850999999999999,3.533
1998-06-30,4.420999999999999,3.039
1998-07-31,1.1470000000000007,-2.993
1998-08-31,0.4649999999999983,1.716
1998-09-30,-0.524000000000002,1.214
1998-10-31,-5.415,-6.729
1998-11-30,-0.5870000000000006,2.658
1998-12-31,-0.5439999999999998,0.619
1999-01-31,-0.20900000000000052,-7.094
1999-02-28,-2.7030000000000016,-2.384
1999-03-31,-4.390000000000001,0.443
1999-04-30,-5.813,0.165
1999-05-31,-6.129000000000001,3.217
1999-06-30,-6.951000000000002,2.217
1999-07-31,-7.618,-3.66
1999-08-31,-8.082,1.252
1999-09-30,-10.35,-1.054
1999-10-31,-11.203000000000001,-7.582
1999-11-30,-11.588000000000001,2.273
1999-12-31,-11.038,1.169
2000-01-31,-13.640999999999998,-9.697
2000-02-29,-12.397,-1.14
2000-03-31,-14.436,-1.596
2000-04-30,-11.855999999999998,2.745
2000-05-31,-21.133999999999997,-6.061
2000-06-30,-17.906,5.445
2000-07-31,-19.918,-5.672
2000-08-31,-15.479999999999997,5.69
2000-09-30,-18.729999999999997,-4.304
2000-10-31,-17.759,-6.611
2000-11-30,-16.466999999999995,3.565
2000-12-31,-15.674999999999995,1.961
2001-01-31,-17.497999999999998,-11.52
2001-02-28,-18.669999999999998,-2.312
2001-03-31,-17.171,-0.097
2001-04-30,-21.525,-1.609
2001-05-31,-11.315999999999997,4.148
2001-06-30,-14.421,2.34
2001-07-31,-13.529999999999998,-4.781
