date,value,_value
1992-12-31,,14.8
1993-01-31,,-1.3
1993-02-28,,5.96
1993-03-31,,8.19
1993-04-30,,5.38
1993-05-31,,5.41
1993-06-30,,4.93
1993-07-31,,2.97
1993-08-31,,5.11
1993-09-30,,4.24
1993-10-31,,2.11
1993-11-30,0.06191,4.11
1993-12-31,0.0514,4.29
1994-01-31,0.05165,-1.05
1994-02-28,0.05120999999999999,5.52
1994-03-31,0.051559999999999995,8.54
1994-04-30,0.05215,5.97
1994-05-31,0.05203999999999999,5.3
1994-06-30,0.05045999999999999,3.35
1994-07-31,0.049949999999999994,2.46
1994-08-31,0.05045999999999999,5.62
1994-09-30,0.049100000000000005,2.88
1994-10-31,0.048170000000000004,1.18
1994-11-30,0.04724,3.18
1994-12-31,0.04648000000000001,3.53
1995-01-31,0.04504,-2.49
1995-02-28,0.04467,5.15
1995-03-31,0.043809999999999995,7.68
1995-04-30,0.04180999999999999,3.97
1995-05-31,0.04061,4.1
1995-06-30,0.04123999999999999,3.98
1995-07-31,0.04044999999999999,1.67
1995-08-31,0.04064,5.81
1995-09-30,0.04064,2.88
1995-10-31,0.03889,-0.57
1995-11-30,0.03897,3.26
1995-12-31,0.03914,3.7
1996-01-31,0.03792,-3.71
1996-02-29,0.03662,3.85
1996-03-31,0.03529,6.35
1996-04-30,0.036149999999999995,4.83
1996-05-31,0.036879999999999996,4.83
1996-06-30,0.037149999999999996,4.25
1996-07-31,0.03577999999999999,0.3
1996-08-31,0.03528,5.31
1996-09-30,0.03505,2.65
1996-10-31,0.03217,-3.45
1996-11-30,0.03127,2.36
1996-12-31,0.029839999999999995,2.27
1997-01-31,0.028259999999999997,-5.29
1997-02-28,0.027329999999999997,2.92
1997-03-31,0.027699999999999995,6.72
1997-04-30,0.025519999999999998,2.65
1997-05-31,0.02342,2.73
1997-06-30,0.02344,4.27
1997-07-31,0.025039999999999996,1.9
1997-08-31,0.021089999999999998,1.36
1997-09-30,0.020059999999999998,1.62
1997-10-31,0.02155,-1.96
1997-11-30,0.017119999999999996,-2.07
1997-12-31,0.015460000000000002,0.61
1998-01-31,0.011709999999999996,-9.04
1998-02-28,0.008179999999999996,-0.61
1998-03-31,0.0059199999999999964,4.46
1998-04-30,0.004859999999999999,1.59
1998-05-31,0.005820000000000002,3.69
1998-06-30,0.00441,2.86
1998-07-31,-0.0011499999999999987,-3.66
1998-08-31,-0.0006699999999999997,1.84
1998-09-30,-0.0005600000000000001,1.73
1998-10-31,-0.00508,-6.48
1998-11-30,-0.0009299999999999997,2.08
1998-12-31,-0.0006099999999999991,0.93
1999-01-31,-0.0010999999999999996,-9.53
1999-02-28,-0.0031300000000000004,-2.64
1999-03-31,-0.0044800000000000005,3.11
1999-04-30,-0.005830000000000002,0.24
1999-05-31,-0.006890000000000001,2.63
1999-06-30,-0.00709,2.66
1999-07-31,-0.007290000000000001,-3.86
1999-08-31,-0.00804,1.09
1999-09-30,-0.010539999999999999,-0.77
1999-10-31,-0.01173,-7.67
1999-11-30,-0.01071,3.1
1999-12-31,-0.011280000000000002,0.36
2000-01-31,-0.012969999999999999,-11.22
2000-02-29,-0.012509999999999999,-2.18
2000-03-31,-0.01464,0.98
2000-04-30,-0.01227,2.61
2000-05-31,-0.020939999999999997,-6.04
2000-06-30,-0.018019999999999994,5.58
2000-07-31,-0.01589,-1.73
2000-08-31,-0.012669999999999999,4.31
2000-09-30,-0.01876,-6.86
2000-10-31,-0.017310000000000002,-6.22
2000-11-30,-0.017900000000000006,2.51
2000-12-31,-0.015610000000000004,2.65
2001-01-31,-0.01524,-10.85
2001-02-28,-0.016120000000000002,-3.06
2001-03-31,-0.01709,0.01
2001-04-30,-0.020829999999999994,-1.13
