date,value,_value
2012-12-31,176.272,176272
2013-01-31,176.051,176051
2013-02-28,176.319,176319
2013-03-31,175.407,175407
2013-04-30,173.394,173394
2013-05-31,169.519,169519
2013-06-30,170.387,170387
2013-07-31,170.085,170085
2013-08-31,168.807,168807
2013-09-30,168.216,168216
2013-10-31,167.254,167254
2013-11-30,166.993,166993
2013-12-31,166.231,166231
2014-01-31,171.808,171808
2014-02-28,172.055,172055
2014-03-31,169.899,169899
2014-04-30,170.182,170182
2014-05-31,171.658,171658
2014-06-30,171.742,171742
2014-07-31,170.139,170139
2014-08-31,169.484,169484
2014-09-30,171.174,171174
2014-10-31,169.432,169432
2014-11-30,170.41,170410
2014-12-31,167.115,167115
2015-01-31,167.42,167420
2015-02-28,167.219,167219
2015-03-31,168.137,168137
2015-04-30,169.539,169539
2015-05-31,163.84,163840
2015-06-30,163.82,163820
2015-07-31,164.964,164964
2015-08-31,164.183,164183
2015-09-30,164.04,164040
2015-10-31,164.324,164324
2015-11-30,163.065,163065
2015-12-31,164.34,164340
2016-01-31,163.218,163218
2016-02-29,161.718,161718
2016-03-31,161.241,161241
2016-04-30,161.275,161275
2016-05-31,161.902,161902
2016-06-30,161.457,161457
2016-07-31,161.96,161960
2016-08-31,161.465,161465
2016-09-30,163.672,163672
2016-10-31,163.318,163318
2016-11-30,163.53,163530
