date,value,_value
1971-01-31,24.416,24416
1971-02-28,24.613,24613
1971-03-31,24.613,24613
1971-04-30,24.575,24575
1971-05-31,24.559,24559
1971-06-30,24.556,24556
1971-07-31,24.541,24541
1971-08-31,24.508,24508
1971-09-30,24.464,24464
1971-10-31,24.424,24424
1971-11-30,24.398,24398
1971-12-31,24.395,24395
1972-01-31,24.416,24416
1972-02-29,24.455,24455
1972-03-31,24.501,24501
1972-04-30,24.529,24529
1972-05-31,24.539,24539
1972-06-30,24.542,24542
1972-07-31,24.541,24541
1972-08-31,24.557,24557
1972-09-30,24.585,24585
1972-10-31,24.614,24614
1972-11-30,24.643,24643
1972-12-31,24.689,24689
1973-01-31,24.748,24748
1973-02-28,24.825,24825
1973-03-31,24.903,24903
1973-04-30,24.962,24962
1973-05-31,24.986,24986
1973-06-30,24.986,24986
1973-07-31,24.975,24975
1973-08-31,24.965,24965
1973-09-30,24.972,24972
1973-10-31,24.984,24984
1973-11-30,24.997,24997
1973-12-31,24.999,24999
1974-01-31,25,25000
1974-02-28,24.995,24995
1974-03-31,24.984,24984
1974-04-30,24.984,24984
1974-05-31,24.985,24985
1974-06-30,25.002,25002
1974-07-31,25.02,25020
1974-08-31,25.044,25044
1974-09-30,25.066,25066
1974-10-31,25.077,25077
1974-11-30,25.075,25075
1974-12-31,25.065,25065
1975-01-31,25.044,25044
1975-02-28,25.018,25018
1975-03-31,24.996,24996
1975-04-30,24.98,24980
1975-05-31,24.965,24965
1975-06-30,24.955,24955
1975-07-31,24.945,24945
1975-08-31,24.934,24934
1975-09-30,24.918,24918
1975-10-31,24.897,24897
1975-11-30,24.88,24880
1975-12-31,24.864,24864
1976-01-31,24.847,24847
1976-02-29,24.825,24825
1976-03-31,24.809,24809
1976-04-30,24.793,24793
1976-05-31,24.788,24788
1976-06-30,24.779,24779
1976-07-31,24.776,24776
1976-08-31,24.772,24772
1976-09-30,24.768,24768
1976-10-31,24.771,24771
1976-11-30,24.779,24779
1976-12-31,24.788,24788
1977-01-31,24.797,24797
1977-02-28,24.8,24800
1977-03-31,24.803,24803
