date,value
1973-01-31,108.2803
1973-02-28,103.495
1973-03-31,100
1973-04-30,100.7017
1973-05-31,99.3214
1973-06-30,97.4136
1973-07-31,94.7303
1973-08-31,96.8804
1973-09-30,96.6174
1973-10-31,96.307
1973-11-30,98.7118
1973-12-31,99.6426
1974-01-31,102.908
1974-02-28,100.1977
1974-03-31,98.099
1974-04-30,96.3189
1974-05-31,95.2881
1974-06-30,96.3419
1974-07-31,96.58
1974-08-31,98.4403
1974-09-30,99.3586
1974-10-31,98.2409
1974-11-30,97.4898
1974-12-31,96.4146
1975-01-31,95.4763
1975-02-28,94.1057
1975-03-31,93.0809
1975-04-30,93.9614
1975-05-31,93.2205
1975-06-30,93.1717
1975-07-31,95.7911
1975-08-31,97.2391
1975-09-30,97.9332
1975-10-31,97.5564
1975-11-30,97.2585
1975-12-31,97.8006
1976-01-31,97.0259
1976-02-29,96.1563
1976-03-31,96.5364
1976-04-30,96.4961
1976-05-31,96.5144
1976-06-30,96.6573
1976-07-31,96.2406
1976-08-31,96.1122
1976-09-30,95.07
1976-10-31,95.2266
1976-11-30,95.4167
1976-12-31,95.7234
1977-01-31,94.8818
1977-02-28,95.4529
1977-03-31,95.3116
1977-04-30,94.7285
1977-05-31,94.2822
1977-06-30,94.0793
1977-07-31,92.9699
1977-08-31,93.7103
1977-09-30,93.5852
1977-10-31,92.3913
1977-11-30,91.4018
1977-12-31,89.6544
1978-01-31,89.0138
1978-02-28,88.8093
1978-03-31,87.9192
1978-04-30,87.9605
1978-05-31,89.0457
1978-06-30,87.607
1978-07-31,85.3486
1978-08-31,83.4795
1978-09-30,84.2858
1978-10-31,82.4731
1978-11-30,84.6991
1978-12-31,84.9563
1979-01-31,85.1997
1979-02-28,86.1534
1979-03-31,86.3226
1979-04-30,87.3647
1979-05-31,88.4934
1979-06-30,88.603
1979-07-31,86.5248
1979-08-31,87.4819
1979-09-30,87.5697
1979-10-31,89.0639
1979-11-30,90.6246
1979-12-31,89.3617
1980-01-31,88.9485
1980-02-29,89.87
1980-03-31,93.491
1980-04-30,94.2663
1980-05-31,90.3717
1980-06-30,88.3603
1980-07-31,87.6836
1980-08-31,88.7797
1980-09-30,87.9469
1980-10-31,88.5211
1980-11-30,90.6452
1980-12-31,91.8051
1981-01-31,91.1053
1981-02-28,94.2555
1981-03-31,94.434
1981-04-30,96.2203
1981-05-31,99.4085
1981-06-30,101.5629
1981-07-31,104.48
1981-08-31,106.1941
1981-09-30,103.5503
1981-10-31,102.5232
1981-11-30,100.1009
1981-12-31,99.7147
1982-01-31,101.1124
1982-02-28,104.066
1982-03-31,105.2214
1982-04-30,106.1359
1982-05-31,104.3949
1982-06-30,109.939
1982-07-31,111.4069
1982-08-31,111.1419
1982-09-30,111.3738
1982-10-31,113.1017
1982-11-30,112.6805
1982-12-31,108.0967
1983-01-31,106.5061
1983-02-28,107.7015
1983-03-31,108.2951
1983-04-30,109.2172
1983-05-31,108.8428
1983-06-30,110.6436
1983-07-31,111.447
1983-08-31,113.0122
1983-09-30,112.6605
1983-10-31,110.5887
1983-11-30,112.1248
1983-12-31,113.5258
1984-01-31,114.8192
1984-02-29,113.1681
1984-03-31,111.2004
1984-04-30,112.6094
1984-05-31,115.2165
1984-06-30,115.9985
1984-07-31,119.9506
1984-08-31,119.934
1984-09-30,122.825
1984-10-31,123.8894
1984-11-30,122.0705
1984-12-31,124.4199
1985-01-31,126.7397
1985-02-28,131.1274
1985-03-31,131.551
1985-04-30,126.3152
1985-05-31,126.5185
1985-06-30,124.9752
1985-07-31,120.3777
1985-08-31,118.6372
1985-09-30,119.8913
1985-10-31,113.6158
1985-11-30,111.8123
1985-12-31,111.0633
1986-01-31,109.9539
1986-02-28,105.4478
1986-03-31,102.6893
1986-04-30,101.3277
1986-05-31,99.0193
1986-06-30,99.9441
1986-07-31,97.2022
1986-08-31,95.4914
1986-09-30,95.5512
1986-10-31,95.6623
1986-11-30,97.0275
1986-12-31,96.2063
1987-01-31,92.738
1987-02-28,91.4195
1987-03-31,90.6592
1987-04-30,88.526
1987-05-31,88.0214
1987-06-30,89.6099
1987-07-31,91.1009
1987-08-31,90.8483
1987-09-30,89.046
1987-10-31,88.826
1987-11-30,85.2827
1987-12-31,82.6195
1988-01-31,82.8707
1988-02-29,83.7253
1988-03-31,82.3044
1988-04-30,81.6611
1988-05-31,82.0294
1988-06-30,83.6763
1988-07-31,86.3691
1988-08-31,87.5799
1988-09-30,87.72
1988-10-31,85.1585
1988-11-30,82.9109
1988-12-31,82.6555
1989-01-31,84.7533
1989-02-28,85.2134
1989-03-31,86.6077
1989-04-30,86.9569
1989-05-31,89.7099
1989-06-30,91.8962
1989-07-31,89.2546
1989-08-31,89.6686
