date,value
1997-04-30,-2785
1997-05-31,-2754
1997-06-30,-4638
1997-07-31,-104
1997-08-31,-2221
1997-09-30,-2026
1997-10-31,2036
1997-11-30,2368
1997-12-31,-380
1998-01-31,8670
1998-02-28,1122
1998-03-31,-904
1998-04-30,-1522
1998-05-31,-3563
1998-06-30,-3001
1998-07-31,3253
1998-08-31,-1473
1998-09-30,-1015
1998-10-31,7184
1998-11-30,-2212
1998-12-31,-123
1999-01-31,8185
1999-02-28,3500
1999-03-31,822
1999-04-30,-16
1999-05-31,-3111
1999-06-30,-2087
1999-07-31,3975
1999-08-31,-934
1999-09-30,1371
1999-10-31,7959
1999-11-30,-1902
1999-12-31,-783
2000-01-31,10992
2000-02-29,2519
2000-03-31,2890
2000-04-30,1390
2000-05-31,-2369
2000-06-30,-1228
2000-07-31,5488
2000-08-31,-289
2000-09-30,-252
2000-10-31,7145
2000-11-30,-3014
2000-12-31,-1485
2001-01-31,12933
2001-02-28,3738
2001-03-31,1512
2001-04-30,2457
2001-05-31,-3220
2001-06-30,-2252
2001-07-31,5617
2001-08-31,-283
2001-09-30,-234
2001-10-31,5907
2001-11-30,-4512
2001-12-31,-2298
2002-01-31,9936
2002-02-28,2016
2002-03-31,-875
2002-04-30,117
2002-05-31,-6139
2002-06-30,-4169
2002-07-31,4622
2002-08-31,-2874
2002-09-30,-2717
2002-10-31,2771
2002-11-30,-6095
2002-12-31,-3968
2003-01-31,7044
2003-02-28,-344
2003-03-31,-14
2003-04-30,5
2003-05-31,-6834
2003-06-30,-4909
2003-07-31,3078
2003-08-31,-4206
2003-09-30,-3452
2003-10-31,1325
2003-11-30,-6723
2003-12-31,-4068
2004-01-31,6482
2004-02-29,1286
2004-03-31,1109
2004-04-30,-1391
2004-05-31,-6307
2004-06-30,-5224
2004-07-31,2507
2004-08-31,-5023
2004-09-30,-4469
2004-10-31,568
2004-11-30,-6995
2004-12-31,-4042
2005-01-31,9120
2005-02-28,-18
2005-03-31,-632
2005-04-30,-98
2005-05-31,-6298
2005-06-30,-5881
2005-07-31,4455
2005-08-31,-4796
2005-09-30,-3539
2005-10-31,2560
2005-11-30,-9955
2005-12-31,-4593
2006-01-31,13962
2006-02-28,-1044
2006-03-31,-351
2006-04-30,-951
2006-05-31,-6567
2006-06-30,-5602
2006-07-31,7102
2006-08-31,-4486
2006-09-30,-4332
2006-10-31,3493
2006-11-30,-8897
2006-12-31,-2617
2007-01-31,13285
2007-02-28,1170
2007-03-31,-664
2007-04-30,-1058
2007-05-31,-7206
2007-06-30,-5603
2007-07-31,7483
2007-08-31,-6345
2007-09-30,-3555
2007-10-31,2093
2007-11-30,-8526
2007-12-31,-3844
2008-01-31,16176
2008-02-29,63
2008-03-31,607
2008-04-30,-2154
2008-05-31,-8583
2008-06-30,-7100
2008-07-31,6338
2008-08-31,-8353
2008-09-30,-5219
2008-10-31,-456
2008-11-30,-13718
2008-12-31,-9221
2009-01-31,7586
2009-02-28,-4809
2009-03-31,-7468
2009-04-30,-8099
2009-05-31,-15117
2009-06-30,-12761
2009-07-31,-3127
2009-08-31,-11113
2009-09-30,-10863
2009-10-31,-6861
2009-11-30,-14566
2009-12-31,-12310
2010-01-31,2387
2010-02-28,-4657
2010-03-31,-6285
2010-04-30,-5748
2010-05-31,-14383
2010-06-30,-12346
2010-07-31,-75
2010-08-31,-10750
2010-09-30,-11172
2010-10-31,-4898
2010-11-30,-16230
2010-12-31,-14101
2011-01-31,9470
2011-02-28,-6011
2011-03-31,-6978
2011-04-30,-8499
2011-05-31,-11245
2011-06-30,-11334
2011-07-31,3214
2011-08-31,-9412
2011-09-30,-10285
2011-10-31,-4991
2011-11-30,-13245
2011-12-31,-10581
2012-01-31,10262
2012-02-29,-7490
2012-03-31,-7738
2012-04-30,-9289
2012-05-31,-13875
2012-06-30,-10373
2012-07-31,2682
2012-08-31,-10716
2012-09-30,-10197
2012-10-31,-5208
2012-11-30,-13943
2012-12-31,-11016
2013-01-31,9961
2013-02-28,-7118
2013-03-31,-5720
2013-04-30,-8041
2013-05-31,-11020
2013-06-30,-9741
2013-07-31,1428
2013-08-31,-9510
2013-09-30,-8473
2013-10-31,-5703
2013-11-30,-13543
2013-12-31,-8118
2014-01-31,9324
2014-02-28,-6078
2014-03-31,-2602
2014-04-30,-8377
2014-05-31,-11177
2014-06-30,-8923
2014-07-31,1453
2014-08-31,-9053
2014-09-30,-8750
2014-10-31,-4848
2014-11-30,-10698
2014-12-31,-8256
2015-01-31,13719
2015-02-28,-3679
2015-03-31,-1094
2015-04-30,-6245
2015-05-31,-8334
2015-06-30,-7374
2015-07-31,3190
2015-08-31,-8908
2015-09-30,-6609
2015-10-31,-3982
2015-11-30,-9874
2015-12-31,-5143
2016-01-31,15610
2016-02-29,-3298
2016-03-31,-973
2016-04-30,-6005
2016-05-31,-8052
2016-06-30,-5607
2016-07-31,4932
2016-08-31,-7834
2016-09-30,-6459
2016-10-31,-1691
2016-11-30,-9938
