date,value,_value
2006-03-01,567.013,567013
2006-06-01,639.502,639502
2006-09-01,657.417,657417
2006-12-01,545.273,545273
2007-03-01,571.569,571569
2007-06-01,660.324,660324
2007-09-01,640.11,640110
2007-12-01,536.593,536593
2008-03-01,500.175,500175
2008-06-01,539.296,539296
2008-09-01,423.419,423419
2008-12-01,333.185,333185
2009-03-01,300.296,300296
2009-06-01,393.258,393258
2009-09-01,425.227,425227
2009-12-01,349.764,349764
2010-03-01,360.09,360090
2010-06-01,463.817,463817
2010-09-01,457.131,457131
2010-12-01,324.953,324953
2011-03-01,397.438,397438
2011-06-01,439.464,439464
2011-09-01,444.203,444203
2011-12-01,364.625,364625
2012-03-01,391.272,391272
2012-06-01,396.887,396887
2012-09-01,418.013,418013
2012-12-01,345.21,345210
2013-03-01,344.843,344843
2013-06-01,459.117,459117
2013-09-01,497.529,497529
2013-12-01,434.426,434426
2014-03-01,437.465,437465
2014-06-01,476.117,476117
2014-09-01,478.742,478742
2014-12-01,419.264,419264
2015-03-01,403.096,403096
2015-06-01,474.852,474852
2015-09-01,462.271,462271
2015-12-01,364.44,364440
2016-03-01,390.756,390756
2016-06-01,491.499,491499
2016-09-01,489.673,489673
