date,value
2006-04-01,187
2006-05-01,206
2006-06-01,246
2006-07-01,210
2006-08-01,208
2006-09-01,230
2006-10-01,196
2006-11-01,198
2006-12-01,152
2007-01-01,157
2007-02-01,175
2007-03-01,240
2007-04-01,202
2007-05-01,219
2007-06-01,240
2007-07-01,208.487
2007-08-01,204.117
2007-09-01,227.506
2007-10-01,211.148
2007-11-01,187.874
2007-12-01,137.571
2008-01-01,143.695
2008-02-01,171.278
2008-03-01,185.202
2008-04-01,192.427
2008-05-01,173.371
2008-06-01,173.498
2008-07-01,143.972
2008-08-01,133.002
2008-09-01,146.445
2008-10-01,125.207
2008-11-01,108.615
2008-12-01,99.363
2009-01-01,83.763
2009-02-01,82.933
2009-03-01,133.6
2009-04-01,127.911
2009-05-01,121.911
2009-06-01,143.436
2009-07-01,149.077
2009-08-01,128.338
2009-09-01,147.812
2009-10-01,139.458
2009-11-01,118.701
2009-12-01,91.605
2010-01-01,65.468
2010-02-01,124.497
2010-03-01,170.125
2010-04-01,153.604
2010-05-01,151.938
2010-06-01,158.275
2010-07-01,160.004
2010-08-01,145.038
2010-09-01,152.089
2010-10-01,141.438
2010-11-01,134.208
2010-12-01,49.307
2011-01-01,108.1
2011-02-01,128.984
2011-03-01,160.354
2011-04-01,131.689
2011-05-01,154.439
2011-06-01,153.336
2011-07-01,147.916
2011-08-01,145.93
2011-09-01,150.357
2011-10-01,141.48
2011-11-01,136.372
2011-12-01,86.26
2012-01-01,110.447
2012-02-01,110.539
2012-03-01,170.286
2012-04-01,131.332
2012-05-01,141.852
2012-06-01,123.703
2012-07-01,139.759
2012-08-01,146.186
2012-09-01,132.068
2012-10-01,141.46
2012-11-01,131.642
2012-12-01,72.108
2013-01-01,97.208
2013-02-01,116.419
2013-03-01,131.216
2013-04-01,141.944
2013-05-01,158.776
2013-06-01,158.397
2013-07-01,180.79
2013-08-01,155.948
2013-09-01,160.791
2013-10-01,174.841
2013-11-01,151.698
2013-12-01,107.887
2014-01-01,138.167
2014-02-01,137.157
2014-03-01,162.141
2014-04-01,155.899
2014-05-01,158.439
2014-06-01,162.097
2014-07-01,169.457
2014-08-01,144.798
2014-09-01,164.487
2014-10-01,168.291
2014-11-01,137.973
2014-12-01,113
2015-01-01,116.814
2015-02-01,128.287
2015-03-01,158.015
2015-04-01,157.726
2015-05-01,148.85
2015-06-01,168.088
2015-07-01,168.784
2015-08-01,142.664
2015-09-01,150.823
2015-10-01,141.118
2015-11-01,131.104
2015-12-01,92.218
2016-01-01,108.786
2016-02-01,131.552
2016-03-01,150.464
2016-04-01,163.327
2016-05-01,158.342
2016-06-01,170.117
2016-07-01,158.722
2016-08-01,166.668
2016-09-01,164.017
2016-10-01,169.714
2016-11-01,174.815
