date,value
2014-01-31,64.6
2014-02-28,62.6
2014-03-31,62.5
2014-04-30,60.8
2014-05-31,60
2014-06-30,62.6
2014-07-31,62.4
2014-08-31,64
2014-09-30,64.2
2014-10-31,61.4
2014-11-30,59.4
2014-12-31,57.6
2015-01-31,59.1
2015-02-28,60.1
2015-03-31,57.8
2015-04-30,54.2
2015-05-31,55.9
2015-06-30,58.1
2015-07-31,57.1
2015-08-31,57.3
2015-09-30,59.9
2015-10-31,58.8
2015-11-30,55.3
2015-12-31,57.8
2016-01-31,55
2016-02-29,54.2
2016-03-31,54.2
2016-04-30,52
2016-05-31,51.2
2016-06-30,46
2016-07-31,45.9
2016-08-31,49.2
2016-09-30,52.3
2016-10-31,52.6
2016-11-30,52.8
2016-12-31,54.2
