date,value
2014-01-31,56.3
2014-02-28,56.1
2014-03-31,54.8
2014-04-30,57.7
2014-05-31,56.8
2014-06-30,56.9
2014-07-31,55.1
2014-08-31,53.2
2014-09-30,51.7
2014-10-31,52.8
2014-11-30,53.3
2014-12-31,52.4
2015-01-31,52.6
2015-02-28,54
2015-03-31,53.7
2015-04-30,52.3
2015-05-31,52.1
2015-06-30,51.5
2015-07-31,52.2
2015-08-31,51.7
2015-09-30,51.5
2015-10-31,54.8
2015-11-30,52.6
2015-12-31,51.4
2016-01-31,52.7
2016-02-29,50.7
2016-03-31,51
2016-04-30,49.7
2016-05-31,50.5
2016-06-30,52.4
2016-07-31,48.2
2016-08-31,53.4
2016-09-30,55.5
2016-10-31,54.6
2016-11-30,53.6
2016-12-31,56.1
