date,value
1959-06-01,34.2
1959-09-01,35
1959-12-01,35.6
1960-03-01,36.3
1960-06-01,36
1960-09-01,36.5
1960-12-01,36.5
1961-03-01,36.9
1961-06-01,37.2
1961-09-01,36.9
1961-12-01,36.9
1962-03-01,37
1962-06-01,37.2
1962-09-01,37.4
1962-12-01,37.4
1963-03-01,38
1963-06-01,39.2
1963-09-01,39.3
1963-12-01,40
1964-03-01,40.4
1964-06-01,40.7
1964-09-01,40.7
1964-12-01,41.1
1965-03-01,41.1
1965-06-01,41.2
1965-09-01,41.5
1965-12-01,41.5
1966-03-01,41.5
1966-06-01,41.7
1966-09-01,41.9
1966-12-01,42.1
1967-03-01,42.7
1967-06-01,43.1
1967-09-01,43.4
1967-12-01,43.8
1968-03-01,45.4
1968-06-01,45.5
1968-09-01,46.3
1968-12-01,46.3
1969-03-01,46.4
1969-06-01,46.6
1969-09-01,46.9
1969-12-01,47.3
1970-03-01,46.9
1970-06-01,48.1
1970-09-01,48.5
1970-12-01,49.4
1971-03-01,49.5
1971-06-01,50.3
1971-09-01,51.6
1971-12-01,51.9
1972-03-01,51.5
1972-06-01,52.8
1972-09-01,52.9
1972-12-01,53.4
1973-03-01,55.4
1973-06-01,55.6
1973-09-01,54.9
1973-12-01,54.6
1974-03-01,53.3
1974-06-01,53.9
1974-09-01,54.2
1974-12-01,53.5
1975-03-01,53.7
1975-06-01,52.9
1975-09-01,52.8
1975-12-01,53.6
1976-03-01,54.5
1976-06-01,54.5
1976-09-01,55.1
1976-12-01,56.1
1977-03-01,56.4
1977-06-01,55.7
1977-09-01,56
1977-12-01,56.8
1978-03-01,57.2
1978-06-01,57.4
1978-09-01,58
1978-12-01,58.1
1979-03-01,57.6
1979-06-01,59.8
1979-09-01,58.6
1979-12-01,59
1980-03-01,58.4
1980-06-01,57.8
1980-09-01,58.3
1980-12-01,58.1
1981-03-01,58.6
1981-06-01,59.4
1981-09-01,60.3
1981-12-01,60.9
1982-03-01,61
1982-06-01,62.1
1982-09-01,62.7
1982-12-01,63.4
1983-03-01,64.9
1983-06-01,65.1
1983-09-01,65.1
1983-12-01,65.1
1984-03-01,65.3
1984-06-01,64.3
1984-09-01,64.4
1984-12-01,65.3
1985-03-01,65.9
1985-06-01,67.4
1985-09-01,67.2
1985-12-01,67.4
1986-03-01,67.9
1986-06-01,68.5
1986-09-01,68.8
1986-12-01,69.5
1987-03-01,69.9
1987-06-01,70.4
1987-09-01,71.2
1987-12-01,71.2
1988-03-01,71.9
1988-06-01,71.8
1988-09-01,72.3
1988-12-01,72.4
1989-03-01,71.9
1989-06-01,72
1989-09-01,71.9
1989-12-01,71.8
1990-03-01,72.3
1990-06-01,72.3
1990-09-01,72
1990-12-01,72.5
1991-03-01,73
1991-06-01,73.8
1991-09-01,74.4
1991-12-01,75.1
1992-03-01,75.2
1992-06-01,75.8
1992-09-01,76.7
1992-12-01,77.6
1993-03-01,78.1
1993-06-01,78.5
1993-09-01,79
1993-12-01,79.3
1994-03-01,79.9
1994-06-01,80.6
1994-09-01,80.8
1994-12-01,81.2
1995-03-01,81.1
1995-06-01,80.9
1995-09-01,81.3
1995-12-01,81.1
1996-03-01,82
1996-06-01,82.3
1996-09-01,82.6
1996-12-01,82.5
1997-03-01,82.9
1997-06-01,83.2
1997-09-01,83.3
1997-12-01,84.3
1998-03-01,84.9
1998-06-01,85.4
1998-09-01,85.5
1998-12-01,86.1
1999-03-01,86.3
1999-06-01,86.2
1999-09-01,87.5
1999-12-01,88.6
2000-03-01,89.4
2000-06-01,89.9
2000-09-01,89.6
2000-12-01,89.7
2001-03-01,90.9
2001-06-01,90.9
2001-09-01,91.6
2001-12-01,91.6
2002-03-01,91.9
2002-06-01,92.1
2002-09-01,92.8
2002-12-01,92.9
2003-03-01,93.9
2003-06-01,94.5
2003-09-01,95.2
2003-12-01,96
2004-03-01,96
2004-06-01,96.4
2004-09-01,96.3
2004-12-01,96.3
2005-03-01,96.6
2005-06-01,97.7
2005-09-01,98.6
2005-12-01,100.6
2006-03-01,100.1
2006-06-01,99.8
2006-09-01,99.5
2006-12-01,100
2007-03-01,101.1
2007-06-01,101.2
2007-09-01,101.5
2007-12-01,101.8
2008-03-01,101.8
2008-06-01,101
2008-09-01,99.8
2008-12-01,97.8
2009-03-01,96.5
2009-06-01,97.2
2009-09-01,97.2
2009-12-01,97.4
2010-03-01,98.5
2010-06-01,98.8
2010-09-01,99
2010-12-01,99.6
2011-03-01,99.5
2011-06-01,99.4
2011-09-01,100
2011-12-01,100.1
2012-03-01,100
2012-06-01,99.3
2012-09-01,100.3
2012-12-01,99.5
2013-03-01,100.2
2013-06-01,100
2013-09-01,99.9
2013-12-01,99.9
2014-03-01,100.2
2014-06-01,100.5
2014-09-01,101.2
2014-12-01,101.8
2015-03-01,101.3
2015-06-01,101.8
2015-09-01,101.7
2015-12-01,101.9
2016-03-01,102.2
2016-06-01,102.2
2016-09-01,102.7
