date,value
1971-03-01,44.6
1971-06-01,45.4
1971-09-01,46.3
1971-12-01,46.6
1972-03-01,46.2
1972-06-01,47.1
1972-09-01,47.2
1972-12-01,47.7
1973-03-01,49.5
1973-06-01,49.5
1973-09-01,49
1973-12-01,48.8
1974-03-01,47.6
1974-06-01,48.4
1974-09-01,49
1974-12-01,48.4
1975-03-01,48.8
1975-06-01,48.4
1975-09-01,48.3
1975-12-01,49.2
1976-03-01,50.1
1976-06-01,50
1976-09-01,50.5
1976-12-01,51.4
1977-03-01,51.6
1977-06-01,50.8
1977-09-01,51.1
1977-12-01,51.9
1978-03-01,52.3
1978-06-01,52.7
1978-09-01,53.3
1978-12-01,53.5
1979-03-01,53
1979-06-01,55.1
1979-09-01,54.1
1979-12-01,54.6
1980-03-01,54.2
1980-06-01,53.9
1980-09-01,54.5
1980-12-01,54.5
1981-03-01,55.2
1981-06-01,56.2
1981-09-01,57.2
1981-12-01,57.8
1982-03-01,57.9
1982-06-01,58.9
1982-09-01,59.5
1982-12-01,60.3
1983-03-01,61.9
1983-06-01,62.3
1983-09-01,62.5
1983-12-01,62.5
1984-03-01,62.6
1984-06-01,61.5
1984-09-01,61.5
1984-12-01,62.3
1985-03-01,62.8
1985-06-01,64.2
1985-09-01,64.1
1985-12-01,64.2
1986-03-01,64.7
1986-06-01,65.3
1986-09-01,65.5
1986-12-01,66.3
1987-03-01,66.5
1987-06-01,67.1
1987-09-01,67.8
1987-12-01,67.9
1988-03-01,68.4
1988-06-01,68.3
1988-09-01,68.8
1988-12-01,69
1989-03-01,68.6
1989-06-01,68.5
1989-09-01,68.4
1989-12-01,68.5
1990-03-01,69
1990-06-01,69.4
1990-09-01,69.2
1990-12-01,69.8
1991-03-01,70.4
1991-06-01,71.4
1991-09-01,72.3
1991-12-01,73
1992-03-01,73.3
1992-06-01,73.3
1992-09-01,74.4
1992-12-01,75.6
1993-03-01,76.2
1993-06-01,76.6
1993-09-01,77.3
1993-12-01,77.8
1994-03-01,78.1
1994-06-01,78.8
1994-09-01,78.9
1994-12-01,78.8
1995-03-01,79
1995-06-01,79
1995-09-01,79.7
1995-12-01,79.4
1996-03-01,80.3
1996-06-01,80.3
1996-09-01,80.6
1996-12-01,80.7
1997-03-01,80.8
1997-06-01,81.1
1997-09-01,81.4
1997-12-01,82.3
1998-03-01,82.6
1998-06-01,83.2
1998-09-01,83.4
1998-12-01,84.7
1999-03-01,84.7
1999-06-01,84.8
1999-09-01,85.9
1999-12-01,87
2000-03-01,89.1
2000-06-01,88.7
2000-09-01,88.7
2000-12-01,88.1
2001-03-01,89.5
2001-06-01,89.4
2001-09-01,90.2
2001-12-01,90.5
2002-03-01,91
2002-06-01,92.1
2002-09-01,92.2
2002-12-01,92.7
2003-03-01,93.6
2003-06-01,94.3
2003-09-01,95.1
2003-12-01,96.4
2004-03-01,95.9
2004-06-01,96.7
2004-09-01,96.5
2004-12-01,95.7
2005-03-01,96.3
2005-06-01,97.7
2005-09-01,98.3
2005-12-01,99.8
2006-03-01,99.7
2006-06-01,99.8
2006-09-01,99.8
2006-12-01,99.9
2007-03-01,100.8
2007-06-01,101
2007-09-01,101.5
2007-12-01,102.2
2008-03-01,101.3
2008-06-01,101.8
2008-09-01,100.2
2008-12-01,98.4
2009-03-01,98.4
2009-06-01,98.5
2009-09-01,99.1
2009-12-01,99.2
2010-03-01,100
2010-06-01,100.3
2010-09-01,100.6
2010-12-01,100.5
2011-03-01,100.8
2011-06-01,101.8
2011-09-01,101.4
2011-12-01,101.2
2012-03-01,100.9
2012-06-01,100.4
2012-09-01,100.6
2012-12-01,100
2013-03-01,100.2
2013-06-01,100.2
2013-09-01,99.6
2013-12-01,100
2014-03-01,100
2014-06-01,100.2
2014-09-01,100.9
2014-12-01,101.3
2015-03-01,101.1
2015-06-01,101.8
2015-09-01,102
2015-12-01,101.1
2016-03-01,101.5
2016-06-01,102
2016-09-01,102.4
