date,value
1959-06-30,34.2
1959-09-30,35
1959-12-31,35.6
1960-03-31,36.3
1960-06-30,36
1960-09-30,36.5
1960-12-31,36.5
1961-03-31,36.9
1961-06-30,37.2
1961-09-30,36.9
1961-12-31,36.9
1962-03-31,37
1962-06-30,37.2
1962-09-30,37.4
1962-12-31,37.4
1963-03-31,38
1963-06-30,39.2
1963-09-30,39.3
1963-12-31,40
1964-03-31,40.4
1964-06-30,40.7
1964-09-30,40.7
1964-12-31,41.1
1965-03-31,41.1
1965-06-30,41.2
1965-09-30,41.5
1965-12-31,41.5
1966-03-31,41.5
1966-06-30,41.7
1966-09-30,41.9
1966-12-31,42.1
1967-03-31,42.7
1967-06-30,43.1
1967-09-30,43.4
1967-12-31,43.8
1968-03-31,45.4
1968-06-30,45.5
1968-09-30,46.3
1968-12-31,46.3
1969-03-31,46.4
1969-06-30,46.6
1969-09-30,46.9
1969-12-31,47.3
1970-03-31,46.9
1970-06-30,48.1
1970-09-30,48.5
1970-12-31,49.4
1971-03-31,49.5
1971-06-30,50.3
1971-09-30,51.6
1971-12-31,51.9
1972-03-31,51.5
1972-06-30,52.8
1972-09-30,52.9
1972-12-31,53.4
1973-03-31,55.4
1973-06-30,55.6
1973-09-30,54.9
1973-12-31,54.6
1974-03-31,53.3
1974-06-30,53.9
1974-09-30,54.2
1974-12-31,53.5
1975-03-31,53.7
1975-06-30,52.9
1975-09-30,52.8
1975-12-31,53.6
1976-03-31,54.5
1976-06-30,54.5
1976-09-30,55.1
1976-12-31,56.1
1977-03-31,56.4
1977-06-30,55.7
1977-09-30,56
1977-12-31,56.8
1978-03-31,57.2
1978-06-30,57.4
1978-09-30,58
1978-12-31,58.1
1979-03-31,57.6
1979-06-30,59.8
1979-09-30,58.6
1979-12-31,59
1980-03-31,58.4
1980-06-30,57.8
1980-09-30,58.3
1980-12-31,58.1
1981-03-31,58.6
1981-06-30,59.4
1981-09-30,60.3
1981-12-31,60.9
1982-03-31,61
1982-06-30,62.1
1982-09-30,62.7
1982-12-31,63.4
1983-03-31,64.9
1983-06-30,65.1
1983-09-30,65.1
1983-12-31,65.1
1984-03-31,65.3
1984-06-30,64.3
1984-09-30,64.4
1984-12-31,65.3
1985-03-31,65.9
1985-06-30,67.4
1985-09-30,67.2
1985-12-31,67.4
1986-03-31,67.9
1986-06-30,68.5
1986-09-30,68.8
1986-12-31,69.5
1987-03-31,69.9
1987-06-30,70.4
1987-09-30,71.2
1987-12-31,71.2
1988-03-31,71.9
1988-06-30,71.8
1988-09-30,72.3
1988-12-31,72.4
1989-03-31,71.9
1989-06-30,72
1989-09-30,71.9
1989-12-31,71.8
1990-03-31,72.3
1990-06-30,72.3
1990-09-30,72
1990-12-31,72.5
1991-03-31,73
1991-06-30,73.8
1991-09-30,74.4
1991-12-31,75.1
1992-03-31,75.2
1992-06-30,75.8
1992-09-30,76.7
1992-12-31,77.6
1993-03-31,78.1
1993-06-30,78.5
1993-09-30,79
1993-12-31,79.3
1994-03-31,79.9
1994-06-30,80.6
1994-09-30,80.8
1994-12-31,81.2
1995-03-31,81.1
1995-06-30,80.9
1995-09-30,81.3
1995-12-31,81.1
1996-03-31,82
1996-06-30,82.3
1996-09-30,82.6
1996-12-31,82.5
1997-03-31,82.9
1997-06-30,83.2
1997-09-30,83.3
1997-12-31,84.3
1998-03-31,84.9
1998-06-30,85.4
1998-09-30,85.5
1998-12-31,86.1
1999-03-31,86.3
1999-06-30,86.2
1999-09-30,87.5
1999-12-31,88.6
2000-03-31,89.4
2000-06-30,89.9
2000-09-30,89.6
2000-12-31,89.7
2001-03-31,90.9
2001-06-30,90.9
2001-09-30,91.6
2001-12-31,91.6
2002-03-31,91.9
2002-06-30,92.1
2002-09-30,92.8
2002-12-31,92.9
2003-03-31,93.9
2003-06-30,94.5
2003-09-30,95.2
2003-12-31,96
2004-03-31,96
2004-06-30,96.4
2004-09-30,96.3
2004-12-31,96.3
2005-03-31,96.6
2005-06-30,97.7
2005-09-30,98.6
2005-12-31,100.6
2006-03-31,100.1
2006-06-30,99.8
2006-09-30,99.5
2006-12-31,100
2007-03-31,101.1
2007-06-30,101.2
2007-09-30,101.5
2007-12-31,101.8
2008-03-31,101.8
2008-06-30,101
2008-09-30,99.8
2008-12-31,97.8
2009-03-31,96.5
2009-06-30,97.2
2009-09-30,97.2
2009-12-31,97.4
2010-03-31,98.5
2010-06-30,98.8
2010-09-30,99
2010-12-31,99.6
2011-03-31,99.5
2011-06-30,99.4
2011-09-30,100
2011-12-31,100.1
2012-03-31,100
2012-06-30,99.3
2012-09-30,100.3
2012-12-31,99.5
2013-03-31,100.2
2013-06-30,100
2013-09-30,99.9
2013-12-31,99.9
2014-03-31,100.2
2014-06-30,100.5
2014-09-30,101.2
2014-12-31,101.8
2015-03-31,101.3
2015-06-30,101.8
2015-09-30,101.7
2015-12-31,101.9
2016-03-31,102.2
2016-06-30,102.2
2016-09-30,102.7
