date,value
1992-12-31,14.8
1993-01-31,-1.301
1993-02-28,5.961
1993-03-31,8.188
1993-04-30,5.38
1993-05-31,5.407
1993-06-30,4.927
1993-07-31,2.975
1993-08-31,5.11
1993-09-30,4.244
1993-10-31,2.106
1993-11-30,4.106
1993-12-31,4.288
1994-01-31,-1.051
1994-02-28,5.521
1994-03-31,8.543
1994-04-30,5.97
1994-05-31,5.299
1994-06-30,3.351
1994-07-31,2.461
1994-08-31,5.618
1994-09-30,2.879
1994-10-31,1.179
1994-11-30,3.178
1994-12-31,3.534
1995-01-31,-2.494
1995-02-28,5.146
1995-03-31,7.683
1995-04-30,3.974
1995-05-31,4.101
1995-06-30,3.979
1995-07-31,1.672
1995-08-31,5.814
1995-09-30,2.885
1995-10-31,-0.567
1995-11-30,3.264
1995-12-31,3.703
1996-01-31,-3.709
1996-02-29,3.845
1996-03-31,6.349
1996-04-30,4.833
1996-05-31,4.832
1996-06-30,4.247
1996-07-31,0.297
1996-08-31,5.312
1996-09-30,2.65
1996-10-31,-3.445
1996-11-30,2.359
1996-12-31,2.27
1997-01-31,-5.288
1997-02-28,2.916
1997-03-31,6.724
1997-04-30,2.602
1997-05-31,2.571
1997-06-30,4.469
1997-07-31,0.281
1997-08-31,2.398
1997-09-30,2.203
1997-10-31,-1.838
1997-11-30,-2.17
1997-12-31,0.576
1998-01-31,-7.429
1998-02-28,0.11
1998-03-31,2.13
1998-04-30,1.588
1998-05-31,3.533
1998-06-30,3.039
1998-07-31,-2.993
1998-08-31,1.716
1998-09-30,1.214
1998-10-31,-6.729
1998-11-30,2.658
1998-12-31,0.619
1999-01-31,-7.094
1999-02-28,-2.384
1999-03-31,0.443
1999-04-30,0.165
1999-05-31,3.217
1999-06-30,2.217
1999-07-31,-3.66
1999-08-31,1.252
1999-09-30,-1.054
1999-10-31,-7.582
1999-11-30,2.273
1999-12-31,1.169
2000-01-31,-9.697
2000-02-29,-1.14
2000-03-31,-1.596
2000-04-30,2.745
2000-05-31,-6.061
2000-06-30,5.445
2000-07-31,-5.672
2000-08-31,5.69
2000-09-30,-4.304
2000-10-31,-6.611
2000-11-30,3.565
2000-12-31,1.961
2001-01-31,-11.52
2001-02-28,-2.312
2001-03-31,-0.097
2001-04-30,-1.609
2001-05-31,4.148
2001-06-30,2.34
2001-07-31,-4.781
2001-08-31,1.106
2001-09-30,1.02
2001-10-31,-4.897
2001-11-30,5.693
2001-12-31,3.436
2002-01-31,-8.182
2002-02-28,-0.235
2002-03-31,2.497
2002-04-30,0.376
2002-05-31,5.606
2002-06-30,5.316
2002-07-31,-3.852
2002-08-31,3.849
2002-09-30,3.698
2002-10-31,-1.617
2002-11-30,7.45
2002-12-31,5.249
2003-01-31,-4.601
2003-02-28,2.8
2003-03-31,2.43
2003-04-30,0.283
2003-05-31,7.573
2003-06-30,5.859
2003-07-31,-2.386
2003-08-31,5.123
2003-09-30,4.085
2003-10-31,-0.613
2003-11-30,7.722
2003-12-31,4.999
2004-01-31,-3.828
2004-02-29,1.186
2004-03-31,1.504
2004-04-30,4.463
2004-05-31,7.784
2004-06-30,3.43
2004-07-31,-1.319
2004-08-31,6.213
2004-09-30,5.149
2004-10-31,0.723
2004-11-30,8.629
2004-12-31,5.547
2005-01-31,-5.214
2005-02-28,3.929
2005-03-31,4.248
2005-04-30,-8.528
2005-05-31,12.184
2005-06-30,11.756
2005-07-31,-3.085
2005-08-31,6.524
2005-09-30,5.268
2005-10-31,-0.425
2005-11-30,12.314
2005-12-31,6.768
2006-01-31,-10.422
2006-02-28,4.734
2006-03-31,3.978
2006-04-30,2.969
2006-05-31,7.757
2006-06-30,6.589
