date,value
2014-01-31,58.3
2014-02-28,58.2
2014-03-31,57.6
2014-04-30,58.7
2014-05-31,58.6
2014-06-30,57.7
2014-07-31,59.1
2014-08-31,60.5
2014-09-30,58.7
2014-10-31,56.2
2014-11-30,58.6
2014-12-31,55.8
2015-01-31,57.2
2015-02-28,56.7
2015-03-31,58.9
2015-04-30,59.5
2015-05-31,56.5
2015-06-30,58.5
2015-07-31,57.4
2015-08-31,55.6
2015-09-30,53.3
2015-10-31,54.9
2015-11-30,55.9
2015-12-31,55.5
2016-01-31,55.6
2016-02-29,52.7
2016-03-31,53.7
2016-04-30,52.3
2016-05-31,53.5
2016-06-30,52.3
2016-07-31,47.4
2016-08-31,52.9
2016-09-30,52.6
2016-10-31,54.5
2016-11-30,55.2
2016-12-31,56.2
